iso,Country_Name,Region,Earliest_Inventory_Year,Marker_Country,Notes
nga,Nigeria,Other Large Countries,,,
bra,Brazil,Other Large Countries,,,
mex,Mexico,Other Large Countries,,,
chn,China,Other Large Countries,,,
alb,Albania,Eastern Europe,1990,,
bgr,Bulgaria,Eastern Europe,1990,,
bih,Bosnia and Herzegovina,Eastern Europe,,,
cze,Czech Republic,Eastern Europe,2007,,
hrv,Croatia,Eastern Europe,1990,,
hun,Hungary,Eastern Europe,1990,,
pol,Poland,Eastern Europe,1995,,
rou,Romania,Eastern Europe,2005,,
srb,Serbia,Eastern Europe,,,Removed from scaling
svk,Slovakia,Eastern Europe,2000,,
svn,Slovenia,Eastern Europe,1980,,
est,Estonia,Eastern Europe,1990,,
ltu,Lithuania,Eastern Europe,1990,,
lva,Latvia,Eastern Europe,1990,,
rus,Russia,Other Large Countries,,,
irn,Islamic Republic of Iran,Other Large Countries,,,
can,Canada,Other Inventory Countries,1985,can,
usa,United States,Other Inventory Countries,1970,usa,
ind,India,Other Large Countries,,,
jpn,Japan,Other Inventory Countries,1970,,
mne,Montenegro,Western Europe,1990,,
nzl,New Zealand,Other Inventory Countries,1990,,
aus,Australia,Other Inventory Countries,1990,,
aut,Austria,Western Europe,1980,aut,
bel,Belgium,Western Europe,1990,bel,
che,Switzerland,Western Europe,1980,,
cyp,Cyprus,Western Europe,1990,,
deu,Germany,Western Europe,1990,deu,
dnk,Denmark,Western Europe,1985,dnk,
esp,Spain,Western Europe,1990,esp,
fin,Finland,Western Europe,1980,,
fra,France,Western Europe,1980,fra,
gbr,United Kingdom,Western Europe,1980,gbr,
grc,Greece,Western Europe,1987,,
irl,Ireland,Western Europe,1987,,
isl,Iceland,Western Europe,1990,,
ita,Italy,Western Europe,1980,ita,
lie,Liechtenstein,Western Europe,,,
lux,Luxembourg,Western Europe,1990,,Removed from scaling fpr earlier years
mlt,Malta,Western Europe,,,Removed from scaling
nld,Netherlands,Western Europe,1990,nld,
nor,Norway,Western Europe,1980,nor,
prt,Portugal,Western Europe,1990,,
swe,Sweden,Western Europe,1990,swe,
tur,Turkey,Western Europe,,,Removed from scaling
kor,Korea,Other Inventory Countries,1999,,
