iso,Earliest_Year
alb,1990
arm,2007
aut,1980
bel,1990
bgr,1990
blr,2007
can,1985
che,1980
cyp,1990
cze,2007
deu,1990
dnk,1985
esp,1990
est,1990
fin,1980
fra,1980
gbr,1980
geo,2006
grc,1987
hrv,1990
hun,1990
irl,1987
isl,1990
ita,1980
kgz,2020
ltu,1990
lux,1985
lva,1990
mda,1990
mkd,1987
mlt,2000
mne,1990
nld,1990
nor,1980
pol,1995
prt,1990
rou,2005
srb,1990
svk,2000
svn,1980
swe,1990
tur,1990
ukr,2008
usa,1970
can,1985
jpn,1970
kor,1999
