iso,sector,fuel,year,units,ash_retention,pre_ext_method,pre_ext_year
zaf,energytrans_electricity_gen,hard_coal,all,kt/kt,0.29,constant,1960
zaf,energytrans_electricity_gen,brown_coal,all,kt/kt,0.29,,
