iso,sector,fuel,units,X1960,X1970,X1980,X1990,X2005
kor,all,heavy_oil,fraction,0.025,0.025,0.015,0.01,0.005
kor,all,hard_coal,fraction,0.0075,0.0075,0.0075,0.0075,0.0075
