iso,sector,fuel,year,units,ash_retention,pre_ext_method,pre_ext_year
zaf,1A1a_Electricity-public,hard_coal,all,fraction,0.29,constant,1960
zaf,1A1a_Electricity-public,brown_coal,all,fraction,0.29,,
