iso,sector,fuel,year,units,S_content
bgd,all,hard_coal,all,kt/kt,0.01000
btn,all,hard_coal,all,kt/kt,0.00600
khm,all,hard_coal,all,kt/kt,0.00500
hkg,all,hard_coal,all,kt/kt,0.00500
ind,all,hard_coal,all,kt/kt,0.00600
idn,all,hard_coal,all,kt/kt,0.00700
jpn,all,hard_coal,all,kt/kt,0.00600
prk,all,hard_coal,all,kt/kt,0.00300
mys,all,hard_coal,all,kt/kt,0.00400
npl,all,hard_coal,all,kt/kt,0.00600
sgp,all,hard_coal,all,kt/kt,0.00600
twn,all,hard_coal,all,kt/kt,0.01000
tha,all,hard_coal,all,kt/kt,0.00500
vnm,all,hard_coal,all,kt/kt,0.00400
ind,all,brown_coal,all,kt/kt,0.01000
mng,all,brown_coal,all,kt/kt,0.00700
mmr,all,brown_coal,all,kt/kt,0.00930
pak,all,brown_coal,all,kt/kt,0.05000
phl,all,brown_coal,all,kt/kt,0.01500
tha,all,brown_coal,all,kt/kt,0.03300
