COUNTRY,FLOW,PRODUCT,method,ext_backward,ext_forward,X1999
Peoples Republic of China,AGRICULT,Biodiesels (kt),multiplier,percentage,none,0.247345052
Peoples Republic of China,AGRICULT,Gas/diesel oil excl. biofuels (kt),multiplier,percentage,none,0.247345052
Peoples Republic of China,AGRICULT,Lubricants (kt),multiplier,percentage,none,0.247345052
Peoples Republic of China,AGRICULT,Natural gas liquids (kt),multiplier,percentage,none,0.247345052
Peoples Republic of China,COMMPUB,Biodiesels (kt),multiplier,percentage,none,0.2918766
Peoples Republic of China,COMMPUB,Gas/diesel oil excl. biofuels (kt),multiplier,percentage,none,0.2918766
Peoples Republic of China,COMMPUB,Lubricants (kt),multiplier,percentage,none,0.2918766
Peoples Republic of China,COMMPUB,Natural gas liquids (kt),multiplier,percentage,none,0.2918766
Peoples Republic of China,ROAD,Biodiesels (kt),multiplier,percentage,none,4.173567901
Peoples Republic of China,ROAD,Gas/diesel oil excl. biofuels (kt),multiplier,percentage,none,4.173567901
Peoples Republic of China,ROAD,Lubricants (kt),multiplier,percentage,none,4.173567901
Peoples Republic of China,ROAD,Natural gas liquids (kt),multiplier,percentage,none,4.173567901
