COUNTRY,FLOW,PRODUCT,method,ext_backward,ext_forward,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
Ghana,RESIDENT,Primary solid biofuels (TJ-net),replace_value,none,none,61300,64500,67900,67200,69200,71100,72900,74900,76800,78800,80900,83000,85200,86300,88900,91600,94300,97200,100200,103200,106400,109700,113100,115792,110214,104636,99058,93480,87901,82323,76745,71556,65899,61177,56776,52823,49851,47467,46077,45192,46546,46056,46509,46967
Indonesia,RESIDENT,Primary solid biofuels (TJ-net),replace_value,none,none,594345,587212,581542,575871,570201,564531,558860,553190,547519,541849,536179,530508,524838,519167,513497,507827,502156,496486,490815,485145,482782,480419,478844,474119,470969,467425,463881,459156,456793,455612,453643,452068,451674,447342,444192,436316,429228,418596,385927,385835,367947,337333,302999,282688
South Africa,RESIDENT,Primary solid biofuels (TJ-net),replace_value,none,none,162000,171000,179000,188000,186493,181747,177000,176000,173563,168816,164070,159323,154577,149830,145083,140337,135590,130844,126097,121351,116604,111857,107111,102364,97618,92871,88125,83378,78632,73885,70708,67331,64729,61746,59052,56317,53727,51505,49641,46955,45769,44972,43391,41908
Viet Nam,RESIDENT,Primary solid biofuels (TJ-net),replace_value,none,none,242747,248482,254406,260474,266647,272910,279222,285556,291874,298125,303799,309155,314530,320287,326815,334481,342814,351213,359602,366379,373304,380894,395465,374774,372070,371893,383934,395873,405185,411648,417365,417252,436323,415632,394941,374250,353559,332867,312176,291485,270794,250103,229411,208720
