COUNTRY,FLOW,PRODUCT,method,ext_backward,ext_forward,X2000,X2008,X2010,X2012
Peoples Republic of China,AGRICULT,Anthracite (kt),multiplier,none,percentage,1,1.392323689,1.501073251,1.601432649
Peoples Republic of China,AGRICULT,BKB (kt),multiplier,none,percentage,1,1.392323689,1.501073251,1.601432649
Peoples Republic of China,AGRICULT,Coal tar (kt),multiplier,none,percentage,1,1.392323689,1.501073251,1.601432649
Peoples Republic of China,AGRICULT,Coking coal (kt),multiplier,none,percentage,1,1.392323689,1.501073251,1.601432649
Peoples Republic of China,AGRICULT,Gas coke (kt),multiplier,none,percentage,1,1.392323689,1.501073251,1.601432649
Peoples Republic of China,AGRICULT,Hard coal (if no detail) (kt),multiplier,none,percentage,1,1.392323689,1.501073251,1.601432649
Peoples Republic of China,AGRICULT,Other bituminous coal (kt),multiplier,none,percentage,1,1.392323689,1.501073251,1.601432649
Peoples Republic of China,AGRICULT,Patent fuel (kt),multiplier,none,percentage,1,1.392323689,1.501073251,1.601432649
Peoples Republic of China,AGRICULT,Sub-bituminous coal (kt),multiplier,none,percentage,1,1.392323689,1.501073251,1.601432649
Peoples Republic of China,AUTOCHP,Anthracite (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOCHP,BKB (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOCHP,Coal tar (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOCHP,Coking coal (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOCHP,Gas coke (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOCHP,Hard coal (if no detail) (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOCHP,Other bituminous coal (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOCHP,Patent fuel (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOCHP,Sub-bituminous coal (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOHEAT,Anthracite (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOHEAT,BKB (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOHEAT,Coal tar (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOHEAT,Coking coal (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOHEAT,Gas coke (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOHEAT,Hard coal (if no detail) (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOHEAT,Other bituminous coal (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOHEAT,Patent fuel (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,AUTOHEAT,Sub-bituminous coal (kt),multiplier,none,percentage,1,1.454533853,1.683321292,1.457576993
Peoples Republic of China,CHEMICAL,Anthracite (kt),multiplier,none,percentage,1,1.225694939,1.242801192,1.350628166
Peoples Republic of China,CHEMICAL,BKB (kt),multiplier,none,percentage,1,1.225694939,1.242801192,1.350628166
