COUNTRY,FLOW,PRODUCT,method,ext_backward,ext_forward,X1971,X1984
Other non-OECD Asia,INONSPEC,Brown coal (if no detail) (kt),multiplier,none,none,0,0
Other non-OECD Asia,INONSPEC,Lignite (kt),multiplier,none,none,0,0
