sector,fuel,driver_data_source,extra_driver_info,ext_start_year,ext_end_year,Notes
1A1a_Electricity-autoproducer,biomass,,,1750,1965,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A1a_Electricity-public,biomass,,,1750,1965,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A1a_Heat-production,biomass,,,1750,1965,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A2a_Ind-Comb-Iron-steel,biomass,,,1750,1849,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2b_Ind-Comb-Non-ferrous-metals,biomass,,,1750,1849,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2c_Ind-Comb-Chemicals,biomass,,,1750,1849,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2d_Ind-Comb-Pulp-paper,biomass,,,1750,1849,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2e_Ind-Comb-Food-tobacco,biomass,,,1750,1849,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2f_Ind-Comb-Non-metalic-minerals,biomass,,,1750,1849,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2g_Ind-Comb-Construction,biomass,,,1750,1849,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2g_Ind-Comb-machinery,biomass,,,1750,1849,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2g_Ind-Comb-mining-quarying,biomass,,,1750,1849,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2g_Ind-Comb-other,biomass,,,1750,1849,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2g_Ind-Comb-textile-leather,biomass,,,1750,1849,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2g_Ind-Comb-transpequip,biomass,,,1750,1849,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2g_Ind-Comb-wood-products,biomass,,,1750,1849,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A3ai_International-aviation,biomass,,,1750,1965,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A3aii_Domestic-aviation,biomass,,,1750,1965,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A3b_Road,biomass,,,1750,1965,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A3c_Rail,biomass,,,1750,1965,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A3dii_Domestic-navigation,biomass,,,1750,1965,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A3eii_Other-transp,biomass,,,1750,1965,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A4a_Commercial-institutional,biomass,,,1750,1965,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A4b_Residential,biomass,Fernandez,,1750,1960,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A4c_Agriculture-forestry-fishing,biomass,,,1750,1965,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A5_Other-unspecified,biomass,,,1750,1965,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A1a_Electricity-autoproducer,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A1a_Electricity-public,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A1a_Heat-production,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2a_Ind-Comb-Iron-steel,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2b_Ind-Comb-Non-ferrous-metals,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2c_Ind-Comb-Chemicals,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
