sector,fuel,em,method,start_year,end_year,file_name,domain,domain_extention,converge_year,converge_value
2A1_Cement-production,process,all,Emissions-trend,1750,1964,E.CO2_CDIAC_Cement,MED_OUT,,,
2A2_Lime-production,process,all,Emissions-trend,1750,1964,E.CO2_CDIAC_Cement,MED_OUT,,,
2C_Metal-production,process,all,Emissions-trend,1750,1964,U.SO2_Metal_Smelting,DEFAULT_EF_IN,non-combustion-emissions/,,
5D_Wastewater-handling,process,all,constant,1750,1964,,MED_OUT,,,
1A1a_Electricity-public,all-comb,all,constant,1750,1964,,,,,
1A1a_Electricity-autoproducer,all-comb,all,constant,1750,1964,,,,,
1A1a_Heat-production,all-comb,all,constant,1750,1964,,,,,
1A2a_Ind-Comb-Iron-steel,all-comb,all,constant,1750,1964,,,,,
1A2b_Ind-Comb-Non-ferrous-metals,all-comb,all,constant,1750,1964,,,,,
1A2c_Ind-Comb-Chemicals,all-comb,all,constant,1750,1964,,,,,
1A2c_Ind-Comb-Chemicals,all-comb,BC,constant,1750,1964,,,,,
1A2d_Ind-Comb-Pulp-paper,all-comb,all,constant,1750,1964,,,,,
1A2e_Ind-Comb-Food-tobacco,all-comb,all,constant,1750,1964,,,,,
1A2f_Ind-Comb-Non-metalic-minerals,all-comb,all,constant,1750,1964,,,,,
1A2g_Ind-Comb-Construction,all-comb,all,constant,1750,1964,,,,,
1A2g_Ind-Comb-transpequip,all-comb,all,constant,1750,1964,,,,,
1A2g_Ind-Comb-machinery,all-comb,all,constant,1750,1964,,,,,
1A2g_Ind-Comb-mining-quarying,all-comb,all,constant,1750,1964,,,,,
1A2g_Ind-Comb-wood-products,all-comb,all,constant,1750,1964,,,,,
1A2g_Ind-Comb-textile-leather,all-comb,all,constant,1750,1964,,,,,
1A2g_Ind-Comb-other,all-comb,all,constant,1750,1964,,,,,
1A3ai_International-aviation,all-comb,all,constant,1750,1964,,,,,
1A3aii_Domestic-aviation,all-comb,all,constant,1750,1964,,,,,
1A3b_Road,all-comb,all,constant,1750,1964,,,,,
1A3c_Rail,all-comb,all,constant,1750,1964,,,,,
1A3di_International-shipping,all-comb,all,constant,1750,1964,,,,,
1A3dii_Domestic-naviation,all-comb,all,constant,1750,1964,,,,,
1A3eii_Other-transp,all-comb,all,constant,1750,1964,,,,,
1A4a_Commercial-institutional,all-comb,all,constant,1750,1964,,,,,
1A4b_Residential,all-comb,all,constant,1750,1964,,,,,
1A4c_Agriculture-forestry-fishing,all-comb,all,constant,1750,1964,,,,,
1A5_Other-unspecified,all-comb,all,constant,1750,1964,,,,,
1B2_Fugitive-petr-and-gas,process,all,constant,1750,1964,,,,,
1B2d_Fugitive-other-energy,process,all,constant,1750,1964,,,,,
2D_Degreasing-Cleaning,process,all,constant,1750,1964,,,,,
2D3_Other-product-use,process,all,constant,1750,1964,,,,,
2D_Paint-application,process,all,constant,1750,1964,,,,,
2D3_Chemical-products-manufacture-processing,process,all,constant,1750,1964,,,,,
7A_Fossil-fuel-fires,process,all,constant,1750,1964,,,,,
1A1bc_Other-transformation,process,all,Emissions-trend,1750,1964,E.CO2_CDIAC_Total_CO2,MED_OUT,,,
1B1_Fugitive-solid-fuels,process,all,Emissions-trend,1750,1964,E.CO2_CDIAC_Total_CO2,MED_OUT,,,
2A6_Other-minerals,process,all,constant,1750,1964,,,,,
2B_Chemical-industry,process,all,constant,1750,1964,,,,,
2H_Pulp-and-paper-food-beverage-wood,process,all,constant,1750,1964,,,,,
2L_Other-process-emissions,process,all,constant,1750,1964,,,,,
3B_Manure-management,process,all,constant,1750,1964,,,,,
3D_Soil-emissions,process,all,constant,1750,1964,,,,,
3I_Agriculture-other,process,all,constant,1750,1964,,,,,
3D_Rice-Cultivation,process,all,constant,1750,1964,,,,,
3E_Enteric-fermentation,process,all,constant,1750,1964,,,,,
3F_Agricultural-residue-burning-on-fields,process,all,constant,1750,1964,,,,,
5A_Solid-waste-disposal,process,all,constant,1750,1964,,,,,
5E_Other-waste-handling,process,all,constant,1750,1964,,,,,
5C_Waste-incineration,process,all,EF-converge,1750,1969,,,,1900,0
6A_Other-in-total,process,all,constant,1750,1964,,,,,
6B_Other-not-in-total,process,all,constant,1750,1964,,,,,
11C_Other-natural,process,all,constant,1750,1964,,,,,
11B_Forest-fires,process,all,constant,1750,1964,,,,,
11A_Volcanoes,process,all,constant,1750,1964,,,,,
