"Source","Sector","SubSector","1990","1991","1992","1993","1994","1995","1996"
"Ore and Mineral Industries","","","104987.99999999996","100938.90999999999","99141.54","105223.91999999998","111253.26","109874.52000000002","110901.68000000001"
"Ore and Mineral Industries","Aluminium Industry","","1587.5800000000002","1626.05","1569.26","1657.74","1754.8700000000001","1368.43","1507.98"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","861.22","796.8","742.21","824.3","906.38","548.49","683.59"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","696.72","801.06","798.78","802.22","815.54","788.39","786.86"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","29.64","28.19","28.27","31.22","32.95","31.55","37.53"
"Ore and Mineral Industries","Asphalt Paving Industry","","1202.03","1099.87","1175.77","1248.04","1437.54","1509.58","1419.44"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","1202.03","1099.87","1175.77","1248.04","1437.54","1509.58","1419.44"
"Ore and Mineral Industries","Cement and Concrete Industry","","42484.47000000001","37914.2","37194.149999999994","41922.95","46670.880000000005","48329.619999999995","47211.369999999995"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","39750.48","34981.64","34300.92","38920.1","43619.36","44790.7","43719.28"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","282.91","258.95","255.74","232.05","210.11","300.64","289.46"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","165.43","181.26","181.53","191.59","207.66","202.12","211.25"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","2285.65","2492.35","2455.96","2579.21","2633.75","3036.16","2991.38"
"Ore and Mineral Industries","Foundries","","716.86","706.31","726.04","778.8399999999999","864.3100000000001","887.98","859.7299999999999"
"Ore and Mineral Industries","Foundries","Die Casting","29.64","28.27","28.34","33.92","27.44","32.51","35.52"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","515.7","512.56","531.41","558.42","639.15","626.49","590.3"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","171.52","165.48","166.29","186.5","197.72","228.98","233.91"
"Ore and Mineral Industries","Iron and Steel Industry","","19272.04","19734.309999999998","19273.64","19967.149999999998","20175.34","18056.949999999997","18688.21"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","16010.4","16461.85","15833.23","16274.57","16252.46","14268.14","14930.61"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","3245.49","3257.95","3426.18","3677.16","3901.43","3771.3","3741.6"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","16.15","14.51","14.23","15.42","21.45","17.51","16"
"Ore and Mineral Industries","Iron Ore Pelletizing","","5164.21","4229.44","4429.48","4819.63","5209.78","5403.42","5339.78"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","5164.21","4229.44","4429.48","4819.63","5209.78","5403.42","5339.78"
"Ore and Mineral Industries","Mineral Products Industry","","1452.01","1048.53","936.93","912.13","903.7","921.98","865.93"
"Ore and Mineral Industries","Mineral Products Industry","Brick Products","217.29","225.89","190.07","186.77","194.44","201.57","200.56"
"Ore and Mineral Industries","Mineral Products Industry","Clay Products","132.43","128.75","92.45","89.62","89.15","101.78","100.32"
"Ore and Mineral Industries","Mineral Products Industry","Other (Mineral Products Industry)","1102.29","693.89","654.41","635.74","620.11","618.63","565.05"
"Ore and Mineral Industries","Mining and Rock Quarrying","","28950.63","27738.47","28309.760000000002","28955.64","30389.49","30124.5","31358.089999999997"
"Ore and Mineral Industries","Mining and Rock Quarrying","Coal Mining Industry","3356.48","2981.78","2599.34","3403.49","3638.66","3615.19","3304.06"
