,Oil: Regional consumption - by product group,,,,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thousand barrels daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share
BP_Oil_product,Product,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Light distillates,5189,5419,5585,5918,6199,6477,6734,7132,7508,7392,7545,7880,8109,8614,8333,7914,7797,7647,7692,7805,7866,8094,8371,8560,8691,8546,8431,8607,8771,8952,9125,9319,9466,9737,9893,9983,10082,10374,10474,10743,10746,10766,10728,10194,10092,10075,9798,9687,9871,9916,10138,10296,10231,10241,10162,8694,9396,8.10%,-0.40%,10.00%
North America,    of which: gasoline,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7586,7484,7408,7459,7567,7639,7813,8079,8275,8383,8262,8178,8313,8492,8639,8813,8947,9082,9330,9527,9568,9729,9968,10049,10234,10290,10334,10324,9862,9788,9696,9432,9356,9492,9566,9801,9967,9945,9949,9898,8456,9160,8.30%,-0.30%,9.70%
North America,    of which: naphtha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,328,312,239,234,238,227,281,291,285,309,284,253,294,279,313,312,372,384,407,366,416,353,406,425,508,457,432,404,333,303,379,366,332,379,350,337,329,285,291,264,237,236,-0.50%,-4.30%,0.30%
North America,Middle distillates,3456,3620,3858,4175,4307,4385,4547,4870,5078,4879,4789,5100,5361,5496,5447,4972,4813,4605,4583,4868,4930,5306,5428,5669,5744,5692,5556,5603,5722,5952,5965,6210,6398,6460,6621,6814,6812,6659,6864,7130,7244,7279,7296,6914,6267,6558,6609,6370,6429,6689,6728,6608,6768,7079,6972,5705,6172,8.20%,-0.70%,6.60%
North America,    of which: diesel/gasoil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3574,3513,3307,3271,3437,3458,3764,3804,3978,4020,3984,3905,3968,4067,4233,4255,4418,4578,4597,4699,4848,4924,4837,5066,5259,5312,5410,5449,5180,4695,4940,5005,4788,4798,5013,4961,4766,4848,5115,4973,4499,4644,3.20%,-0.70%,4.90%
North America,    of which: jet/kerosene,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1397,1300,1298,1312,1431,1472,1543,1624,1691,1724,1708,1651,1635,1655,1719,1710,1792,1821,1863,1921,1966,1887,1822,1798,1871,1933,1869,1846,1733,1572,1618,1604,1582,1631,1676,1767,1842,1920,1964,1999,1206,1528,26.70%,-0.50%,1.60%
North America,Fuel oil,1873,1996,2096,2159,2332,2581,2684,2933,3283,3121,2931,3306,3580,3546,3348,3034,2581,2182,1864,1819,1653,1891,1775,1916,1957,1814,1697,1614,1568,1562,1322,1335,1350,1499,1411,1510,1418,1221,1275,1356,1394,1065,1103,951,824,803,727,657,580,451,423,472,517,472,394,299,423,41.30%,-5.30%,0.40%
North America,Others,2418,2551,2624,2850,3089,3166,3227,3545,3757,3677,3522,3743,3998,3985,4332,4152,3938,3849,3968,4193,4334,4139,4351,4479,4448,4252,4336,4574,4568,4785,4844,5062,5111,5046,5467,5301,5287,5451,5437,5645,5506,5585,5603,5207,5155,5311,5324,5375,5569,5435,5592,5620,5636,5961,6085,5989,6273,4.70%,1.70%,6.70%
North America,    of which: ethane and LPG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1862,1951,2056,2040,2240,2338,2199,2338,2396,2418,2132,2317,2415,2427,2557,2659,2736,2766,2704,3005,3015,2882,3035,2928,3023,2893,2932,2986,2824,2948,3092,3181,3189,3366,3292,3361,3428,3453,3789,3820,3873,3989,3.00%,2.30%,4.20%
North America,Total North America,12936,13585,14163,15101,15927,16610,17192,18479,19627,19069,18787,20029,21047,21640,21460,20071,19129,18282,18108,18685,18782,19431,19925,20625,20840,20305,20021,20398,20629,21251,21256,21926,22325,22741,23392,23608,23598,23705,24051,24874,24891,24695,24729,23266,22338,22748,22458,22090,22448,22491,22881,22996,23153,23753,23613,20687,22264,7.60%,-0.10%,23.70%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,of which: US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,Light distillates,4713,4913,5048,5344,5596,5839,6063,6423,6720,6582,6713,7014,7215,7656,7310,6861,6719,6626,6721,6825,6878,7096,7345,7517,7586,7420,7296,7461,7605,7749,7918,8100,8241,8489,8624,8706,8776,9039,9091,9287,9283,9242,9148,8623,8537,8425,8181,8094,8263,8287,8503,8613,8621,8633,8579,7419,8084,9.00%,-0.10%,8.60%
US,    of which: gasoline,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6613,6489,6461,6573,6681,6755,6918,7164,7332,7383,7239,7140,7265,7422,7541,7723,7850,7961,8184,8361,8386,8519,8735,8771,8897,8918,8913,8855,8375,8291,8168,7926,7858,7993,8056,8280,8394,8393,8400,8372,7235,7897,9.20%,♦,8.40%
US,    of which: naphtha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,247,230,165,148,144,123,178,182,185,203,182,156,196,183,208,195,250,280,305,262,319,258,304,320,390,365,328,294,248,246,256,254,236,270,231,223,219,228,233,207,185,187,1.20%,-3.00%,0.20%
US,Middle distillates,2995,3131,3340,3625,3732,3770,3920,4192,4368,4117,4011,4290,4566,4664,4575,4092,3963,3812,3863,4136,4200,4602,4715,4938,4986,4939,4826,4855,4956,5131,5149,5345,5503,5544,5697,5852,5883,5727,5885,6114,6192,6209,6176,5781,5220,5447,5456,5215,5259,5519,5534,5438,5580,5815,5793,4793,5232,9.20%,-0.40%,5.60%
US,    of which: diesel/gasoil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2866,2829,2671,2690,2845,2868,3197,3235,3393,3412,3374,3309,3359,3437,3555,3581,3705,3839,3844,3952,4059,4155,4070,4253,4420,4443,4523,4522,4228,3809,3995,4018,3811,3819,4040,3979,3815,3893,4103,4043,3709,3856,4.00%,-0.40%,4.10%
