iso,start_year
abw,1965
afg,1965
ago,1965
alb,1965
are,1965
arg,1965
arm,1965
asm,1965
atg,1965
aus,1960
aut,1960
aze,1971
bdi,1965
bel,1960
ben,1965
bfa,1965
bgd,1971
bgr,1965
bhr,1965
bhs,1965
bih,1965
blr,1971
blz,1965
bmu,1965
bol,1965
bra,1965
brb,1965
brn,1965
btn,1965
bwa,1971
caf,1965
can,1960
che,1960
chl,1965
chn,1965
civ,1965
cmr,1965
cod,1965
cog,1965
cok,1965
col,1965
com,1965
cpv,1965
cri,1965
cub,1965
cuw,1965
cym,1965
cyp,1965
cze,1965
deu,1960
dji,1965
dma,1965
dnk,1960
dom,1965
dza,1965
ecu,1965
egy,1965
eri,1971
esh,1971
esp,1960
est,1965
eth,1965
fin,1960
fji,1971
flk,1971
fra,1960
fro,1971
fsm,1971
gab,1965
gbr,1960
geo,1965
gha,1965
gib,1965
gin,1971
global,1960
glp,1971
gmb,1971
gnb,1971
gnq,1971
grc,1960
grd,1971
grl,1971
gtm,1965
guf,1971
gum,1971
guy,1971
hkg,1965
hnd,1965
hrv,1965
hti,1965
hun,1965
idn,1965
ind,1965
irl,1960
irn,1965
irq,1965
isl,1960
isr,1965
ita,1960
jam,1965
jor,1965
jpn,1960
kaz,1971
ken,1965
kgz,1965
khm,1971
kir,1971
kna,1971
kor,1965
kwt,1965
lao,1971
lbn,1965
lbr,1971
lby,1965
lca,1971
lie,1971
lka,1965
lso,1971
ltu,1971
lux,1960
lva,1965
mac,1971
mar,1965
mda,1965
mdg,1971
mdv,1971
mex,1965
mhl,1971
mkd,1965
mli,1971
mlt,1965
mmr,1965
mne,1971
mng,1971
moz,1965
mrt,1971
msr,1971
mtq,1971
mus,1965
mwi,1971
mys,1965
nam,1971
ncl,1971
ner,1971
nga,1965
nic,1965
niu,1971
nld,1960
nor,1960
npl,1965
nzl,1960
omn,1965
pak,1965
pan,1965
per,1965
phl,1965
plw,1971
png,1971
pol,1960
pri,1971
prk,1965
prt,1960
pry,1965
pse,1971
pyf,1971
qat,1965
reu,1971
rou,1965
rus,1971
rwa,1971
sau,1965
sdn,1965
sen,1965
sgp,1965
slb,1971
sle,1971
slv,1965
som,1971
spm,1971
srb,1965
srb (kosovo),1971
ssd,1971
stp,1971
sur,1971
svk,1965
svn,1965
swe,1960
swz,1971
sxm,1971
syc,1971
syr,1965
tca,1971
tcd,1971
tgo,1965
tha,1965
tjk,1965
tkl,1971
tkm,1971
tls,1971
ton,1971
tto,1965
tun,1965
tur,1960
twn,1965
tza,1965
uga,1971
ukr,1971
ury,1965
usa,1960
uzb,1971
vct,1971
ven,1965
vgb,1971
vir,1971
vnm,1965
vut,1971
wlf,1971
wsm,1971
yem,1965
zaf,1965
zmb,1965
zwe,1965
