flow_code,flow_name,sector,conversion,
INDPROD,Production,xxx_production,0.00004186,
IMPORTS,Imports,,,
EXPORTS,Exports,,,
MARBUNK,International Marine Bunkers,transp_international_ship,-0.00004186,
AVBUNK,International Aviation Bunkers,transp_international_air,-0.00004186,
STOCKCHA,Stock Changes,,,
TPES,Total Primary Energy Supply,,,
TRANSFER,Transfers,,,
STATDIFF,Statistical Differences,,,
TOTTRANF,Transformation Sector,,,
MAINELEC,Main Activity Producer Electricity Plants,energytrans_electricity_gen,-0.00004186,
AUTOELEC,Autoproducer Electricity Plants,energytrans_electricity_gen,-0.00004186,
MAINCHP,Main Activity Producer CHP Plants,energytrans_electricity_gen,-0.00004186,
AUTOCHP,Autoproducer CHP Plants,energytrans_electricity_gen,-0.00004186,
MAINHEAT,Main Activity Producer Heat Plants,energytrans_heat_gen,-0.00004186,
AUTOHEAT,Autoproducer Heat Plants,energytrans_heat_gen,-0.00004186,
THEAT,Heat Pumps,,-0.00004186,
TBOILER,Electric Boilers,,-0.00004186,
TELE,Chemical heat for electricity production,,,
TBLASTFUR,Blast Furnaces,energytrans_other,-0.00004186,NOT SURE ABOUT THESE (since are not actually consumption)
TGASWKS,Gas Works,energytrans_other,-0.00004186,NOT SURE ABOUT THESE (since are not actually consumption)
TCOKEOVS,Coke Ovens,energytrans_coke_ovens,-0.00004186,
TPATFUEL,Patent Fuel Plants,energytrans_other,-0.00004186,NOT SURE ABOUT THESE (since are not actually consumption)
TBKB,BKB Plants,energytrans_other,-0.00004186,NOT SURE ABOUT THESE (since are not actually consumption)
TREFINER,Petroleum Refineries,energytrans_petr_refin,-0.00004186,
TPETCHEM,Petrochemical Industry,energytrans_other,-0.00004186,NOT SURE ABOUT THESE (since are not actually consumption)
TCOALLIQ,Coal Liquefaction Plants,energytrans_other,-0.00004186,NOT SURE ABOUT THESE (since are not actually consumption)
TGTL,Gas-to-Liquids (GTL) Plants,energytrans_other,-0.00004186,NOT SURE ABOUT THESE (since are not actually consumption)
TBLENDGAS,For Blended Natural Gas,energytrans_other,-0.00004186,NOT SURE ABOUT THESE (since are not actually consumption)
TCHARCOAL,Charcoal Production Plants,energytrans_other,-0.00004186,NOT SURE ABOUT THESE (since are not actually consumption)
TNONSPEC,Non-specified (Transformation),energytrans_other,-0.00004186,NOT SURE ABOUT THESE (since are not actually consumption)
TOTENGY,Energy Sector,,,
EMINES,Coal Mines,energytrans_other,-0.00004186,
EOILGASE0,Oil and Gas Extraction,energytrans_other,-0.00004186,
EBLASTFUR,Blast Furnaces,energytrans_other,-0.00004186,
EGASWKS,Gas Works,energytrans_other,-0.00004186,
EBIOGAS,Gasification Plants for Biogas,energytrans_other,-0.00004186,
ECOKEOVS,Coke Ovens,energytrans_other,-0.00004186,
EPATFUEL,Patent Fuel Plants,energytrans_other,-0.00004186,
EBKB,BKB Plants,energytrans_other,-0.00004186,
EREFINER,Petroleum Refineries,energytrans_other,-0.00004186,
ECOALLIQ,Coal Liquefaction Plants,energytrans_other,-0.00004186,
ELNG,Liquefaction (LNG) / Regasification Plants,energytrans_other,-0.00004186,
EGTL,Gas-to-Liquids (GTL) Plants,energytrans_other,-0.00004186,
EPOWERPLT,"Own Use in Electricity, CHP and Heat Plants",energytrans_other,-0.00004186,
EPUMPST,Used for Pumped Storage,energytrans_other,-0.00004186,
ENUC,Nuclear Industry,energytrans_other,-0.00004186,
ECHARCOAL,Charcoal Production Plants,energytrans_other,-0.00004186,
ENONSPEC,Non-specified (Energy),energytrans_other,-0.00004186,
DISTLOSS,Distribution Losses,,-0.00004186,
TFC,Total Final Consumption,,,
TOTIND,Industry Sector,,,
IRONSTL,Iron and Steel,industry_comb,0.00004186,
CHEMICAL,Chemical and Petrochemical,industry_comb,0.00004186,
NONFERR,Non-Ferrous Metals,industry_comb,0.00004186,
NONMET,Non-Metallic Minerals,industry_minerals,0.00004186,
TRANSEQ,Transport Equipment,industry_comb,0.00004186,
MACHINE,Machinery,industry_comb,0.00004186,
MINING,Mining and Quarrying,industry_comb,0.00004186,
FOODPRO,Food and Tobacco,industry_comb,0.00004186,
PAPERPRO,"Paper, Pulp and Print",industry_comb,0.00004186,
WOODPRO,Wood and Wood Products,industry_comb,0.00004186,
CONSTRUC,Construction,industry_comb,0.00004186,
TEXTILES,Textile and Leather,industry_comb,0.00004186,
INONSPEC,Non-specified (Industry),industry_comb,0.00004186,
TOTTRANS,Transport Sector,,,
WORLDAV,World Aviation Bunkers,,,
DOMESAIR,Domestic Aviation,transp_domestic_air,0.00004186,
ROAD,Road,transp_road,0.00004186,
RAIL,Rail,transp_rail,0.00004186,
PIPELINE,Pipeline Transport,industry_comb,0.00004186,
WORLDMAR,World Marine Bunkers,,,
DOMESNAV,Domestic Navigation,transp_domestic_ship,0.00004186,
TRNONSPE,Non-specified (Transport),transp_unspecified,0.00004186,
TOTOTHER,Other Sectors,,,
RESIDENT,Residential,rescom_buildings,0.00004186,
COMMPUB,Commercial and Public Services,rescom_buildings,0.00004186,
AGRICULT,Agriculture/Forestry,industry_agriculture,0.00004186,
FISHING,Fishing,transp_domestic_ship,0.00004186,
ONONSPEC,Non-specified (Other),industry_comb,0.00004186,
NONENUSE,Non-Energy Use,,0.00004186,
NEINTREN,Non-Energy Use Industry/Transformation/Energy,,,
NECHEM,   Memo: Feedstock Use in Petchemical Industry,,,
NETRANS,Non-Energy Use in Transport,,,
NEOTHER,Non-Energy Use in Other Sectors,,,
ELOUTPUT,Elect.Output in GWh,,,
ELMAINE,Elec Output-main activity producer ele plants,,0.0000036,
ELAUTOE,Elec Output-autoproducer electricity plants,,0.0000036,
ELMAINC,Elec Output-main activity producer CHP plants,,0.0000036,
ELAUTOC,Elec Output-autoproducer CHP plants,,0.0000036,
HEATOUT,Heat Output in ktoe,,,
HEMAINC,Heat Output-main activity producer CHP plants,,0.00004186,
HEAUTOC,Heat Output-autoproducer CHP plants,,,
HEMAINH,Heat Output-main activity producer heat plant,,,
