COUNTRY,FLOW,Hard coal,Brown coal,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB/peat briquettes,Peat,Crude/NGL/feedstocks/non-crude,Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel,Other kerosene,Gas/diesel oil,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Biogasoline,Biodiesels,Other liquid biofuels,Charcoal
Albania,Average net calorific value,x,x,x,x,x,x,x,x,x,x,x,x,x,x,41868.00,45176.00,44799.00,41868.00,41868.00,48106.00,49500.00,47311.00,44799.00,44000.00,43000.00,44799.00,43000.00,43292.00,40193.00,45008.00,42998.00,41994.00,38979.00,40000.00,31987.00,44799.00,26800.00,36800.00,36800.00,30800.00
Albania,NCV of production,x,x,27214.00,27214.00,27214.00,9843.00,9843.00,29000.00,28200.00,28200.00,38000.00,20000.00,9760.00,x,41868.00,45176.00,41868.00,41868.00,41868.00,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Albania,NCV of other sources,x,x,27214.00,27214.00,27214.00,9843.00,9843.00,29000.00,28200.00,28200.00,38000.00,20000.00,9760.00,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Albania,NCV of imports,x,x,27214.00,27214.00,27214.00,9843.00,9843.00,29000.00,28200.00,28200.00,38000.00,20000.00,9760.00,x,41868.00,45176.00,41868.00,41868.00,41868.00,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Albania,NCV of exports,x,x,27214.00,27214.00,27214.00,9843.00,9843.00,29000.00,28200.00,28200.00,38000.00,20000.00,9760.00,x,41868.00,45176.00,41868.00,41868.00,41868.00,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Albania,NCV of coke ovens,x,x,27214.00,27214.00,27214.00,9843.00,9843.00,29000.00,28200.00,28200.00,38000.00,20000.00,9760.00,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Albania,NCV of blast furnaces,x,x,27214.00,27214.00,27214.00,9843.00,9843.00,29000.00,28200.00,28200.00,38000.00,20000.00,9760.00,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Albania,NCV in main activity producers,x,x,27214.00,27214.00,27214.00,9843.00,9843.00,29000.00,28200.00,28200.00,38000.00,20000.00,9760.00,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Albania,NCV in industry,x,x,27214.00,27214.00,27214.00,9843.00,9843.00,29000.00,28200.00,28200.00,38000.00,20000.00,9760.00,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Albania,NCV for other uses,x,x,27214.00,27214.00,27214.00,9843.00,9843.00,29000.00,28200.00,28200.00,38000.00,20000.00,9760.00,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Albania,Barrels per tonne,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6.60,11.00,7.50,6.50,7.50,8.00,16.85,11.60,8.53,8.90,7.93,7.93,7.74,7.46,6.66,8.50,7.00,7.09,6.08,7.00,5.50,7.00,7.92,7.07,7.80,x
