COUNTRY,FLOW,PRODUCT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,Average net calorific value,Hard coal (if no detail),26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26251,26126,25874,25707,25707,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Australia,Average net calorific value,Brown coal (if no detail),9588,9588,9588,9588,9588,9588,9588,9588,9588,9588,9588,9588,9588,9483,9420,9337,9324,9324,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Australia,Average net calorific value,Anthracite,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,x
Australia,Average net calorific value,Coking coal,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,28119,28081,28135,28135,28139,28181,28190,28858,27628,28215,28530,27233,29466,28588,28306,28494,29727,28537,28540,28547,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500
Australia,Average net calorific value,Other bituminous coal,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,22512,22893,24551,24748,24978,25648,25648,22731,23052,23445,20246,23063,22578,23033,22455,23010,21924,22890,22626,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700
Australia,Average net calorific value,Sub-bituminous coal,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,17375,17375,17484,17547,17639,18179,18761,18254,17873,17940,18003,17861,17863,18004,17917,18030,18630,18554,18554,18525,18525,18478,18478,18478,18478,18478,18478,18478,18478,18478,18478,18478,18478,18478,18478,18478,18478
Australia,Average net calorific value,Lignite,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9274,9261,9709,9759,9567,9039,9069,9165,9244,9203,9303,9341,9309,9312,9314,9307,9240,9210,9210,9133,9146,9125,9125,9300,9310,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
Australia,Average net calorific value,Patent fuel,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Australia,Average net calorific value,Coke oven coke,23865,23865,23865,23865,23865,23865,23865,23865,23865,23865,25653,25653,25653,25653,25653,25653,25653,25653,25653,25653,25653,25653,25653,25653,25653,25715,25715,25648,25648,25648,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
Australia,Average net calorific value,Gas coke,x,x,x,x,x,x,x,x,x,x,x,x,x,x,25653,25653,25653,25653,25653,25653,25653,25653,25653,25653,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Australia,Average net calorific value,Coal tar,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,35714,35714,35714,35714,35714,35714,35714,35714,35714,35714,35714,35714
Australia,Average net calorific value,BKB,21060,21060,21060,21060,21060,21060,21060,21060,21060,21060,21185,21185,21185,21185,21185,21185,21185,21185,21185,21185,21185,21185,21185,21185,21185,21051,21051,20997,20997,20997,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995,20995
Australia,Average net calorific value,Peat,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Australia,Average net calorific value,Peat products,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Australia,Average net calorific value,Oil shale and oil sands,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Australia,Average net calorific value,Crude/NGL/feedstocks/non-crude (if no detail),43287,43287,43287,43287,43287,43287,43287,43287,43287,43287,43287,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Australia,Average net calorific value,Crude oil,x,x,x,x,x,x,x,x,x,x,x,43208,43208,43208,43208,43208,43208,43208,43208,43208,43208,43208,43208,43208,43208,43208,43672,43672,43567,43472,43510,43510,43650,43347,43300,43307,43300,43300,43300,43300,43300,43300,43300,43282,43282,43282,43282,43282,43282,43282,43282,43282,43282,43985,43985
Australia,Average net calorific value,Natural gas liquids,x,x,x,x,x,x,x,x,x,x,x,45217,45217,45217,45217,45217,45217,45217,45217,45217,45217,45217,45217,45217,45217,45217,43672,43672,43567,43472,46930,46930,42655,42655,42655,45070,45070,45070,45070,45070,45070,45070,45070,45410,45410,45410,45410,45410,45410,45410,45410,45410,45410,45410,45410
Australia,Average net calorific value,Refinery feedstocks,x,x,x,x,x,x,x,x,x,x,x,42496,42496,42496,x,x,x,x,42496,42496,42496,42496,42496,42496,42496,42496,42496,42496,42750,42750,42750,42750,42710,42760,42796,42800,42800,42800,42800,42800,42800,42800,42800,43282,43282,43282,43282,43282,43282,43282,43282,43282,43282,43282,43282
Australia,Average net calorific value,Additives/blending components,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,25120,x,25120,x,x,x,x,x,x
Australia,Average net calorific value,Other hydrocarbons,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Australia,Average net calorific value,Refinery gas,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100
Australia,Average net calorific value,Ethane,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,x
Australia,Average net calorific value,Liquefied petroleum gases (LPG),47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700
Australia,Average net calorific value,Motor gasoline excl. biofuels,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600
Australia,Average net calorific value,Aviation gasoline,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600
Australia,Average net calorific value,Gasoline type jet fuel,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,44600,44600,44600,44600,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Australia,Average net calorific value,Kerosene type jet fuel excl. biofuels,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500
Australia,Average net calorific value,Other kerosene,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900
Australia,Average net calorific value,Gas/diesel oil excl. biofuels,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600
Australia,Average net calorific value,Fuel oil,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600
Australia,Average net calorific value,Naphtha,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200
Australia,Average net calorific value,White spirit & SBP,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,x
Australia,Average net calorific value,Lubricants,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,x
