COUNTRY,FLOW,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB/peat briquettes,Peat,Crude/NGL/feedstocks/non-crude (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel,Other kerosene,Gas/diesel oil,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Biogasoline,Biodiesels,Other liquid biofuels,Charcoal
Canada,Average net calorific value,x,x,x,x,x,x,x,x,x,x,x,x,x,x,42790,45220,42500,x,41868,48100,49400,47300,44800,44800,44800,44600,43800,42600,40200,45000,43000,42000,40000,x,32000,40000,26800,x,x,x
Canada,NCV of production,x,x,x,24890,25514,17799,14464,x,28830,x,x,x,x,x,42790,45220,x,x,41868,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Canada,NCV of imports,x,x,26381,28329,25514,17799,14464,x,28830,x,x,x,x,x,42790,45220,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Canada,NCV of exports,x,x,x,24890,25514,17799,14464,x,28830,x,x,x,x,x,42790,45220,x,x,41868,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Canada,NCV of coke ovens,x,x,x,28329,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Canada,NCV of blast furnaces,x,x,x,x,x,x,x,x,28830,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Canada,NCV in main activity producer electricity plants,x,x,x,x,27200,18451,14250,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Canada,NCV in autoproducer electricity plants,x,x,x,x,29778,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Canada,NCV in main activity CHP plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Canada,NCV in autoproducer CHP plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Canada,NCV in main activity heat plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Canada,NCV in autoproducer heat plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
