FLOW,PRODUCT,balance_correction
AUTOCHP,Hard coal (if no detail) (kt),-1
AUTOCHP,Coke oven coke (kt),-1
AUTOCHP,Gas coke (kt),-1
AUTOCHP,Coal tar (kt),-1
AUTOCHP,BKB/peat briquettes (kt),-1
AUTOCHP,Gas works gas (TJ-gross),-1
AUTOCHP,Coke oven gas (TJ-gross),-1
AUTOCHP,Blast furnace gas (TJ-gross),-1
AUTOCHP,-,-1
AUTOCHP,Elec/heat output from non-specified manufactured gases,-1
AUTOCHP,Industrial waste (TJ-net),-1
AUTOCHP,Brown coal (if no detail) (kt),-1
AUTOCHP,Municipal waste (renewable) (TJ-net),-1
AUTOCHP,Municipal waste (non-renewable) (TJ-net),-1
AUTOCHP,Primary solid biofuels (TJ-net),-1
AUTOCHP,Biogases (TJ-net),-1
AUTOCHP,Biogasoline (kt),-1
AUTOCHP,Biodiesels (kt),-1
AUTOCHP,Other liquid biofuels (kt),-1
AUTOCHP,0,-1
AUTOCHP,Charcoal (kt),-1
AUTOCHP,Natural gas (TJ-gross),-1
AUTOCHP,Anthracite (kt),-1
AUTOCHP,Crude/NGL/feedstocks (if no detail) (kt),-1
AUTOCHP,Crude oil (kt),-1
AUTOCHP,Natural gas liquids (kt),-1
AUTOCHP,Refinery feedstocks (kt),-1
AUTOCHP,Additives/blending components (kt),-1
AUTOCHP,Other hydrocarbons (kt),-1
AUTOCHP,Refinery gas (kt),-1
AUTOCHP,Ethane (kt),-1
AUTOCHP,Liquefied petroleum gases (LPG) (kt),-1
AUTOCHP,Motor gasoline (kt),-1
AUTOCHP,Coking coal (kt),-1
AUTOCHP,Aviation gasoline (kt),-1
AUTOCHP,Gasoline type jet fuel (kt),-1
AUTOCHP,Kerosene type jet fuel (kt),-1
AUTOCHP,Other kerosene (kt),-1
AUTOCHP,Gas/diesel oil (kt),-1
AUTOCHP,Fuel oil (kt),-1
AUTOCHP,Naphtha (kt),-1
AUTOCHP,White spirit & SBP (kt),-1
AUTOCHP,Lubricants (kt),-1
AUTOCHP,Bitumen (kt),-1
AUTOCHP,Other bituminous coal (kt),-1
AUTOCHP,Paraffin waxes (kt),-1
AUTOCHP,Petroleum coke (kt),-1
AUTOCHP,Non-specified oil products (kt),-1
AUTOCHP,Heat output from non-specified combustible fuels,-1
AUTOCHP,Nuclear,-1
AUTOCHP,Hydro,-1
AUTOCHP,Geothermal (direct use in TJ-net),-1
AUTOCHP,Solar photovoltaics,-1
AUTOCHP,Solar thermal (direct use in TJ-net),-1
AUTOCHP,"Tide, wave and ocean",-1
AUTOCHP,Sub-bituminous coal (kt),-1
AUTOCHP,Wind,-1
AUTOCHP,Other sources,-1
AUTOCHP,Electricity (GWh),1
AUTOCHP,Heat (TJ),1
AUTOCHP,-,-1
AUTOCHP,Lignite (kt),-1
AUTOCHP,Peat (kt),-1
AUTOCHP,Patent fuel (kt),-1
AUTOELEC,Hard coal (if no detail) (kt),-1
AUTOELEC,Coke oven coke (kt),-1
AUTOELEC,Gas coke (kt),-1
AUTOELEC,Coal tar (kt),-1
AUTOELEC,BKB/peat briquettes (kt),-1
AUTOELEC,Gas works gas (TJ-gross),-1
AUTOELEC,Coke oven gas (TJ-gross),-1
AUTOELEC,Blast furnace gas (TJ-gross),-1
AUTOELEC,-,-1
AUTOELEC,Elec/heat output from non-specified manufactured gases,-1
AUTOELEC,Industrial waste (TJ-net),-1
AUTOELEC,Brown coal (if no detail) (kt),-1
AUTOELEC,Municipal waste (renewable) (TJ-net),-1
AUTOELEC,Municipal waste (non-renewable) (TJ-net),-1
AUTOELEC,Primary solid biofuels (TJ-net),-1
AUTOELEC,Biogases (TJ-net),-1
AUTOELEC,Biogasoline (kt),-1
AUTOELEC,Biodiesels (kt),-1
AUTOELEC,Other liquid biofuels (kt),-1
AUTOELEC,0,-1
AUTOELEC,Charcoal (kt),-1
AUTOELEC,Natural gas (TJ-gross),-1
AUTOELEC,Anthracite (kt),-1
AUTOELEC,Crude/NGL/feedstocks (if no detail) (kt),-1
AUTOELEC,Crude oil (kt),-1
AUTOELEC,Natural gas liquids (kt),-1
AUTOELEC,Refinery feedstocks (kt),-1
AUTOELEC,Additives/blending components (kt),-1
AUTOELEC,Other hydrocarbons (kt),-1
AUTOELEC,Refinery gas (kt),-1
AUTOELEC,Ethane (kt),-1
AUTOELEC,Liquefied petroleum gases (LPG) (kt),-1
AUTOELEC,Motor gasoline (kt),-1
AUTOELEC,Coking coal (kt),-1
AUTOELEC,Aviation gasoline (kt),-1
AUTOELEC,Gasoline type jet fuel (kt),-1
AUTOELEC,Kerosene type jet fuel (kt),-1
AUTOELEC,Other kerosene (kt),-1
AUTOELEC,Gas/diesel oil (kt),-1
AUTOELEC,Fuel oil (kt),-1
AUTOELEC,Naphtha (kt),-1
AUTOELEC,White spirit & SBP (kt),-1
AUTOELEC,Lubricants (kt),-1
AUTOELEC,Bitumen (kt),-1
AUTOELEC,Other bituminous coal (kt),-1
AUTOELEC,Paraffin waxes (kt),-1
AUTOELEC,Petroleum coke (kt),-1
AUTOELEC,Non-specified oil products (kt),-1
AUTOELEC,Heat output from non-specified combustible fuels,-1
AUTOELEC,Nuclear,-1
AUTOELEC,Hydro,-1
AUTOELEC,Geothermal (direct use in TJ-net),-1
AUTOELEC,Solar photovoltaics,-1
AUTOELEC,Solar thermal (direct use in TJ-net),-1
AUTOELEC,"Tide, wave and ocean",-1
AUTOELEC,Sub-bituminous coal (kt),-1
AUTOELEC,Wind,-1
AUTOELEC,Other sources,-1
AUTOELEC,Electricity (GWh),1
AUTOELEC,Heat (TJ),-1
AUTOELEC,-,-1
AUTOELEC,Lignite (kt),-1
AUTOELEC,Peat (kt),-1
AUTOELEC,Patent fuel (kt),-1
AUTOHEAT,Hard coal (if no detail) (kt),-1
AUTOHEAT,Coke oven coke (kt),-1
AUTOHEAT,Gas coke (kt),-1
AUTOHEAT,Coal tar (kt),-1
AUTOHEAT,BKB/peat briquettes (kt),-1
AUTOHEAT,Gas works gas (TJ-gross),-1
AUTOHEAT,Coke oven gas (TJ-gross),-1
AUTOHEAT,Blast furnace gas (TJ-gross),-1
AUTOHEAT,-,-1
AUTOHEAT,Elec/heat output from non-specified manufactured gases,-1
AUTOHEAT,Industrial waste (TJ-net),-1
AUTOHEAT,Brown coal (if no detail) (kt),-1
AUTOHEAT,Municipal waste (renewable) (TJ-net),-1
AUTOHEAT,Municipal waste (non-renewable) (TJ-net),-1
AUTOHEAT,Primary solid biofuels (TJ-net),-1
AUTOHEAT,Biogases (TJ-net),-1
