MSN,YYYYMM,Value,Column_Order,Description,Unit
CLRCPUS,194913,52407,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,195013,51562.35,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,195113,47719.57,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,195213,44282.4,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,195313,39604,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,195413,35229.27,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,195513,35589.84,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,195613,34672.86,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,195713,26971.45,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,195813,27318.96,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,195913,23667.48,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,196013,24159.32,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,196113,22006.41,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,196213,21544.44,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,196313,18243.32,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,196413,15755.7,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,196513,14635.32,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,196613,14584.59,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,196713,12616.38,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,196813,11190.48,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,196913,10569.44,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,197013,9023.84,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,197113,7448.49,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,197213,5034.44,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,197301,520.96,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,197302,446.22,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,197303,350.39,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,197304,229.4,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,197305,232.73,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,197306,233.47,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,197307,230.51,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,197308,249.01,1,Coal Consumed by the Residential Sector,Thousand Short Tons
CLRCPUS,197309,335.59,1,Coal Consumed by the Residential Sector,Thousand Short Tons
