CEDS_level1_shortname,BC,CO,CO2,CH4,NH3,NMVOC,NOx,OC,SO2,N2O
AGR,,,,,,,,,,N2O
AGR,,,AGS,AGS,AGS,AGS,AGS,,,AGS
AGR,,,,ENF,,,,,,
AGR,,,,MNM,MNM,MNM,MNM,,,MNM
ELEC,ENE,ENE,ENE,ENE,ENE,ENE,ENE,ENE,ENE,ENE
ETRN,PRO_FFF,PRO_FFF,PRO_FFF,PRO_FFF,,PRO_FFF,PRO_FFF,PRO_FFF,PRO_FFF,PRO_FFF
ETRN,REF_TRF,REF_TRF,REF_TRF,REF_TRF,REF_TRF,REF_TRF,REF_TRF,REF_TRF,REF_TRF,REF_TRF
ETRN,,,NEU,,,,,,,
FFFI,PRO_FFF,PRO_FFF,PRO_FFF,PRO_FFF,,PRO_FFF,PRO_FFF,PRO_FFF,PRO_FFF,PRO_FFF
INDC,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND
INPU,,,,,,,,,,IDE
INPU,CHE,CHE,CHE,CHE,CHE,CHE,CHE,,CHE,CHE
INPU,FOO_PAP,FOO_PAP,,,,FOO_PAP,FOO_PAP,,FOO_PAP,
INPU,IRO,IRO,IRO,IRO,,IRO,IRO,,IRO,
INPU,NFE,NFE,NFE,,,,NFE,,NFE,
INPU,NMM,NMM,NMM,,NMM,NMM,NMM,,NMM,
NRTR,TNR_Other,TNR_Other,TNR_Other,TNR_Other,TNR_Other,TNR_Other,TNR_Other,TNR_Other,TNR_Other,TNR_Other
NRTR,,,,,,,,,,
RCO,RCO,RCO,RCO,RCO,RCO,RCO,RCO,RCO,RCO,RCO
ROAD,TRO,TRO,TRO,TRO,TRO,TRO,TRO,TRO,TRO,TRO
SLV,,,PRU_SOL,,PRU_SOL,PRU_SOL,,,,PRU_SOL
WST,,,,SWD_LDF,SWD_LDF,SWD_LDF,,,,SWD_LDF
WST,SWD_INC,SWD_INC,SWD_INC,SWD_INC,SWD_INC,SWD_INC,SWD_INC,SWD_INC,SWD_INC,SWD_INC
WST,,,,WWT,WWT,WWT,,,,WWT
SHP,TNR_Ship,TNR_Ship,TNR_Ship,TNR_Ship,TNR_Ship,TNR_Ship,TNR_Ship,TNR_Ship,TNR_Ship,TNR_Ship
TANK,TNR_Ship,TNR_Ship,TNR_Ship,TNR_Ship,TNR_Ship,TNR_Ship,TNR_Ship,TNR_Ship,TNR_Ship,TNR_Ship
