"sector","warning_tol","error_tol"
"AGR","0.05","0.1"
"ENE","0.05","0.1"
"IND","0.05","0.1"
"RCO","0.05","0.1"
"SHP","0.05","0.1"
"SLV","0.05","0.1"
"TRA","0.05","0.1"
"WST","0.05","0.1"
