iso,start_row,end_row,start_col,end_col,xmin_bounding,xmax_bounding,ymin_bounding,ymax_bounding
abw,155,156,220,221,-70.5,-69.5,12,13
afg,104,122,482,510,60.5,75,29,38.5
ago,189,217,384,409,11.5,24.5,-18.5,-4
aia,143,144,234,235,-63.5,-62.5,18,19
alb,95,101,399,403,19,21.5,39.5,43
and,95,96,363,364,1,2,42,43
are,128,135,463,473,51,56.5,22.5,26.5
arg,224,291,213,253,-74,-53.5,-55.5,-21.5
arm,98,103,447,454,43,47,38.5,41.5
asm,203,210,18,24,-171.5,-168,-15,-11
atg,145,147,237,237,-62,-61.5,16.5,18
aus,199,268,554,679,96.5,159.5,-44,-9
aut,83,88,380,395,9.5,17.5,46,49
aze,97,104,450,462,44.5,51,38,42
bdi,185,189,419,422,29,31,-4.5,-2
bel,78,81,366,373,2.5,6.5,49.5,51.5
ben,156,168,362,368,0.5,4,6,12.5
bes,145,156,224,235,-68.5,-62.5,12,18
bfa,150,162,349,365,-6,2.5,9,15.5
bgd,127,139,537,546,88,93,20.5,27
bgr,92,98,405,418,22,29,41,44.5
bhr,128,129,461,462,50,51,25.5,26.5
bhs,126,139,201,215,-80,-72.5,20.5,27.5
bih,90,96,392,400,15.5,20,42,45.5
blr,68,78,407,426,23,33,51,56.5
blz,144,149,182,186,-89.5,-87,15.5,18.5
bmu,116,116,231,231,-65,-64.5,32,32.5
bol,200,226,221,245,-70,-57.5,-23,-9.5
bra,170,248,213,303,-74,-28.5,-34,5.5
brb,154,154,241,242,-60,-59,13,13.5
brn,170,172,589,591,114,115.5,4,5.5
btn,124,127,538,545,88.5,92.5,26.5,28.5
bwa,216,234,401,419,20,29.5,-27,-17.5
caf,159,176,389,415,14,27.5,2,11
can,14,97,79,255,-141,-52.5,41.5,83.5
che,85,89,373,381,6,10.5,45.5,48
chl,216,292,209,226,-76,-67,-56,-17.5
chn,73,144,508,630,73.5,135,18,54
civ,159,172,343,355,-9,-2.5,4,11
cmr,155,177,377,393,8,16.5,1.5,13
cod,170,207,385,423,12,31.5,-13.5,5.5
cog,173,191,383,398,11,19,-5.5,4
cok,201,224,29,46,-166,-157,-22,-10
col,154,189,197,227,-82,-66.5,-4.5,13.5
com,203,205,447,450,43,45,-12.5,-11
cpv,146,151,310,315,-25.5,-22.5,14.5,17.5
cri,158,164,189,195,-86,-82.5,8,11.5
cub,134,141,191,212,-85,-74,19.5,23.5
cuw,156,157,222,223,-69.5,-68.5,11.5,12.5
cym,141,142,198,201,-81.5,-79.5,19,20
cyp,109,111,425,430,32,35,34.5,36
cze,78,83,385,398,12,19,48.5,51.5
deu,70,86,372,391,5.5,15.5,47,55.5
dji,155,159,444,447,41.5,43.5,10.5,13
dma,149,150,238,238,-61.5,-61,15,16
dnk,65,71,377,391,8,15.5,54.5,58
dom,141,145,217,224,-72,-68,17.5,20
dza,106,143,343,384,-9,12,18.5,37.5
ecu,177,190,176,210,-92.5,-75,-5,2
egy,117,137,410,432,24.5,36,21.5,32
eri,145,156,433,447,36,43.5,12,18
esh,125,139,326,343,-17.5,-8.5,20.5,28
esp,93,125,324,369,-18.5,4.5,27.5,44
est,61,65,404,417,21.5,28.5,57.5,60
eth,151,174,427,456,33,48,3,15
fin,40,61,399,424,19,32,59.5,70.5
fji,205,223,1,720,-180,180,-21.5,-12
flk,283,286,238,245,-61.5,-57.5,-53,-51
fra,78,98,350,380,-5.5,10,41,51.5
fro,56,58,345,348,-8,-6,61,62.5
fsm,160,170,637,687,138,163.5,5,10.5
gab,176,188,378,389,8.5,14.5,-4,2.5
gbr,59,81,343,364,-9,2,49.5,61
geo,93,98,441,454,40,47,41,44
ggy,81,82,355,356,-3,-2,49,50
gha,158,171,354,363,-3.5,1.5,4.5,11.5
gib,108,108,350,350,-5.5,-5,36,36.5
gin,155,166,330,345,-15.5,-7.5,7,13
glp,144,149,234,238,-63.5,-61,15.5,18.5
gmb,153,154,327,333,-17,-13.5,13,14
gnb,155,159,327,333,-17,-13.5,10.5,13
gnq,173,183,372,383,5.5,11.5,-1.5,4
grc,97,111,399,420,19,30,34.5,42
grd,156,157,237,237,-62,-61.5,11.5,12.5
grl,13,61,214,338,-73.5,-11,59.5,84
gtm,145,153,176,184,-92.5,-88,13.5,18
guf,169,176,252,257,-54.5,-51.5,2,6
gum,153,154,650,650,144.5,145,13,14
