em,sector,iso,sub_flag
BC,ELEC,cok,1
BC,ELEC,fsm,1
BC,ELEC,mhl,1
BC,ELEC,niu,1
BC,ELEC,plw,1
BC,ELEC,sxm,1
BC,ELEC,tca,1
BC,ELEC,tkl,1
BC,ELEC,ton,1
BC,ELEC,vgb,1
BC,ELEC,wlf,1
BC,INDC,asm,1
BC,INDC,fsm,1
BC,INDC,mhl,1
BC,INDC,mlt,1
BC,INDC,niu,1
BC,INDC,plw,1
BC,INDC,pri,1
BC,INDC,tkl,1
BC,INDC,ton,1
BC,INDC,wlf,1
BC,RCORC,fsm,1
BC,RCORC,mhl,1
BC,RCORC,plw,1
BC,RCORC,pri,1
BC,RCORC,spm,1
BC,RCOO,fsm,1
BC,RCOO,mhl,1
BC,RCOO,plw,1
BC,RCOO,pri,1
BC,RCOO,spm,1
BC,ROAD,cok,1
BC,ROAD,fsm,1
BC,ROAD,mhl,1
BC,ROAD,niu,1
BC,ROAD,plw,1
BC,ROAD,spm,1
BC,ROAD,ton,1
BC,ROAD,wlf,1
CH4,ELEC,mhl,1
CH4,ELEC,mlt,1
CH4,ELEC,plw,1
CH4,ELEC,tkl,1
CH4,ELEC,wlf,1
CH4,INDC,asm,1
CH4,INDC,fsm,1
CH4,INDC,mhl,1
CH4,INDC,mlt,1
CH4,INDC,niu,1
CH4,INDC,plw,1
CH4,INDC,pri,1
CH4,INDC,tkl,1
CH4,INDC,ton,1
CH4,INDC,wlf,1
CH4,RCORC,fsm,1
CH4,RCORC,mhl,1
CH4,RCORC,plw,1
CH4,RCORC,pri,1
CH4,RCORC,spm,1
CH4,RCOO,fsm,1
CH4,RCOO,mhl,1
CH4,RCOO,plw,1
CH4,RCOO,pri,1
CH4,RCOO,spm,1
CH4,ROAD,cok,1
CH4,ROAD,fsm,1
CH4,ROAD,mhl,1
CH4,ROAD,niu,1
CH4,ROAD,plw,1
CH4,ROAD,spm,1
CH4,ROAD,ton,1
CH4,ROAD,wlf,1
CO,ELEC,cok,1
CO,ELEC,fsm,1
CO,ELEC,mhl,1
CO,ELEC,niu,1
CO,ELEC,plw,1
CO,ELEC,sxm,1
CO,ELEC,tca,1
CO,ELEC,tkl,1
CO,ELEC,ton,1
CO,ELEC,vgb,1
CO,ELEC,wlf,1
CO,ETRN,bmu,1
CO,ETRN,cym,1
CO,ETRN,kna,1
CO,ETRN,msr,1
CO,ETRN,pyf,1
CO,INDC,asm,1
CO,INDC,fsm,1
CO,INDC,mhl,1
CO,INDC,mlt,1
CO,INDC,niu,1
CO,INDC,plw,1
CO,INDC,pri,1
CO,INDC,tkl,1
CO,INDC,ton,1
CO,INDC,wlf,1
CO,RCORC,fsm,1
CO,RCORC,mhl,1
CO,RCORC,plw,1
CO,RCORC,pri,1
CO,RCORC,spm,1
CO,RCOO,fsm,1
CO,RCOO,mhl,1
CO,RCOO,plw,1
CO,RCOO,pri,1
CO,RCOO,spm,1
CO,ROAD,cok,1
CO,ROAD,fsm,1
CO,ROAD,mhl,1
CO,ROAD,niu,1
CO,ROAD,plw,1
CO,ROAD,spm,1
CO,ROAD,ton,1
CO,ROAD,wlf,1
CO2,ELEC,abw,1
CO2,ELEC,cok,1
CO2,ELEC,flk,1
CO2,ELEC,fsm,1
CO2,ELEC,gib,1
CO2,ELEC,isl,1
CO2,ELEC,mhl,1
CO2,ELEC,niu,1
CO2,ELEC,plw,1
CO2,ELEC,spm,1
CO2,ELEC,sxm,1
CO2,ELEC,tca,1
CO2,ELEC,tls,1
CO2,ELEC,ton,1
CO2,ELEC,vgb,1
CO2,ELEC,wlf,1
CO2,ETRN,fji,1
CO2,INDC,fsm,1
CO2,INDC,mhl,1
CO2,INDC,mlt,1
CO2,INDC,niu,1
CO2,INDC,plw,1
CO2,INDC,tca,1
CO2,INDC,ton,1
CO2,INDC,wlf,1
CO2,NRTR,atg,1
CO2,NRTR,bdi,1
CO2,NRTR,ben,1
CO2,NRTR,bhs,1
CO2,NRTR,bmu,1
CO2,NRTR,brb,1
CO2,NRTR,caf,1
CO2,NRTR,cok,1
CO2,NRTR,com,1
CO2,NRTR,cpv,1
CO2,NRTR,cub,1
CO2,NRTR,cym,1
CO2,NRTR,dma,1
CO2,NRTR,ecu,1
CO2,NRTR,fji,1
CO2,NRTR,flk,1
CO2,NRTR,fsm,1
CO2,NRTR,gin,1
CO2,NRTR,glp,1
CO2,NRTR,gmb,1
CO2,NRTR,gnb,1
CO2,NRTR,gnq,1
CO2,NRTR,grd,1
CO2,NRTR,guf,1
CO2,NRTR,isl,1
CO2,NRTR,kir,1
CO2,NRTR,kna,1
CO2,NRTR,lbr,1
CO2,NRTR,lca,1
CO2,NRTR,mdv,1
CO2,NRTR,mhl,1
CO2,NRTR,msr,1
CO2,NRTR,mtq,1
CO2,NRTR,mus,1
CO2,NRTR,mys,1
CO2,NRTR,ncl,1
CO2,NRTR,nic,1
CO2,NRTR,niu,1
CO2,NRTR,per,1
CO2,NRTR,phl,1
CO2,NRTR,plw,1
CO2,NRTR,png,1
CO2,NRTR,pry,1
CO2,NRTR,pyf,1
CO2,NRTR,rwa,1
CO2,NRTR,slb,1
CO2,NRTR,stp,1
CO2,NRTR,sur,1
CO2,NRTR,sxm,1
CO2,NRTR,syc,1
CO2,NRTR,tcd,1
CO2,NRTR,tha,1
CO2,NRTR,tkm,1
CO2,NRTR,tls,1
CO2,NRTR,ton,1
CO2,NRTR,vct,1
CO2,NRTR,vgb,1
CO2,NRTR,vut,1
CO2,NRTR,wlf,1
CO2,NRTR,wsm,1
CO2,RCORC,fsm,1
CO2,RCORC,mhl,1
CO2,RCORC,niu,1
CO2,RCORC,plw,1
CO2,RCORC,spm,1
CO2,RCORC,ton,1
CO2,RCORC,wlf,1
CO2,RCOO,fsm,1
CO2,RCOO,mhl,1
CO2,RCOO,niu,1
CO2,RCOO,plw,1
CO2,RCOO,spm,1
CO2,RCOO,ton,1
CO2,RCOO,wlf,1
CO2,ROAD,cok,1
CO2,ROAD,fsm,1
CO2,ROAD,mhl,1
CO2,ROAD,niu,1
CO2,ROAD,plw,1
CO2,ROAD,spm,1
CO2,ROAD,ton,1
CO2,ROAD,wlf,1
CO2,SLV,abw,1
CO2,SLV,btn,1
CO2,FLR,bmu,1
CO2,FLR,cym,1
CO2,FLR,kna,1
CO2,FLR,msr,1
NH3,ELEC,cok,1
NH3,ELEC,flk,1
NH3,ELEC,fsm,1
NH3,ELEC,gib,1
NH3,ELEC,mhl,1
NH3,ELEC,niu,1
NH3,ELEC,plw,1
NH3,ELEC,spm,1
NH3,ELEC,sxm,1
NH3,ELEC,tca,1
NH3,ELEC,tkl,1
NH3,ELEC,tls,1
NH3,ELEC,ton,1
NH3,ELEC,vgb,1
NH3,ELEC,wlf,1
NH3,ETRN,bmu,1
NH3,ETRN,cym,1
NH3,ETRN,kna,1
NH3,ETRN,msr,1
NH3,ETRN,pyf,1
NH3,INDC,asm,1
NH3,INDC,fsm,1
NH3,INDC,mhl,1
NH3,INDC,mlt,1
NH3,INDC,niu,1
NH3,INDC,plw,1
NH3,INDC,pri,1
NH3,INDC,tkl,1
