em,type,path
SO2,input,gridding/EDGAR/v5.0/v50_SO2_2015-1970_ALL_SECTORS_nc
NOx,input,gridding/EDGAR/v5.0/v50_NOx_2015-1970_ALL_SECTORS_nc
NH3,input,gridding/EDGAR/v5.0/v50_NH3_2015-1970_ALL_SECTORS_nc
NMVOC,input,gridding/EDGAR/v5.0/v50_NMVOC_2015-1970_ALL_SECTORS_nc
OC,input,gridding/EDGAR/v5.0/v50_OC_2015-1970_ALL_SECTORS_nc
BC,input,gridding/EDGAR/v5.0/v50_BC_2015-1970_ALL_SECTORS_nc
CO,input,gridding/EDGAR/v5.0/v50_CO_2015-1970_ALL_SECTORS_nc
CO2,input,gridding/EDGAR/v5.0/v50_CO2_2015-1970_ALL_SECTORS_nc
CH4,input,gridding/EDGAR/v5.0/v50_CH4_2015-1970_ALL_SECTORS_nc
N2O,input,gridding/EDGAR/v5.0/v50_N2O_2015-1970_ALL_SECTORS_nc
NA,temp,../intermediate-output/<em>_temp_path
SO2,edgar_sector,../intermediate-output/proxy_intermediate_output/SO2_es
NOx,edgar_sector,../intermediate-output/proxy_intermediate_output/NOx_es
NH3,edgar_sector,../intermediate-output/proxy_intermediate_output/NH3_es
NMVOC,edgar_sector,../intermediate-output/proxy_intermediate_output/NMVOC_es
OC,edgar_sector,../intermediate-output/proxy_intermediate_output/OC_es
BC,edgar_sector,../intermediate-output/proxy_intermediate_output/BC_es
CO,edgar_sector,../intermediate-output/proxy_intermediate_output/CO_es
CO2,edgar_sector,../intermediate-output/proxy_intermediate_output/CO2_es
CH4,edgar_sector,../intermediate-output/proxy_intermediate_output/CH4_es
N2O,edgar_sector,../intermediate-output/proxy_intermediate_output/N2O_es
SO2,ceds_sector,../intermediate-output/final_generated_proxy
NOx,ceds_sector,../intermediate-output/final_generated_proxy
NH3,ceds_sector,../intermediate-output/final_generated_proxy
NMVOC,ceds_sector,../intermediate-output/final_generated_proxy
OC,ceds_sector,../intermediate-output/final_generated_proxy
BC,ceds_sector,../intermediate-output/final_generated_proxy
CO,ceds_sector,../intermediate-output/final_generated_proxy
CO2,ceds_sector,../intermediate-output/final_generated_proxy
CH4,ceds_sector,../intermediate-output/final_generated_proxy
N2O,ceds_sector,../intermediate-output/final_generated_proxy
