CEDS_working_sector,VOC_ratio_sectors
11A_Volcanoes,
11B_Forest-fires,
11C_Other-natural,
1A1a_Electricity-autoproducer,ELEC
1A1a_Electricity-public,ELEC
1A1a_Heat-production,ELEC
1A1bc_Other-transformation,ETRN
1A2a_Ind-Comb-Iron-steel,INDC
1A2b_Ind-Comb-Non-ferrous-metals,INDC
1A2c_Ind-Comb-Chemicals,INDC
1A2d_Ind-Comb-Pulp-paper,INDC
1A2e_Ind-Comb-Food-tobacco,INDC
1A2f_Ind-Comb-Non-metalic-minerals,INDC
1A2g_Ind-Comb-Construction,INDC
1A2g_Ind-Comb-machinery,INDC
1A2g_Ind-Comb-mining-quarying,INDC
1A2g_Ind-Comb-other,INDC
1A2g_Ind-Comb-textile-leather,INDC
1A2g_Ind-Comb-transpequip,INDC
1A2g_Ind-Comb-wood-products,INDC
1A3ai_International-aviation,AIR
1A3aii_Domestic-aviation,AIR
1A3b_Road,ROAD
1A3c_Rail,NRTR
1A3di_International-shipping,SHP
1A3dii_Domestic-navigation,NRTR
1A3eii_Other-transp,NRTR
1A4a_Commercial-institutional,RCORC
1A4b_Residential,RCORC
1A4c_Agriculture-forestry-fishing,RCOO
1A5_Other-unspecified,INDC
1B1_Fugitive-solid-fuels,ETRN
1B2_Fugitive-petr-and-gas,FLR
1B2d_Fugitive-other-energy,ETRN
2A1_Cement-production,INPU
2A2_Lime-production,INPU
2A6_Other-minerals,INPU
2B_Chemical-industry,INPU
2C_Metal-production,INPU
2D_Degreasing-Cleaning,SLV
2D_Paint-application,SLV
2D3_Chemical-products-manufacture-processing,SLV
2D3_Other-product-use,SLV
2H_Pulp-and-paper-food-beverage-wood,INPU
2L_Other-process-emissions,INPU
3B_Manure-management,AGR
3D_Rice-Cultivation,AGR
3D_Soil-emissions,AGR
3E_Enteric-fermentation,AGR
3F_Agricultural-residue-burning-on-fields,AGR
3I_Agriculture-other,AGR
5A_Solid-waste-disposal,WST
5C_Waste-incineration,WST
5D_Wastewater-handling,WST
5E_Other-waste-handling,WST
6A_Other-in-total,INPU
6B_Other-not-in-total,
7A_Fossil-fuel-fires,FFFI
