iso,CEDS_grd_sector,VOC01,VOC02,VOC03,VOC04,VOC05,VOC06,VOC07,VOC08,VOC09,VOC12,VOC13,VOC14,VOC15,VOC16,VOC17,VOC18,VOC19,VOC20,VOC21,VOC22,VOC23,VOC24,VOC25
asm,ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg,ENE,0.064327957,0,0.006526111,0.039016053,0.028867618,0.044667553,0,0,0,0.005280561,0.007363815,0.014958283,0.005582483,0.008334297,0,0,0,0,0.038409002,0.013509254,0.02052545,0.073940188,0.628691375
aus,ENE,0.112769595,0,0.008598576,0.062426493,0.040459925,0.076728217,0.009933478,0,0,0.009008533,0.009702305,0.024489379,0.009523606,0.014353916,0,0,0,0,0.064810113,0.023550576,0.035781852,0.129620227,0.36824321
aut,ENE,0.01738978,0.001808366,0.078241318,0.183103858,0.305267039,0.064151564,0.002928299,0.000968606,0.001043201,0.011098484,0.088284515,0.058573821,0.028097829,0.00224856,0.011173519,0,0,0,0.084278671,0.003655992,0.005554776,0.025404957,0.026726846
aze,ENE,0.026452512,0.001989688,0.072739984,0.174216309,0.283370148,0.069261633,0.005502737,0.001065726,0.001147801,0.012828361,0.08207702,0.057423798,0.031587975,0.003420567,0.012310885,0,0,0,0.083320159,0.005561609,0.008450097,0.036374053,0.030898939
bdi,ENE,0.055577486,0.006578661,0.011083944,0.047879805,0.02680447,0.103642081,0.009075812,0.003523695,0.003795065,0.039809145,0.012506699,0.042188566,0.101693013,0.007182283,0.040715525,0,0,0,0.035231817,0.011684809,0.017753455,0.08362151,0.339652159
bel,ENE,0.01284711,0.005055015,0.067253429,0.157600445,0.25175798,0.087085531,0.004239858,0.002707621,0.002916142,0.028130266,0.075886206,0.063757833,0.075536781,0.001661233,0.031277694,0,0,0,0.069645001,0.002701071,0.004103905,0.029931721,0.025905159
ben,ENE,0.055114315,0.006486462,0.010951561,0.047379212,0.026554861,0.102386022,0.008633691,0.003465837,0.003732751,0.039259716,0.012357322,0.041653587,0.100271772,0.007128187,0.040134982,0,0,0,0.034924059,0.011585562,0.017602664,0.082821046,0.347556389
bfa,ENE,0.041482925,0.004621342,0.035113582,0.096018526,0.127238096,0.086632919,0.008751288,0.002461631,0.002651208,0.028021562,0.039620826,0.046884183,0.071261767,0.005356991,0.028436567,0,0,0,0.052704995,0.008728751,0.013262134,0.061468948,0.239281759
bgd,ENE,0.003838981,0,0.086990823,0.197135954,0.344694909,0.042186206,0.004703231,0,0,0.00031367,0.098157119,0.054595791,0.000331604,0.000495922,0,0,0,0,0.086988695,0.000807804,0.001227347,0.004412621,0.073119324
bgr,ENE,0.015882337,0.007657558,0.055175899,0.13233181,0.196247879,0.108287209,0.008326023,0.004101475,0.004417341,0.042319546,0.062258374,0.067015816,0.114116912,0.002054519,0.047380812,0,0,0,0.058043817,0.00333946,0.005073849,0.04122824,0.024741124
bhr,ENE,3.74E-05,0,0.096159525,0.216314285,0.380812822,0.043911226,0,0,0,3.07E-06,0.10850273,0.059632588,3.24E-06,4.84E-06,0,0,0,0,0.094062149,7.86E-06,1.19E-05,4.30E-05,0.000493329
bhs,ENE,0.064306412,0,0.006513604,0.039024313,0.028936205,0.044655462,0,0,0,0.005281561,0.007349702,0.01497474,0.005583541,0.008317008,0,0,0,0,0.038402585,0.013521225,0.020543637,0.073915417,0.628674587
bih,ENE,0.006488875,0.016621184,0.024881011,0.063204337,0.048852255,0.173600727,0.009849018,0.008902666,0.009588285,0.089559479,0.028074782,0.081868631,0.245267986,0.00083909,0.102843292,0,0,0,0.019254981,0.00136428,0.002072835,0.057322117,0.009544168
blr,ENE,0.008623759,0.002035663,0.083255917,0.191128333,0.324008166,0.062942171,0.003734341,0.001090352,0.001174323,0.011610826,0.093942801,0.061093576,0.030717017,0.001115096,0.012595148,0,0,0,0.084701535,0.001813106,0.002754764,0.016019012,0.005644096
blz,ENE,0.06429999,0,0.006502819,0.039012788,0.028974275,0.044658577,0,0,0,0.005228469,0.007337533,0.014998333,0.005527414,0.008343177,0,0,0,0,0.038411891,0.013519011,0.020540274,0.073908035,0.628737417
bmu,ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bol,ENE,0.041224026,0.001124841,0.055686434,0.140966495,0.220290898,0.059644695,0.006372512,0,0,0.007631579,0.062834444,0.044716418,0.015286592,0.005378146,0.004745424,0,0,0,0.074661329,0.008641592,0.013129707,0.049774224,0.187890644
bra,ENE,0.002822057,0,0.08844607,0.200059121,0.346068739,0.055542865,0.00832528,0,0,0.00784071,0.099799171,0.060369806,0.019968983,0,0.008608396,0,0,0,0.087165205,0,0,0.007735079,0.007248518
