iso,sector,new_data_source,new_iso,outlier_years,replace_years
abw,ENE,EDGAR,,2016-2017,2015-2018
afg,ENE,EDGAR,,2016-2017,2015-2018
afg,TRA,EDGAR,,,
arm,ENE,both,tur,2000-2016-2017,2001-2015-2018
arm,TRA,both,tur,,
aut,ENE,EDGAR,,2016-2017,2015-2018
can,ENE,EDGAR,,,
dnk,ENE,EDGAR,,2016-2017,2015-2018
est,ENE,EDGAR,,,
est,TRA,EDGAR,,,
fin,ENE,EDGAR,,2016-2017,2015-2018
isl,ENE,EDGAR,,2010-2011,2009-2012
ltu,ENE,EDGAR,,2011-2016-2017,2012-2015-2018
ltu,TRA,EDGAR,,,
lva,ENE,EDGAR,,,
lva,TRA,EDGAR,,,
nzl,ENE,EDGAR,,2016-2017,2015-2018
prt,ENE,EDGAR,,,
slv,ENE,EDGAR,,2016-2017,2015-2018
swe,ENE,EDGAR,,2002-2016-2017,2003-2015-2018
atg,ENE,EDGAR,,2016-2017,2015-2018
cok,ENE,EDGAR,,2016-2017,2015-2018
for,ENE,both,nor,2016-2017,2015-2018
for,TRA,both,nor,,
isr,ENE,EDGAR,,2016-2017,2015-2018
lbn,ENE,EDGAR,,2016-2017,2015-2018
mda,ENE,EDGAR,,2000-2016-2017,2001-2015-2018
