"Source","Sector","SubSector","2016","2017","2018","2019","2020","2021","2022"
"Ore and Mineral Industries","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Ore and Mineral Industries","Aluminium Industry","","947.8599999999999","953.9300000000001","1657.05","1850.82","2010.09","2021.89","NaN"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","24.31","23.95","20.08","17.02","17.01","17.88","0"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","923.55","929.98","1636.97","1833.8","1993.08","2004.01","1946.85"
"Ore and Mineral Industries","Asphalt Paving Industry","","4077.35","5264.16","517.71","493.43","490.33","552.38","473.98"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","4077.35","5264.16","517.71","493.43","490.33","552.38","473.98"
"Ore and Mineral Industries","Cement and Concrete Industry","","NaN","515.27","617.96","652.98","552.8299999999999","596.14","NaN"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","404.93","441.76","497.12","579.34","484.91","467.04","531.61"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","29.28","47.3","112.1","62.88","56.07","115.85","109.03"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","1.68","1.71","1.64","2.16","1.67","1.49","1.2"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","0","24.5","7.1","8.6","10.18","11.76","0"
"Ore and Mineral Industries","Foundries","","627.01","977.82","1796.99","1053.57","1364.26","1200.49","1090.65"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","568.58","927.5","1733.4","991.3","1286.76","1143.78","1032.2"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","58.43","50.32","63.59","62.27","77.5","56.71","58.45"
"Ore and Mineral Industries","Iron and Steel Industry","","820.8","919.1","1003.89","844.25","642.06","692.93","799.58"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","622.64","595.71","703.62","619.91","466.02","486.9","549.48"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","198.16","323.39","300.27","224.34","176.04","206.03","250.1"
"Ore and Mineral Industries","Iron Ore Pelletizing","","401.89","236.88","241.19","306.37","293.27","222.85","228.05"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","401.89","236.88","241.19","306.37","293.27","222.85","228.05"
"Ore and Mineral Industries","Mineral Products Industry","","136.13","71.59","106.84","66.73","85.2","98.7","115.62"
"Ore and Mineral Industries","Mineral Products Industry","Other (Mineral Products Industry)","136.13","71.59","106.84","66.73","85.2","98.7","115.62"
"Ore and Mineral Industries","Mining and Rock Quarrying","","NaN","NaN","NaN","NaN","NaN","NaN","1699.74"
"Ore and Mineral Industries","Mining and Rock Quarrying","Coal Mining Industry","0.97","2.95","4.53","59.21","103.76","74.93","130.93"
"Ore and Mineral Industries","Mining and Rock Quarrying","Iron Ore Mining","3.59","38.17","32.65","25.6","23.8","9.7","34.7"
"Ore and Mineral Industries","Mining and Rock Quarrying","Limestone","0","0","0","17","0","0","5.17"
"Ore and Mineral Industries","Mining and Rock Quarrying","Metal Mining","631.55","510.66","586.82","492.58","616.6","727.39","777.7"
"Ore and Mineral Industries","Mining and Rock Quarrying","Potash","425.33","389.09","392.98","397.96","438.65","411.07","415.28"
