"report_year","emission","primary_anzsic_class_code","primary_anzsic_class_name","substance_id","air_total_emission_kg"
"1998/1999","CO",600,"Coal Mining",20,484421.49
"1998/1999","CO",700,"Oil and Gas Extraction",20,842191.17
"1998/1999","CO",801,"Iron Ore Mining",20,324330.4
"1998/1999","CO",802,"Bauxite Mining",20,790701
"1998/1999","CO",803,"Copper Ore Mining",20,354551.1
"1998/1999","CO",804,"Gold Ore Mining",20,988390.2
"1998/1999","CO",805,"Mineral Sand Mining",20,167.4
"1998/1999","CO",806,"Nickel Ore Mining",20,144162
"1998/1999","CO",807,"Silver-Lead-Zinc Ore Mining",20,159477
"1998/1999","CO",809,"Other Metal Ore Mining",20,477344
"1998/1999","CO",990,"Other Non-Metallic Mineral Mining and Quarrying",20,27827.338
"1998/1999","CO",1111,"Meat Processing",20,22532.72
"1998/1999","CO",1131,"Milk and Cream Processing",20,8.81
"1998/1999","CO",1140,"Fruit and Vegetable Processing",20,734
"1998/1999","CO",1161,"Grain Mill Product Manufacturing",20,70943.91
"1998/1999","CO",1171,"Bread Manufacturing (Factory based)",20,55483
"1998/1999","CO",1181,"Sugar Manufacturing",20,2261942
"1998/1999","CO",1182,"Confectionery Manufacturing",20,2750
"1998/1999","CO",1199,"Other Food Product Manufacturing n.e.c.",20,6092
"1998/1999","CO",1212,"Beer Manufacturing",20,119346
"1998/1999","CO",1331,"Textile Floor Covering Manufacturing",20,522
"1998/1999","CO",1411,"Log Sawmilling",20,8000
"1998/1999","CO",1493,"Veneer and Plywood Manufacturing",20,158240
"1998/1999","CO",1510,"Pulp, Paper and Paperboard Manufacturing",20,2307017.7
"1998/1999","CO",1521,"Corrugated Paperboard and Paperboard Container Manufacturing",20,343299
"1998/1999","CO",1529,"Other Converted Paper Product Manufacturing",20,39600
"1998/1999","CO",1611,"Printing",20,1836.6
"1998/1999","CO",1701,"Petroleum Refining and Petroleum Fuel Manufacturing",20,9877258
"1998/1999","CO",1709,"Other Petroleum and Coal Product Manufacturing",20,44605
"1998/1999","CO",1811,"Industrial Gas Manufacturing",20,56800
"1998/1999","CO",1812,"Basic Organic Chemical Manufacturing",20,137047
"1998/1999","CO",1813,"Basic Inorganic Chemical Manufacturing",20,11635.542
"1998/1999","CO",1821,"Synthetic Resin and Synthetic Rubber Manufacturing",20,3e+05
"1998/1999","CO",1831,"Fertiliser Manufacturing",20,182000
"1998/1999","CO",1832,"Pesticide Manufacturing",20,4710
"1998/1999","CO",1841,"Human Pharmaceutical and Medicinal Product Manufacturing",20,10007.3
"1998/1999","CO",1851,"Cleaning Compound Manufacturing",20,2703
"1998/1999","CO",1899,"Other Basic Chemical Product Manufacturing n.e.c.",20,21700
"1998/1999","CO",1911,"Polymer Film and Sheet Packaging Material Manufacturing",20,3400
