cdiac_fuel,ceds_fuel
solid_fuels,hard_coal
solid_fuels,brown_coal
solid_fuels,coal_coke
gas_fuels,natural_gas
liquid_fuels,heavy_oil
liquid_fuels,diesel_oil
liquid_fuels,light_oil
solid_fuels,biomass
gas_flaring,
cement_production,
per_capital_CO2,
bunker_fuels,
Total_CO2,
,
