"Category","1.AA.1.A Public Electricity and Heat Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","391.41","391.41","404.81","399.41","407.70","409.06","426.55","449.70","478.41","482.72","494.92","525.44","560.13","587.82","630.50","613.35","593.91","636.70","613.62","638.20","630.70","609.62","586.47","581.32"
"Austria","11.79","11.79","13.31","5.73","6.63","4.68","5.93","4.31","5.42","3.53","3.68","3.68","4.41","3.97","4.22","3.43","3.56","4.05","3.07","3.07","3.07","3.18","2.90","2.44"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","94.89","94.89","90.19","83.39","79.04","78.95","78.03","69.29","61.23","61.78","33.81","35.07","31.05","29.51","30.07","33.39","29.42","25.17","18.38","7.96","4.39","3.02","2.45","2.43"
"Bulgaria","1,316.79","1,196.59","900.68","948.86","933.20","941.30","976.85","966.42","1,087.23","1,060.44","893.47","920.80","1,046.91","938.56","1,031.53","1,022.83","989.92","999.65","1,126.94","1,135.90","1,087.75","1,164.17","1,445.83","1,264.26"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","76.63","76.63","47.81","59.46","57.48","47.48","40.34","28.97","42.80","57.19","57.19","22.22","23.37","19.18","22.65","14.45","20.50","18.52","25.61","23.04","25.83","8.97","10.47","8.42"
"Cyprus","21.62","21.62","22.42","25.85","27.81","29.07","26.50","28.14","29.75","32.51","34.33","32.80","29.83","30.34","32.90","31.40","34.07","27.52","25.51","20.52","16.08","20.34","19.37","14.75"
"Czech Republic","844.47","844.47","851.00","756.70","756.70","630.67","476.60","476.60","476.60","165.71","71.47","79.23","125.47","129.69","132.59","124.09","128.06","126.73","130.03","105.32","104.35","99.82","101.72","94.08"
"Denmark","126.50","126.50","184.40","136.87","105.09","107.82","104.45","142.62","74.11","54.07","36.53","12.29","10.59","10.22","17.20","9.96","7.95","10.06","8.84","6.59","4.66","3.88","2.90","2.98"
