"Category","2.D.1 Pulp and Paper"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","2.64","2.64","2.63","2.07","1.60","1.69","1.79","1.88","2.20","2.46","2.69","2.91","2.90","2.93","3.04","3.14","3.34","3.54","3.55","3.51","2.77","3.19","3.27","3.39"
"Belgium","0.66","0.66","0.69","0.68","0.32","0.49","0.62","0.61","0.55","0.02","0.52","0.18","0.12","0.43","0.54","0.54","0.59","0.54","0.41","0.08","0.00","0.07","",""
"Bulgaria","6.21","4.29","2.59","2.14","2.28","2.43","3.06","2.76","2.56","1.85","1.43","0.59","0.64","0.60","0.88","0.48","0.83","0.85","0.88","0.93","0.26","1.09","1.69","3.55"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.52","0.52","0.35","0.32","0.37","0.46","0.39","0.31","0.35","0.29","0.36","0.44","0.39","0.39","0.26","0.33","0.28","0.32","0.25","0.26","0.18","0.27","0.31","0.21"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","0.85","0.85","0.83","0.80","0.80","0.75","0.59","0.59","0.59","0.15","0.34","0.33","0.07","0.45","0.65","0.03","0.03","0.28","0.32","0.03","0.01","0.05","0.01",""
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","1.20","1.20","1.18","0.56","0.01","0.00","0.10","0.33","0.57","0.70","0.78","0.87","0.84","1.03","1.08","1.21","1.22","1.18","1.09","1.04","0.98","1.19","1.16","1.24"
"European Union (15)","77.56","77.56","63.58","51.67","46.96","41.33","37.41","37.21","34.92","31.14","28.73","27.19","24.13","21.90","22.26","22.76","17.19","16.73","15.97","14.50","13.45","13.46","12.47","11.91"
"European Union (28)","92.62","92.62","74.85","60.46","52.64","46.85","44.42","43.83","41.23","36.00","33.73","32.17","28.59","27.28","28.23","27.56","21.05","20.52","19.76","16.75","14.88","16.06","15.63","16.92"
"Finland","22.57","22.57","17.08","11.59","10.62","8.26","7.31","8.06","6.89","6.49","6.34","5.38","4.64","4.17","3.85","4.19","3.19","3.35","2.96","2.40","1.94","2.02","1.49","1.91"
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","35.26","35.26","26.88","21.28","18.61","17.08","14.84","13.50","12.92","11.78","9.32","8.80","7.56","5.60","5.54","5.76","1.44","1.24","1.26","1.20","1.12","1.21","1.22","1.26"
"Greece","0.27","0.27","0.22","0.23","0.13","0.13","0.20","0.18","0.17","0.18","0.18","0.21","0.20","0.18","0.21","0.21","0.21","0.21","0.21","0.21","0.20","0.20","0.19","0.20"
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","1.04","1.04","0.83","0.59","0.42","0.30","0.53","0.25","0.25","0.24","0.24","0.24","0.24","0.27","0.25","0.23","0.17","0.16","0.16","0.09","0.03","","",""
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","1.10","1.10","1.34","0.92","0.14","0.01","0.05","0.04","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","1.55","1.55","1.55","1.55","0.15","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","0.07","0.07","0.07","0.06","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.08","0.07","0.07","0.06","0.07","0.08","0.09","0.09","0.09","0.09","0.09","0.09","0.09"
"Norway","1.87","1.87","1.58","0.88","0.59","1.11","0.70","0.71","0.58","0.57","0.55","0.45","0.40","0.51","0.47","0.56","0.73","0.61","0.58","0.62","0.49","0.56","0.53","0.38"
