"Category","1.AA.2.D Pulp, Paper and Print"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","1.51","1.51","1.43","1.50","1.36","1.20","1.23","1.08","1.38","1.06","2.86","2.75","2.75","2.75","1.08","0.86","0.87","0.86","0.87","0.87","1.54","1.45","1.45","1.38"
"Austria","4.30","4.30","4.91","2.60","2.25","2.21","1.97","1.96","2.02","1.71","1.30","1.22","1.10","1.31","1.17","1.17","1.15","1.20","1.17","1.09","1.06","1.17","1.09","1.00"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","1.42","1.42","4.43","2.33","2.04","3.24","2.64","2.48","2.27","2.21","2.22","3.64","2.74","1.71","2.03","0.97","0.80","0.79","0.59","0.48","0.41","0.22","0.20","0.16"
"Bulgaria","17.10","0.22","0.04","1.12","0.04","0.04","0.16","0.22","3.68","2.96","2.55","2.07","1.41","5.23","3.21","2.01","2.13","0.87","1.50","1.14","","0.54","0.60","0.30"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.03","0.03","0.02","0.02","0.00","0.00","0.00","0.00","0.00","0.02","0.02","0.02"
"Czech Republic","","","","","","","","","","","","","","","1.59","1.76","1.64","1.37","1.52","1.50","1.24","1.32","1.28","1.32"
"Denmark","1.27","1.27","1.46","1.01","0.82","0.71","0.31","0.15","0.07","0.07","0.04","0.05","0.06","0.06","0.04","0.04","0.02","0.04","0.07","0.05","0.04","0.05","0.05","0.05"
"Estonia","","","","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"European Union (15)","180.79","180.79","179.91","162.86","149.11","151.67","128.58","109.50","96.31","85.23","75.46","76.11","65.04","60.83","47.75","43.06","39.29","39.76","36.56","29.22","26.39","25.78","23.61","22.39"
"European Union (28)","188.33","188.33","187.19","173.02","156.44","160.31","135.82","115.79","104.69","90.57","80.68","87.28","75.33","73.99","60.64","52.18","47.73","46.03","43.26","33.82","29.87","30.39","27.80","26.69"
"Finland","43.69","43.69","31.81","19.92","15.05","13.96","11.52","9.75","9.65","8.36","8.07","7.44","7.85","7.87","6.67","6.63","5.26","6.80","5.67","4.39","3.09","3.56","2.98","3.04"
"France","39.40","39.40","42.44","39.19","34.66","36.44","34.16","28.61","26.18","22.68","19.10","17.65","11.87","9.58","6.99","6.53","6.96","6.55","6.19","3.09","3.05","3.01","2.23","1.96"
"Germany","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","6.00","6.00","5.78","5.70","5.11","3.63","3.73","4.04","5.08","3.98","3.71","4.65","4.44","4.68","4.49","3.21","2.86","3.22","3.15","0.63","0.38","0.33","0.26","0.43"
"Hungary","","0.59","0.48","0.48","0.48","0.30","0.37","0.72","0.84","0.53","0.96","0.53","0.64","0.57","0.39","0.31","0.18","0.15","0.20","0.13","0.10","0.05","0.05","0.07"
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","0.34","0.34","0.12","0.14","0.14","0.17","0.16","0.14","0.15","0.15","0.13","0.14","0.13","0.07","0.07","0.09","0.05","0.04","0.01","0.03","0.04","0.02","0.01","0.01"
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","93.16","93.16","61.44","66.19","76.13","72.28","75.03","84.58","85.77","81.10","57.89","49.66","41.43","33.19","31.30","29.40","27.51","27.51","27.51","27.51","27.51","27.51","27.51","27.51"
"Latvia","0.23","0.23","0.19","0.15","0.26","0.11","0.15","0.06","0.05","0.02","0.02","","0.02","0.01","0.01","0.01","0.01","0.01","","","","0.00","0.00","0.00"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","0.10","0.10","0.13","0.08","0.07","0.14","0.11","0.15","0.20","0.08","0.07","0.03","0.03","0.03","0.03","0.03","0.04","0.04","0.03","0.03","0.02","0.03","0.02","0.03"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","0.23","0.23","0.20","0.16","0.13","0.09","0.06","0.06","0.06","0.06","0.01","0.06","0.00","0.11","0.10","0.05","0.04","0.04","0.03","0.04","0.03","0.03","0.03","0.03"
"New Zealand","10.63","10.63","10.93","11.04","11.61","12.27","12.56","12.03","12.67","13.48","15.20","16.91","16.69","18.11","18.17","19.67","19.53","19.37","18.49","17.05","15.52","17.72","18.03","17.90"
"Norway","1.21","1.21","1.28","1.18","0.88","2.05","1.61","2.53","1.95","1.66","1.40","0.95","1.26","1.12","1.37","1.40","1.29","1.39","1.13","0.77","0.71","0.94","0.65","0.41"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","17.07","17.07","17.71","18.04","17.29","19.37","17.06","17.12","17.17","17.57","14.57","13.85","13.38","12.38","10.13","10.74","9.98","9.14","8.90","9.08","10.17","9.16","8.97","8.88"
"Romania","0.01","","","0.05","0.03","0.33","0.46","0.49","0.39","0.41","0.38","0.32","0.34","0.35","0.53","0.29","0.21","0.21","0.27","0.03","0.02","0.04","0.00","0.02"
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","7.37","7.12","6.11","6.66","4.25","3.38","3.17","2.95","1.59","1.85","1.81","0.95","1.43"
"Slovenia","8.59","6.38","6.42","8.27","6.42","7.70","5.96","4.62","3.19","1.31","1.20","0.82","0.71","0.84","0.43","0.44","0.83","0.45","0.23","0.18","0.25","0.81","1.27","1.11"
"Spain","30.03","30.03","27.58","25.67","24.77","30.06","29.99","26.67","18.79","18.42","18.60","19.70","16.13","16.46","10.39","7.84","6.62","6.63","5.84","5.84","4.18","4.24","4.13","3.42"
"Sweden","8.32","8.32","9.74","7.77","8.45","9.36","8.13","6.26","6.60","5.67","4.38","2.80","2.62","2.39","2.16","2.07","1.94","2.00","1.71","1.77","1.66","1.72","1.47","1.44"
"Switzerland","3.25","3.25","2.75","2.22","1.88","1.59","1.56","1.50","1.42","1.52","1.01","0.64","0.98","0.63","1.03","1.27","0.83","0.94","0.68","0.47","0.22","0.04","0.01","0.01"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","1.88","2.59","1.96","1.97","1.55","0.65","0.20","0.17","0.35","0.28","0.31","1.27","0.72","0.99","1.27"
"United Kingdom of Great Britain and Northern Ireland","28.73","28.73","33.73","40.33","38.41","32.42","18.84","12.27","8.26","4.34","3.34","4.90","4.70","4.21","3.51","3.71","3.60","3.32","3.23","2.76","2.29","2.26","2.20","1.98"
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
