"Category","2.B.5 Other"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","1.56","1.56","1.29","1.02","0.75","0.73","0.71","0.70","0.68","0.61","0.59","0.59","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77"
"Belarus","20.59","20.59","17.46","10.78","6.99","5.09","7.64","9.61","12.21","11.21","10.75","10.21","9.34","9.17","10.08","11.25","12.90","13.23","13.79","15.00","14.57","16.06","16.38","16.75"
"Belgium","18.00","18.00","17.76","14.35","11.98","17.67","10.05","9.30","12.72","9.48","9.95","8.52","7.80","9.04","6.20","6.08","6.49","5.76","7.09","4.89","2.23","3.81","4.04","3.51"
"Bulgaria","15.69","9.77","6.60","7.27","7.60","8.04","8.56","9.72","10.19","9.16","8.42","11.63","11.25","13.54","15.99","17.50","18.33","18.21","17.12","19.42","20.47","19.00","21.02","13.24"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.71","0.71","0.50","0.60","0.47","0.66","0.66","0.64","0.58","0.51","0.55","0.52","0.44","0.58","0.36","0.43","0.46","0.54","0.50","0.51","0.16","","","0.00"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","1.94","1.94","1.85","1.91","","2.54","1.75","","","2.48","1.94","4.38","0.31","3.31","0.88","0.50","0.94","0.62","2.94","0.41","0.39","0.67","0.86","0.91"
"Denmark","0.85","0.85","0.71","0.81","0.67","0.72","0.62","0.46","0.61","0.62","0.70","0.63","0.66","0.65","0.53","0.55","0.61","0.38","0.09","0.15","0.11","0.12","0.19","0.23"
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","263.78","263.78","215.26","189.53","169.67","178.95","184.68","124.12","126.96","124.99","120.25","108.54","96.80","92.70","85.64","80.09","80.41","80.13","84.37","77.70","53.56","60.16","63.75","57.72"
