"Category","2.C Metal Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","995.62","995.62","63.08","64.98","65.95","71.41","70.03","71.02","72.54","76.13","80.30","78.64","74.34","73.62","77.87","80.48","79.59","80.86","83.39","82.96","76.92","82.63","83.89","73.56"
"Austria","0.66","0.66","0.61","0.65","0.67","0.69","0.66","0.60","0.59","0.57","0.52","0.49","0.45","0.45","0.45","0.45","0.45","0.45","0.46","0.46","0.44","0.45","0.45","0.45"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","10.05","10.05","9.51","7.45","2.50","8.06","2.71","3.41","5.28","2.50","3.88","1.90","1.59","2.04","1.99","2.01","1.69","1.36","1.51","1.80","0.94","1.21","1.34","1.12"
"Bulgaria","1.57","1.24","1.02","0.91","1.09","1.55","1.70","1.59","1.73","1.49","1.24","2.30","1.20","1.14","1.44","1.21","1.16","1.21","1.13","0.50","0.03","0.03","0.04","0.03"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","1.06","1.06","0.73","0.01","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.01","0.00","0.01","0.01","0.01"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","10.26","10.26","10.37","10.48","10.48","9.04","10.74","10.74","10.74","6.84","5.31","12.77","1.66","0.34","0.48","0.11","0.88","0.42","0.18","0.08","0.25","0.23","0.66","0.49"
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","103.06","103.06","78.06","72.84","65.45","71.55","55.58","56.08","61.31","58.11","58.73","91.75","87.87","91.14","84.02","83.47","83.27","81.58","81.62","79.70","58.10","66.01","64.88","64.59"
"European Union (28)","116.49","116.49","90.95","84.83","77.42","82.57","68.50","68.90","74.35","67.02","65.81","108.75","92.65","94.98","88.38","87.42","87.23","85.20","84.51","81.33","59.01","66.89","66.35","65.93"
"Finland","7.76","7.76","6.42","5.08","4.64","4.77","3.17","3.68","2.96","2.92","3.26","2.81","3.16","3.24","3.72","3.69","3.68","4.21","4.15","4.39","3.49","3.88","3.50","3.98"
"France","5.22","5.22","4.69","6.35","6.39","5.96","5.77","6.12","6.62","7.44","7.48","8.19","8.01","13.40","6.71","7.37","7.57","7.01","6.75","5.77","4.62","4.32","4.45","4.61"
"Germany","48.74","48.74","27.41","25.05","23.83","24.66","17.02","16.37","17.45","17.75","17.33","51.96","48.98","46.74","45.89","44.96","43.11","41.65","41.66","40.15","27.97","35.35","32.92","34.33"
"Greece","1.24","1.24","1.26","1.25","1.14","1.17","1.15","1.15","1.17","1.21","1.26","1.35","1.37","1.44","1.43","1.44","1.48","1.45","1.48","1.43","1.05","1.18","1.44","1.40"
"Hungary","0.44","0.45","0.45","0.38","0.16","0.17","0.18","0.19","0.20","0.20","0.20","0.20","0.20","0.21","0.21","0.21","0.21","0.19","","","","","",""
"Iceland","3.18","3.18","2.48","2.47","2.79","2.73","2.73","2.76","3.19","3.49","4.57","5.07","5.00","5.37","5.66","5.69","5.63","6.46","7.38","12.18","12.63","12.76","12.93","13.66"
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","5.49","5.49","5.11","4.18","4.22","4.61","4.72","4.58","3.30","3.27","3.26","3.31","3.25","3.64","4.02","4.10","4.10","4.09","4.22","4.32","4.12","3.23","3.16","2.51"
"Japan","40.30","40.30","46.74","35.10","41.13","42.18","44.89","35.11","36.11","33.95","31.63","33.08","34.53","35.98","34.57","33.16","31.75","31.75","31.75","31.75","31.75","31.75","31.75","31.75"
"Latvia","0.09","0.09","0.06","0.04","0.05","0.05","0.04","0.05","0.07","0.08","0.08","0.08","0.08","0.08","0.09","0.09","0.09","0.09","0.09","0.08","0.07","0.09","0.03","0.13"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","0.16","0.16","0.15","0.14","0.15","0.15","0.16","0.17","0.21","0.29","0.22","0.21","0.22","0.23","0.22","0.21","0.21","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","0.21","0.21","","","","","0.22","0.25","0.24","0.26","0.58","0.42","0.20","1.56","","0.09","0.14","0.14","0.14","0.14","0.11","0.11","0.10","0.11"
"New Zealand","5.95","5.95","5.97","5.62","6.13","6.10","6.20","6.46","6.91","7.12","7.26","7.22","7.19","7.32","7.40","7.68","7.62","7.37","7.77","6.97","6.04","7.60","7.84","7.21"
"Norway","17.29","17.29","14.53","11.38","12.00","12.35","12.68","11.85","11.63","11.69","11.71","11.64","10.29","8.64","8.29","10.01","9.33","6.76","7.08","8.12","5.27","7.77","8.09","7.57"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.68","0.68","0.65","0.82","0.82","0.86","0.93","0.94","0.96","0.96","1.01","1.06","0.34","0.17","0.19","0.21","0.22","0.24","0.26","0.29","0.23","0.22","0.27","0.27"
"Romania","0.49","0.33","0.27","0.19","0.19","0.21","0.25","0.24","0.28","0.29","0.24","0.25","0.26","0.29","0.30","0.32","0.34","0.35","0.35","0.34","0.23","0.24","0.25","0.23"
"Russian Federation","164.68","164.68","140.95","135.54","125.41","114.60","123.17","119.38","119.95","114.70","129.38","138.17","139.81","144.04","150.28","155.50","153.71","162.43","164.42","161.06","146.80","157.08","156.02","163.05"
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","1.40","1.38","1.78","1.83","2.00","1.28","1.35","1.12","0.62","0.33","0.29","0.50","0.46"
"Spain","4.27","4.27","4.27","4.76","5.08","4.52","4.24","4.61","5.65","5.86","5.91","5.97","5.95","5.56","5.48","5.74","5.83","5.78","5.76","5.87","4.90","5.22","5.30","5.28"
"Sweden","9.63","9.63","9.36","8.95","7.81","8.00","6.75","5.89","6.19","5.65","5.68","6.55","6.57","6.33","6.36","5.74","6.31","7.07","7.20","7.18","5.59","6.43","6.63","7.24"
"Switzerland","0.84","0.84","0.81","0.76","0.46","0.35","0.26","0.31","0.32","0.37","0.29","0.30","0.31","0.34","0.37","0.38","0.38","0.12","0.02","0.02","0.02","0.02","0.02","0.02"
"Turkey","2.23","2.23","1.90","1.95","1.89","1.95","1.79","2.15","2.37","1.77","1.60","1.74","1.62","1.38","1.40","1.51","1.39","1.34","0.80","0.39","","","",""
"Ukraine","92.22","92.22","75.29","72.58","55.68","41.44","37.00","36.67","42.39","42.97","47.25","52.83","54.27","56.82","60.75","63.70","63.23","67.70","73.23","63.65","52.71","56.20","59.31","58.43"
"United Kingdom of Great Britain and Northern Ireland","8.94","8.94","8.63","8.15","8.19","8.09","8.09","8.30","10.68","9.44","8.34","7.53","7.79","6.34","7.57","7.46","8.47","8.12","8.02","7.91","4.65","4.41","5.30","3.28"
"United States of America","658.63","658.63","555.21","557.93","547.04","509.85","480.82","352.72","369.34","367.42","275.35","283.63","300.97","193.19","181.59","169.99","158.39","159.19","159.98","160.78","150.92","141.06","131.21","131.21"
