"Category","1.AA.2.F Other"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","21.09","21.09","18.97","17.96","18.37","18.93","20.05","19.03","19.16","17.46","17.90","17.65","19.09","20.87","17.65","17.74","18.09","17.50","17.98","18.72","17.74","17.15","17.76","16.85"
"Austria","4.39","4.39","4.13","3.08","3.68","2.99","3.17","4.14","5.50","4.05","2.89","2.61","2.41","2.03","2.54","2.32","3.03","2.92","3.12","3.03","3.03","3.06","3.45","3.37"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","68.17","68.17","63.69","64.30","60.13","22.75","37.75","33.31","23.73","32.21","25.45","31.18","31.49","23.89","22.43","22.83","20.60","20.49","20.31","22.77","15.93","13.51","9.70","7.42"
"Bulgaria","187.32","188.11","166.34","154.08","127.96","125.90","121.79","159.50","74.14","71.66","65.12","50.21","54.41","51.37","85.77","76.40","59.59","49.17","60.11","26.74","14.59","14.02","11.39","9.97"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","39.75","39.75","21.02","17.68","14.86","24.71","16.66","11.23","10.76","15.64","11.96","10.99","13.96","14.79","12.21","11.14","9.66","10.64","8.80","8.19","6.09","4.68","4.32","2.83"
"Cyprus","1.24","1.24","1.21","1.25","1.30","1.33","1.31","1.35","1.33","1.30","1.31","1.32","1.31","1.34","1.09","1.14","0.75","0.78","0.77","0.73","0.60","0.77","0.75","0.49"
"Czech Republic","630.76","630.76","580.00","532.92","470.00","448.00","500.00","310.10","352.10","158.88","94.09","81.94","58.68","41.17","3.98","4.41","4.10","8.49","7.40","5.84","4.60","7.76","4.51","4.67"
"Denmark","8.79","8.79","9.87","9.43","8.25","6.87","6.12","5.95","6.18","5.66","4.67","3.66","3.76","2.79","3.47","3.87","3.44","3.98","3.83","2.37","1.90","1.63","1.93","1.52"
"Estonia","4.18","4.18","4.19","2.30","0.58","0.87","0.89","0.78","0.68","1.03","0.65","1.50","2.48","0.85","0.65","0.77","0.88","1.38","3.77","3.61","2.30","1.54","2.05","1.91"
"European Union (15)","1,851.93","1,851.93","1,527.74","1,350.73","1,170.56","997.25","892.65","799.84","770.40","634.35","542.36","500.88","486.46","461.43","415.09","394.76","392.26","364.49","354.71","341.34","327.92","333.42","335.55","264.80"
"European Union (28)","2,911.01","2,911.01","2,426.64","2,145.57","1,859.09","1,666.36","1,586.10","1,334.24","1,251.57","923.67","753.75","680.87","652.57","609.48","555.92","531.03","506.77","478.08","483.96","433.02","386.76","393.54","395.89","324.05"
"Finland","9.91","9.91","8.23","6.53","5.44","5.01","4.75","4.68","4.70","4.80","4.31","4.47","4.08","3.93","3.78","2.95","2.88","3.50","3.39","2.44","1.45","1.61","1.43","1.42"
"France","116.52","116.52","121.51","102.71","96.21","96.78","85.06","87.20","77.54","68.36","55.76","52.13","49.07","49.21","43.52","44.72","42.72","43.95","40.02","40.63","32.15","35.17","35.99","31.07"
"Germany","850.44","850.44","531.16","363.56","272.75","195.70","113.07","93.00","92.54","67.61","60.73","48.62","47.86","48.41","47.46","42.24","40.97","41.08","40.39","43.94","36.67","35.18","32.79","28.98"
"Greece","36.39","36.39","36.36","35.71","26.94","22.10","27.09","29.64","28.67","19.15","18.41","23.16","22.81","21.63","16.89","18.12","21.01","18.66","23.37","7.59","5.65","4.82","4.19","4.21"
"Hungary","","46.00","41.90","28.28","22.92","24.55","21.72","21.15","16.47","12.49","11.72","4.54","4.06","5.57","4.76","2.88","3.58","3.59","3.61","2.96","2.07","1.91","1.86","1.91"
"Iceland","0.48","0.48","0.41","0.35","0.40","0.26","0.20","0.23","0.47","0.47","0.43","0.29","0.46","0.50","0.57","0.51","0.42","0.43","0.33","0.30","0.27","0.20","0.18","0.14"
"Ireland","6.29","6.29","4.80","4.66","4.87","5.42","5.10","4.96","5.27","5.13","4.50","5.18","4.66","2.72","3.05","3.21","3.56","2.50","2.80","2.54","1.76","1.44","2.15","1.94"
"Italy","308.22","308.22","280.52","282.98","250.15","233.88","223.61","209.96","204.39","127.73","127.90","107.27","97.52","94.04","90.90","79.92","75.36","67.53","67.96","59.88","43.47","46.12","42.12","36.67"
"Japan","112.04","112.04","113.04","111.20","120.78","112.09","101.31","98.65","97.89","93.52","113.39","107.16","100.92","94.70","92.14","89.59","87.05","87.06","87.05","87.04","87.03","87.03","87.03","87.02"
"Latvia","9.86","9.86","5.82","5.69","6.07","7.29","5.45","5.41","5.30","5.38","4.71","1.95","0.76","0.44","0.41","0.32","0.61","0.76","0.84","0.65","0.40","0.60","0.74","0.53"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","47.75","47.75","46.14","20.08","17.39","14.28","10.99","8.85","8.80","7.11","5.48","4.59","4.44","5.25","4.99","6.24","6.59","8.39","7.87","6.90","3.66","4.76","5.91","6.65"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","0.22","0.22","0.22","0.20","0.19","0.19","0.20","0.21","0.19","0.18","0.19","0.20","0.14","0.12","0.11","0.14","0.12","0.11","0.12","0.11","0.04","0.05","0.10","0.00"
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","9.26","9.26","8.39","7.46","6.76","5.73","4.62","4.75","4.81","4.85","3.96","3.65","3.24","3.29","2.21","3.86","3.56","4.09","3.89","3.25","2.61","2.79","2.74","2.59"
"New Zealand","5.31","5.31","4.52","4.06","5.62","6.10","6.22","6.10","6.39","6.17","5.60","5.87","8.12","7.61","9.70","6.22","5.90","5.95","7.16","7.55","5.90","4.97","3.87","3.36"
"Norway","2.53","2.53","2.09","1.58","1.48","1.39","1.26","1.39","1.13","1.07","0.84","0.72","0.78","0.65","0.69","0.68","0.66","0.69","0.49","0.52","0.48","0.45","0.41","0.38"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","32.99","32.99","29.09","31.10","26.96","28.15","30.05","33.07","40.10","41.34","16.16","15.45","14.15","13.11","14.47","14.92","14.80","13.69","13.46","11.60","10.70","10.38","10.77","8.22"
