"Category","2.C.1 Iron and Steel Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"European Union (28)","76.44","76.44","51.83","49.05","41.70","43.16","35.97","33.30","34.11","29.24","26.51","68.06","52.21","47.99","48.77","47.98","47.72","47.19","46.98","44.45","31.22","39.54","37.38","38.10"
"Finland","1.76","1.76","1.89","2.02","1.61","1.50","1.27","0.84","0.91","0.74","0.74","0.74","0.70","0.70","1.10","1.17","1.14","1.11","0.95","0.87","0.73","0.79","0.70","0.53"
"France","1.07","1.07","1.04","1.02","0.96","1.06","1.09","1.09","1.26","1.29","1.28","1.35","1.28","1.30","1.27","1.32","1.25","1.24","1.21","1.12","0.87","1.05","1.01","1.13"
"Germany","42.13","42.13","18.32","16.80","16.02","17.44","9.11","8.47","9.47","9.27","8.65","43.09","40.05","37.75","37.00","36.88","35.53","35.32","35.12","33.38","23.93","30.48","27.90","29.63"
"Greece","0.06","0.06","0.06","0.06","0.06","0.05","0.06","0.05","0.06","0.07","0.06","0.07","0.08","0.11","0.10","0.12","0.14","0.14","0.15","0.15","0.12","0.11","0.12","0.07"
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","1.98","1.98","1.81","1.75","1.86","1.95","2.03","1.79","0.46","0.44","0.43","0.43","0.41","0.38","0.39","0.41","0.45","0.45","0.45","0.43","0.23","0.35","0.40","0.39"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","0.09","0.09","0.06","0.04","0.05","0.05","0.04","0.05","0.07","0.08","0.08","0.08","0.08","0.08","0.09","0.09","0.09","0.09","0.09","0.08","0.07","0.09","0.03","0.13"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","0.16","0.16","0.15","0.14","0.15","0.15","0.16","0.17","0.21","0.29","0.22","0.21","0.22","0.23","0.22","0.21","0.21","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","0.67","0.67","0.73","0.73","0.74","0.69","0.77","0.77","0.69","0.71","0.70","0.64","0.70","0.65","0.72","0.74","0.66","0.66","0.71","0.66","0.62","0.72","0.71","0.72"
"Norway","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.68","0.68","0.65","0.82","0.82","0.86","0.93","0.94","0.96","0.96","1.01","1.06","0.34","0.17","0.19","0.21","0.22","0.24","0.26","0.29","0.23","0.22","0.27","0.27"
"Romania","0.25","0.18","0.13","0.09","0.09","0.10","0.12","0.12","0.13","0.13","0.09","0.09","0.10","0.12","0.12","0.13","0.12","0.12","0.12","0.10","0.05","0.05","0.05","0.04"
"Russian Federation","123.42","123.42","101.73","95.76","84.86","75.78","82.47","77.16","77.52","71.95","84.78","92.61","93.49","96.97","101.37","104.78","102.28","108.91","107.26","100.55","91.61","100.06","100.09","105.09"
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","1.52","1.52","1.54","1.52","1.55","1.55","1.45","1.33","1.63","1.81","1.75","1.86","1.93","1.92","1.87","2.00","2.01","2.14","2.15","2.13","1.58","1.86","1.80","1.60"
"Sweden","4.18","4.18","3.96","3.68","2.85","3.51","3.05","2.05","2.20","1.83","1.97","2.02","1.87","1.55","1.78","1.77","2.07","2.51","2.61","2.54","1.64","2.83","2.73","2.40"
"Switzerland","0.14","0.14","0.15","0.16","0.17","0.16","0.09","0.10","0.10","0.11","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Turkey","1.36","1.36","1.11","1.12","1.06","1.10","0.92","1.27","1.49","0.89","0.72","0.87","0.74","0.49","0.50","0.60","0.54","0.48","0.80","0.39","","","",""
"Ukraine","92.22","92.22","75.29","72.58","55.68","41.44","37.00","36.67","42.39","42.97","47.25","52.83","54.27","56.82","60.75","63.70","63.23","67.70","73.23","63.65","52.71","56.20","59.31","58.43"
"United Kingdom of Great Britain and Northern Ireland","3.05","3.05","2.80","2.80","2.83","2.90","2.98","2.99","3.10","2.88","2.81","1.49","0.97","0.85","1.36","1.07","1.33","1.31","1.73","1.63","1.05","0.82","0.95","0.91"
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
