"Category","2.C.1 Iron and Steel Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","32.29","32.29","31.43","33.37","32.63","36.08","37.11","36.93","36.82","35.45","37.15","34.05","28.58","27.32","30.39","32.43","31.20","31.94","33.40","32.69","26.25","33.36","34.16","23.84"
"Austria","0.25","0.25","0.20","0.24","0.27","0.28","0.26","0.19","0.19","0.17","0.12","0.09","0.05","0.05","0.05","0.05","0.05","0.05","0.06","0.06","0.04","0.05","0.05","0.05"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","8.26","8.26","8.31","7.18","1.50","1.76","1.63","1.54","1.60","1.49","1.66","1.47","1.40","1.34","1.30","1.23","1.05","0.83","0.86","1.10","0.40","0.60","0.70","0.44"
"Bulgaria","1.57","1.24","1.02","0.91","1.09","1.55","1.70","1.59","1.73","1.49","1.24","2.30","1.20","1.14","1.44","1.21","1.16","1.21","1.13","0.50","0.03","0.03","0.04","0.03"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.01","0.00","0.01","0.01","0.01"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","9.83","9.83","9.91","9.98","9.98","8.43","10.09","10.09","10.09","6.30","4.40","11.73","1.52","0.31","0.48","0.11","0.88","0.42","0.08","0.07","0.25","0.22","0.64","0.47"
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","65.10","65.10","40.72","38.02","30.48","33.02","24.01","21.45","22.07","21.23","20.70","53.87","49.31","46.33","46.63","46.44","45.46","45.34","45.55","43.69","30.82","39.15","36.62","37.42"
