"Category","1.AA.2.E Food Processing, Beverages and Tobacco"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","7.25","7.25","7.80","7.34","7.04","7.34","7.46","7.29","6.54","6.42","6.33","6.14","4.56","4.35","6.09","5.54","5.70","5.61","5.57","5.89","5.80","4.99","5.53","3.94"
"Austria","1.65","1.65","1.92","0.90","0.78","0.89","0.73","0.52","0.59","0.48","0.31","0.42","0.35","0.49","0.40","0.31","0.32","0.31","0.29","0.26","0.25","0.22","0.22","0.23"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","8.99","8.99","9.24","12.44","12.71","12.86","7.95","6.58","5.97","5.26","6.53","3.48","3.64","7.07","5.46","4.91","4.36","3.08","2.85","1.43","0.71","0.73","0.90","0.71"
"Bulgaria","41.94","2.41","0.38","3.30","1.75","1.23","1.26","0.91","11.58","9.05","14.97","14.53","12.03","10.55","8.92","8.41","6.39","6.17","5.85","3.99","3.01","2.15","1.26","1.21"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","0.22","0.22","0.23","0.24","0.25","0.26","0.27","0.28","0.29","0.30","0.30","0.31","0.32","0.32","0.33","0.33","0.07","0.07","0.07","0.03","0.03","0.32","0.32","0.33"
"Czech Republic","","","","","","","","","","","","","","","2.79","3.09","2.87","1.98","1.68","1.74","1.67","1.74","1.38","1.51"
"Denmark","6.10","6.10","6.27","5.67","5.63","6.00","5.27","5.19","4.05","4.03","3.59","3.65","3.87","3.51","3.27","3.35","2.79","3.43","2.72","2.60","1.76","2.02","1.77","1.39"
"Estonia","0.18","0.18","0.27","0.39","0.38","0.80","0.05","0.11","0.11","0.06","0.03","0.03","0.02","0.02","0.01","0.02","0.01","0.00","0.01","0.01","0.02","0.01","0.00","0.00"
"European Union (15)","222.28","222.28","230.35","236.78","233.28","229.25","216.74","179.80","165.42","148.64","127.79","101.63","94.55","81.12","62.15","55.15","53.53","46.48","44.20","32.62","32.82","33.57","25.58","23.75"
"European Union (28)","254.64","254.64","257.43","263.49","253.58","250.02","235.81","198.56","190.70","166.35","151.62","124.61","114.74","98.14","78.52","71.43","65.57","57.25","53.92","39.87","38.53","38.86","29.45","28.26"
"Finland","5.75","5.75","4.94","4.13","2.83","2.47","2.53","2.38","2.52","2.36","1.92","0.99","1.02","0.87","0.85","0.91","0.64","0.79","0.72","0.54","0.94","0.80","0.87","0.62"
"France","59.47","59.47","66.45","63.30","62.26","60.85","58.23","54.53","49.97","46.42","40.62","27.59","22.35","12.16","8.96","8.68","15.01","15.98","15.42","10.74","14.44","13.66","11.02","10.96"
"Germany","13.25","13.25","11.66","14.67","13.63","10.37","7.40","7.49","6.66","6.65","5.08","5.88","5.84","1.45","1.82","2.31","0.56","0.28","0.62","0.71","0.90","0.71","0.91","0.84"
"Greece","17.42","17.42","18.03","18.39","18.56","16.91","15.66","17.01","15.38","15.97","11.54","13.42","13.14","14.41","14.78","11.65","7.74","8.94","8.66","1.76","1.18","1.04","0.87","1.12"
"Hungary","","14.67","15.33","11.29","7.84","7.83","7.61","9.27","5.46","1.63","3.09","3.52","4.14","2.69","1.12","2.09","0.79","0.49","0.24","0.13","0.25","0.15","0.14","0.13"
"Iceland","1.48","1.48","0.78","1.66","1.86","1.69","1.75","2.27","2.40","1.81","1.84","1.31","1.68","1.91","1.39","1.02","0.82","0.60","0.67","0.60","0.45","0.45","0.48","0.59"
"Ireland","7.01","7.01","8.92","8.84","9.07","10.81","10.48","9.50","11.23","10.82","9.78","12.05","12.73","6.28","4.48","2.23","2.98","2.57","2.54","2.25","1.48","1.36","0.81","0.70"
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","46.07","46.07","42.72","42.84","41.67","45.72","41.78","42.73","44.06","47.12","41.69","40.50","39.32","38.14","36.00","33.87","31.73","31.73","31.73","31.73","31.73","31.73","31.73","31.73"
"Latvia","8.60","8.60","5.47","5.01","4.60","4.34","4.37","5.05","4.65","4.69","3.58","1.97","1.12","0.99","0.70","0.39","0.37","0.31","0.26","0.11","0.12","0.24","0.11","0.14"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","2.68","2.68","3.17","2.43","2.13","2.00","1.78","0.18","0.15","0.38","0.29","0.24","0.18","0.20","0.88","0.14","0.14","0.13","0.13","0.09","0.11","0.12","0.12","0.17"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","1.83","1.83","1.62","1.49","1.36","1.22","1.09","0.93","0.76","0.59","0.53","0.53","1.09","0.76","0.43","0.50","0.42","0.65","0.46","0.67","0.52","0.50","0.40","0.51"
"New Zealand","7.53","7.53","8.16","9.41","8.06","7.96","6.77","7.37","6.81","5.93","4.93","5.67","6.09","6.49","6.88","5.88","5.50","5.81","6.30","6.45","5.43","7.35","6.29","6.53"
"Norway","1.29","1.29","1.00","1.04","0.88","0.93","0.60","0.71","0.69","0.98","0.84","0.60","0.59","0.54","0.57","0.48","0.25","0.26","0.23","0.19","0.13","0.18","0.12","0.13"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","12.99","12.99","11.48","12.34","10.41","10.51","10.99","10.96","12.90","13.17","0.30","0.26","0.25","0.24","4.77","3.52","3.15","3.74","3.49","3.20","3.12","3.10","2.54","1.97"
"Romania","2.79","1.21","0.15","1.69","0.79","2.07","2.37","2.23","2.29","0.89","0.88","1.03","0.98","1.22","0.71","0.78","0.53","0.67","1.17","0.93","0.33","0.37","0.31","0.81"
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","0.93","1.10","0.62","0.53","0.62","0.50","0.51","0.21","0.17","0.13","0.15","0.18","0.18"
"Slovenia","4.22","2.40","2.08","2.36","2.55","2.25","1.37","0.74","0.74","0.71","0.69","0.42","0.32","0.40","0.38","0.42","0.36","0.43","0.10","0.06","0.05","0.04","0.04","0.03"
"Spain","37.78","37.78","38.54","37.64","37.85","50.55","63.37","36.29","34.62","29.71","37.72","26.10","23.52","30.03","13.98","13.99","13.45","4.63","4.17","5.12","3.91","3.96","2.05","2.85"
"Sweden","1.73","1.73","1.53","1.18","1.11","1.01","1.03","0.79","0.83","0.71","0.64","0.54","0.40","0.41","0.47","0.41","0.33","0.36","0.27","0.23","0.21","0.20","0.15","0.15"
"Switzerland","1.17","1.17","1.05","0.90","0.76","0.70","0.58","0.67","0.62","0.47","0.32","0.31","0.39","0.34","0.28","0.28","0.25","0.22","0.17","0.17","0.17","0.18","0.16","0.14"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","39.90","27.67","17.77","14.93","13.66","11.41","11.43","10.82","11.11","8.99","7.05","4.82","7.09","5.76","5.27"
"United Kingdom of Great Britain and Northern Ireland","48.31","48.31","49.75","55.79","57.08","44.79","32.00","27.63","19.95","12.48","9.24","6.71","6.35","3.45","2.48","2.43","1.83","1.76","2.03","3.15","3.44","5.29","3.10","1.73"
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
