"Category","1.AA.4.C Agriculture/Forestry/Fisheries"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","2.75","2.75","2.77","2.81","2.90","3.00","3.09","3.10","3.22","3.29","3.38","3.45","4.17","4.23","4.75","4.75","5.02","4.63","4.55","4.60","4.57","4.67","4.66","4.72"
"Austria","1.79","1.79","1.48","1.40","1.20","1.00","0.68","0.70","0.63","0.62","0.62","0.56","0.56","0.49","0.50","0.35","0.26","0.24","0.19","0.20","0.15","0.16","0.13","0.14"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","29.10","29.10","29.52","29.94","30.36","27.25","9.46","9.31","8.74","8.46","7.82","6.52","6.48","6.46","6.46","6.46","6.44","6.43","4.95","3.41","2.39","2.16","1.38","1.52"
"Bulgaria","10.74","14.72","10.95","8.17","6.77","9.86","6.89","6.30","6.72","6.12","8.60","8.69","7.39","7.47","7.20","7.10","7.16","6.83","5.28","3.43","3.37","3.07","3.51","3.45"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","2.81","2.81","2.28","2.33","2.62","1.86","1.25","1.83","1.28","1.17","1.52","2.02","1.62","1.73","1.80","1.68","1.85","1.65","1.66","1.51","1.37","1.14","1.14","0.38"
"Cyprus","0.31","0.31","0.33","0.40","0.41","0.46","0.44","0.46","0.48","0.51","0.53","0.84","0.82","0.84","0.48","0.54","0.11","0.12","0.11","0.05","0.05","0.05","0.05","0.05"
"Czech Republic","19.14","19.14","14.00","8.57","6.00","4.03","3.00","3.40","3.50","1.90","1.61","1.78","0.30","0.65","0.58","0.59","0.50","0.50","0.41","0.43","0.46","0.38","0.38","0.43"
"Denmark","5.67","5.67","5.76","5.34","5.19","4.95","5.07","4.19","3.33","3.07","2.80","3.09","3.07","2.73","2.81","2.57","2.63","2.67","2.59","1.98","1.23","1.79","1.64","1.57"
"Estonia","0.37","0.37","0.40","0.21","0.43","0.09","0.07","0.07","0.05","0.06","0.05","0.09","0.35","0.27","0.20","0.17","0.16","0.13","0.12","0.12","0.06","0.05","0.12","0.10"
"European Union (15)","194.35","194.35","155.87","143.07","148.53","139.32","100.88","94.99","76.38","71.64","75.87","66.65","64.38","63.20","60.54","58.45","57.67","57.05","52.34","34.01","31.04","31.85","26.74","17.31"
"European Union (28)","256.78","256.78","203.42","177.65","180.19","168.87","126.38","120.64","102.37","89.85","97.16","87.18","80.89","80.41","76.41","71.81","70.34","69.29","62.60","41.94","39.02","39.39","35.11","24.68"
"Finland","4.76","4.76","4.57","4.36","4.09","3.27","2.83","2.72","2.64","2.74","2.68","2.54","2.62","2.68","2.78","1.96","1.62","1.38","1.41","1.30","1.29","1.33","1.12","0.97"
"France","27.41","27.41","28.07","26.90","30.13","27.40","23.45","22.15","21.99","21.10","22.34","21.73","21.36","21.11","20.67","20.56","20.22","19.44","18.54","12.74","12.85","12.42","11.27","7.13"
"Germany","54.11","54.11","19.08","13.27","14.02","12.38","12.11","11.90","8.28","5.75","7.65","4.05","4.24","3.20","2.71","2.43","2.44","2.56","2.21","2.62","2.10","3.48","3.76","4.02"
"Greece","9.73","9.73","10.86","6.86","6.38","6.24","4.12","4.55","2.21","2.21","2.36","2.40","2.34","2.01","2.14","2.16","3.24","3.44","2.84","0.85","0.56","0.40","0.42","0.23"
"Hungary","","8.65","5.89","4.68","6.82","5.99","8.24","8.18","9.03","3.93","6.12","4.04","3.47","3.84","3.44","1.23","0.99","0.82","0.66","0.28","0.14","0.14","0.15","0.07"
