"Category","2.C.3 Aluminium Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","31.54","31.54","31.57","31.52","33.23","35.25","32.82","33.99","35.63","40.58","43.06","44.49","45.67","46.20","47.38","47.94","48.27","48.83","49.91","50.19","50.58","49.20","49.63","49.62"
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","1.05","1.05","0.72","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","","","","","","","","","","","","","","","","","","","","","","0.00","0.01","0.02"
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","20.67","20.67","22.16","21.88","21.53","20.13","20.74","21.87","23.19","24.61","25.72","27.06","27.22","33.54","25.56","26.22","26.75","24.31","23.97","23.41","16.43","16.18","17.60","14.87"
"European Union (28)","22.32","22.32","23.48","22.35","21.79","20.40","21.04","22.19","23.54","24.97","26.08","28.81","28.97","35.69","27.78","28.63","28.45","26.08","25.32","24.28","16.95","16.66","18.31","15.53"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","4.16","4.16","3.65","5.33","5.44","4.90","4.68","5.03","5.35","6.15","6.20","6.84","6.73","12.11","5.44","6.04","6.31","5.78","5.54","4.65","3.75","3.27","3.44","3.48"
"Germany","4.81","4.81","7.18","6.27","5.74","5.24","5.98","6.00","5.95","6.37","6.57","6.70","6.79","6.81","6.88","5.99","5.61","4.35","4.51","4.77","2.22","2.96","3.06","2.79"
"Greece","0.90","0.90","0.91","0.92","0.89","0.83","0.79","0.79","0.80","0.88","0.96","0.98","0.97","0.98","1.00","1.00","0.99","0.99","1.00","0.98","0.78","0.82","0.99","0.99"
"Hungary","0.44","0.45","0.45","0.38","0.16","0.17","0.18","0.19","0.20","0.20","0.20","0.20","0.20","0.21","0.21","0.21","0.21","0.19","","","","","",""
"Iceland","1.34","1.34","1.37","1.36","1.43","1.41","1.36","1.44","1.79","2.44","3.09","2.94","2.86","3.11","3.34","3.44","3.43","4.23","5.03","10.16","10.57","10.63","10.82","11.20"
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","3.50","3.50","3.29","2.43","2.35","2.65","2.68","2.78","2.83","2.82","2.83","2.87","2.84","3.26","3.62","3.69","3.65","3.63","3.77","3.88","3.88","2.88","2.76","2.12"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","0.21","0.21","","","","","0.16","0.25","0.24","0.26","0.58","0.42","0.20","1.56","","0.09","0.14","0.14","0.14","0.14","0.11","0.11","0.10","0.11"
"New Zealand","5.28","5.28","5.25","4.89","5.39","5.41","5.43","5.69","6.21","6.41","6.56","6.58","6.48","6.67","6.67","6.94","6.96","6.71","7.06","6.31","5.42","6.88","7.14","6.49"
"Norway","4.31","4.31","4.09","3.00","1.85","1.61","1.54","1.67","1.81","1.84","1.65","1.39","1.41","1.54","1.51","1.64","1.70","1.87","1.61","1.46","1.25","1.36","1.46","1.31"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","0.24","0.15","0.14","0.10","0.10","0.11","0.13","0.13","0.15","0.16","0.16","0.16","0.16","0.17","0.18","0.19","0.22","0.23","0.24","0.24","0.18","0.19","0.20","0.18"
"Russian Federation","41.25","41.25","39.22","39.78","40.55","38.82","40.70","42.22","42.43","42.76","44.61","45.56","46.32","47.07","48.91","50.71","51.43","53.51","57.16","60.51","55.19","57.02","55.93","57.96"
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","1.40","1.38","1.78","1.83","2.00","1.28","1.35","1.12","0.62","0.33","0.29","0.50","0.46"
"Spain","2.75","2.75","2.73","3.24","3.53","2.97","2.79","3.28","4.02","4.05","4.16","4.12","4.01","3.64","3.61","3.74","3.82","3.65","3.61","3.74","3.32","3.36","3.50","3.69"
"Sweden","0.24","0.24","0.26","0.23","0.20","0.26","0.29","0.33","0.49","0.43","0.38","0.35","0.32","0.32","0.26","0.23","0.25","0.22","0.20","0.23","0.13","0.25","0.22","0.67"
"Switzerland","0.70","0.70","0.66","0.60","0.29","0.19","0.17","0.21","0.22","0.26","0.28","0.28","0.29","0.32","0.35","0.36","0.36","0.10","","","","","",""
"Turkey","0.86","0.86","0.79","0.83","0.83","0.85","0.87","0.88","0.88","0.88","0.88","0.87","0.88","0.89","0.90","0.91","0.85","0.85","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","4.10","4.10","4.14","3.47","3.39","3.28","3.37","3.41","3.51","3.66","4.04","4.78","5.36","4.86","4.75","5.43","5.97","5.56","5.19","5.02","2.25","2.53","3.53","1.02"
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
