"Category","1.AA.5.B Mobile"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","0.19","0.19","0.17","0.20","0.19","0.22","0.29","0.33","0.34","0.28","0.22","0.21","0.18","0.18","0.17","0.17","0.18","0.18","0.44","0.44","0.39","0.40","0.35","0.30"
"Austria","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","0.02","0.02","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01"
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","2.69","2.69","2.10","1.81","2.10","2.11","1.00","2.00","2.30","5.51","2.09","1.90","2.10","2.86","3.06","2.91","1.34","0.03","0.03","0.06","0.04","0.03","0.00","0.00"
"Denmark","0.06","0.06","0.22","0.10","0.09","0.09","0.09","0.07","0.07","0.08","0.06","0.04","0.02","0.03","0.03","0.06","0.07","0.04","0.05","0.04","0.05","0.06","0.08","0.04"
"Estonia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"European Union (15)","11.16","11.16","9.41","8.77","7.88","7.58","6.63","5.92","5.78","4.39","4.21","3.78","3.41","3.31","3.77","4.16","3.76","4.01","8.42","8.14","8.02","7.73","5.90","5.51"
"European Union (28)","13.85","13.85","11.51","10.58","9.98","9.69","7.63","7.92","8.08","9.89","6.31","5.68","5.51","6.17","6.84","7.07","5.10","4.04","8.46","8.21","8.06","7.77","5.91","5.59"
"Finland","0.03","0.03","0.04","0.04","0.04","0.05","0.04","0.05","0.05","0.05","0.05","0.06","0.06","0.06","0.06","0.04","0.05","0.05","0.06","0.06","0.06","0.07","0.05","0.06"
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","3.09","3.09","1.01","0.87","0.84","1.01","0.72","0.26","0.25","0.26","0.19","0.13","0.07","0.05","0.07","0.05","0.02","0.03","0.03","0.04","0.04","0.03","0.04","0.01"
"Greece","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","1.19","1.19","1.22","1.25","1.41","1.20","0.81","0.68","0.40","0.34","0.36","0.21","0.09","0.08","0.16","0.23","0.17","0.14","0.12","0.10","0.11","0.13","0.11","0.04"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.08"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","0.15","0.15","0.13","0.17","0.12","0.09","0.09","0.08","0.08","0.08","0.07","0.05","0.09","0.07","0.05","0.07","0.04","0.05","0.03","0.06","0.05","0.05","0.04","0.05"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","0.00","0.00","0.00","0.00","0.00"
"Spain","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","0.60","0.60","0.67","0.67","0.58","0.51","0.54","0.47","0.35","0.28","0.22","0.27","0.16","0.17","0.14","0.13","0.12","0.13","0.07","0.04","0.08","0.05","0.05","0.05"
"Switzerland","0.07","0.07","0.06","0.06","0.05","0.05","0.05","0.04","0.05","0.05","0.04","0.04","0.04","0.04","0.04","0.03","0.04","0.04","0.04","0.03","0.04","0.04","0.03","0.04"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","0.08","0.07","0.10","0.08","0.08","0.09","0.10","0.17","0.13","0.09","0.15","0.04","0.06","0.20","0.26"
"United Kingdom of Great Britain and Northern Ireland","6.17","6.17","6.23","5.82","4.89","4.68","4.40","4.37","4.65","3.36","3.30","3.04","2.99","2.89","3.29","3.63","3.31","3.60","8.08","7.85","7.68","7.41","5.58","5.30"
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
