"Category","1.B Fugitive Emissions from Fuels"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","2.00","2.00","1.30","2.00","2.10","1.28","1.53","1.20","0.07","0.04","0.14","0.14","0.16","0.14","0.15","0.14","0.13","0.17","0.18","0.16","0.24","0.23","0.23","0.25"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","0.81","0.81","0.55","0.51","0.54","0.57","0.88","0.81","0.84","3.51","3.02","3.39","2.02","1.95","2.10","2.17","1.88","2.01","1.88","11.79","16.10","8.27","7.68","7.25"
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","1.80","1.80","1.26","0.98","1.33","1.18","1.24","0.99","1.29","2.01","2.28","3.11","2.65","2.74","2.79","3.08","3.10","2.54","3.17","2.83","3.27","2.33","3.46","3.73"
"Cyprus","0.12","0.12","0.12","0.13","0.14","0.14","0.15","0.14","0.19","0.20","0.21","0.21","0.21","0.20","0.18","0.05","","","","","","","",""
"Czech Republic","5.28","5.28","4.37","4.37","","4.37","4.16","","","4.69","4.63","5.20","2.93","2.53","0.65","0.26","0.13","4.04","6.26","6.36","5.66","3.92","8.11","10.86"
"Denmark","4.28","4.28","3.64","4.09","3.72","4.79","3.23","2.83","2.12","1.51","1.41","1.04","0.72","0.40","0.35","0.18","0.69","1.05","1.46","1.37","0.94","1.31","1.42","1.06"
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","343.58","343.58","282.75","275.54","310.78","271.52","255.53","247.82","243.14","250.38","215.54","206.51","191.66","178.73","165.71","170.00","181.60","177.90","161.02","157.34","144.22","128.92","123.70","107.00"
"European Union (28)","379.26","379.26","303.31","296.48","328.24","293.74","277.83","264.26","259.81","273.39","235.11","228.29","212.25","199.78","184.23","190.78","204.01","202.33","186.09","185.02","169.43","150.51","150.25","135.92"
"Finland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01"
"France","96.96","96.96","80.11","80.55","73.86","65.91","70.52","69.81","72.12","71.03","71.00","76.14","61.97","55.87","53.46","60.45","61.47","58.00","55.89","54.07","41.18","36.74","36.07","24.78"
"Germany","47.87","47.87","11.65","10.52","10.99","10.42","7.86","7.80","7.37","6.83","5.91","5.33","4.59","3.95","3.41","2.82","2.84","2.81","2.65","2.56","2.41","2.29","2.23","2.30"
"Greece","6.49","6.49","7.37","8.25","9.41","6.78","6.86","5.82","6.43","8.35","8.44","9.00","7.75","9.15","9.48","7.41","8.36","10.83","12.56","12.49","13.31","6.74","8.32","10.53"
"Hungary","0.75","0.72","0.68","0.66","0.68","0.62","0.66","0.60","0.62","0.63","0.62","0.60","0.61","0.53","0.56","0.56","0.62","0.61","0.63","0.62","0.56","0.57","0.58","0.54"
"Iceland","13.33","13.33","13.28","14.34","11.90","12.49","11.01","12.78","12.24","12.26","19.41","26.02","29.38","31.31","28.49","23.84","29.59","34.48","46.39","58.93","52.78","57.70","64.50","67.51"
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","79.72","79.72","78.65","73.14","84.05","70.17","56.84","56.57","55.87","60.47","42.30","34.68","45.23","44.75","39.68","37.99","42.45","35.41","40.61","33.95","30.41","31.54","29.35","23.69"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","5.76","5.76","","2.43","3.05","2.18","1.89","2.22","3.02","3.83","2.63","2.86","4.02","3.97","4.36","5.32","5.64","4.93","2.92","5.69","5.18","5.53","5.55","5.29"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","7.52","7.52","8.06","8.59","9.12","9.66","10.17","9.40","8.61","7.82","8.94","6.48","6.74","5.96","","","7.01","17.88","","0.09","0.97","","",""
"New Zealand","2.75","2.75","3.10","2.88","3.01","3.23","2.54","2.84","3.26","3.24","3.02","3.53","3.59","3.48","3.68","2.98","4.07","4.12","4.38","5.27","5.30","4.45","5.54","4.55"
"Norway","3.62","3.62","2.32","2.33","1.95","1.53","1.56","1.39","1.66","1.74","1.89","1.60","1.29","1.39","1.60","1.58","1.46","1.47","1.13","0.91","0.92","0.91","0.77","0.93"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.50","0.50","0.42","0.46","2.64","1.94","4.00","4.81","5.42","5.50","6.01","5.25","5.87","5.39","5.94","5.90","5.96","5.97","5.86","5.04","4.56","5.44","4.76","5.10"
"Romania","28.47","22.01","14.13","12.37","12.27","13.71","14.19","12.49","11.56","11.64","9.20","9.79","10.18","11.07","9.98","11.51","12.92","12.31","12.10","12.18","10.55","9.24","8.85","8.50"
"Russian Federation","277.14","277.14","265.98","238.08","207.39","172.98","169.26","163.68","164.61","152.52","157.17","160.89","166.47","172.05","176.70","181.35","193.44","204.60","212.97","220.41","220.41","232.50","240.12","252.45"
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","64.67","64.67","62.01","58.46","85.74","73.98","75.16","69.01","64.61","73.66","57.83","55.36","46.01","43.28","41.67","41.77","40.21","33.40","28.51","24.75","25.55","23.51","25.59","24.25"
"Sweden","4.29","4.29","3.80","5.02","5.03","3.37","1.09","1.14","0.84","0.84","0.78","0.81","0.81","0.85","0.96","1.03","1.08","1.66","1.30","0.76","1.02","0.98","1.09","0.59"
"Switzerland","0.19","0.19","0.29","0.27","0.30","0.30","0.29","0.33","0.30","0.31","0.32","0.29","0.30","0.30","0.28","0.32","0.30","0.34","0.29","0.31","0.30","0.28","0.27","0.21"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","28.46","28.46","25.18","23.95","23.56","22.66","17.40","18.61","18.84","10.82","9.76","8.86","9.78","7.03","8.52","10.14","9.52","8.72","10.13","10.29","7.53","11.88","6.94","7.19"
"United States of America","390.10","390.10","342.92","377.40","347.46","343.83","334.76","303.97","312.32","310.51","282.89","286.46","289.41","232.85","215.28","197.72","180.15","165.18","150.20","135.22","125.31","115.39","105.48","105.48"
