"Category","2.A Mineral Products"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","0.68","0.68","0.72","0.68","0.57","0.45","0.37","0.44","0.56","0.61","0.60","0.55","0.54","0.65","0.74","0.82","0.94","1.05","1.15","1.27","1.31","1.36","1.38","1.47"
"Belgium","4.72","4.72","6.71","6.82","6.74","5.70","6.67","10.19","6.86","8.95","7.31","9.01","8.58","7.52","7.50","7.12","7.17","6.90","8.12","5.18","5.16","5.47","6.57","4.98"
"Bulgaria","1.46","1.27","0.76","0.66","0.69","0.85","1.18","1.16","0.93","0.65","0.64","0.71","0.72","0.71","0.75","0.85","0.97","0.94","1.19","1.15","0.61","0.49","0.50","0.62"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.89","0.89","0.59","0.62","0.57","0.69","0.57","0.62","0.72","0.67","0.96","1.08","1.21","1.20","1.23","1.30","1.33","1.04","1.30","1.63","1.42","1.03","0.83","0.78"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","0.02","0.02","0.02"
"Czech Republic","3.30","3.30","3.38","3.47","3.47","3.40","3.95","3.95","3.95","3.30","3.52","3.61","0.44","0.01","0.01","0.04","0.03","0.08","0.04","0.01","0.00","0.00","","0.06"
"Denmark","1.41","1.41","1.21","1.27","1.26","1.70","1.53","1.66","1.81","1.55","1.55","1.52","1.18","1.19","1.10","1.35","1.49","1.88","2.02","1.36","0.73","0.76","0.82","0.72"
"Estonia","0.27","0.27","0.27","0.18","0.13","0.19","0.20","0.21","0.23","0.23","0.21","0.22","0.22","0.21","0.19","0.21","0.21","0.23","0.33","0.34","0.14","0.17","0.23","0.23"
"European Union (15)","79.59","79.59","62.27","60.35","53.99","55.27","64.88","67.41","67.82","69.39","60.25","65.26","61.51","62.30","65.40","65.28","65.37","67.02","66.43","54.33","46.55","47.22","47.25","40.55"
"European Union (28)","91.85","91.85","72.67","68.79","61.02","63.18","73.95","76.69","76.88","77.48","68.86","73.82","67.83","68.65","72.84","72.03","72.65","73.61","74.21","62.60","53.14","51.38","51.92","45.27"
"Finland","0.88","0.88","0.79","0.71","0.72","0.78","0.78","0.89","0.87","0.84","0.75","0.78","0.52","0.52","0.58","0.52","0.75","0.64","0.51","0.65","0.41","0.33","0.14","0.24"
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","30.65","30.65","15.07","13.94","12.45","12.60","23.02","22.39","22.77","22.93","23.62","25.28","23.00","21.37","21.20","20.60","19.18","19.57","20.49","20.18","18.83","19.46","20.24","19.26"
"Greece","3.42","3.42","3.38","3.41","3.43","3.46","3.72","3.75","3.78","3.78","3.79","3.90","3.93","3.79","3.78","3.76","3.95","3.85","3.81","3.61","2.75","2.57","1.52","1.95"
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","21.21","21.21","21.16","21.51","17.82","17.25","10.63","10.47","10.56","11.09","11.50","12.34","12.58","13.05","13.62","14.14","14.19","14.40","14.17","12.76","10.85","10.28","9.84","7.87"
"Japan","3.38","3.38","3.13","3.13","2.76","2.33","2.59","2.15","2.16","1.96","1.95","1.81","1.67","1.53","1.50","1.47","1.44","1.44","1.44","1.44","1.44","1.44","1.44","1.44"
"Latvia","3.41","3.41","3.15","1.42","0.16","0.76","0.90","1.01","1.03","1.00","1.34","0.85","1.04","1.13","1.23","1.33","1.35","1.69","1.73","1.71","1.74","0.07","0.37","0.32"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
