"Category","1.AA.1.C Manufacture of Solid Fuels and Other Energy Industries"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","12.58","12.58","15.05","15.88","15.39","11.11","9.45","6.18","12.31","9.48","10.20","8.01","6.80","7.49","9.68","9.00","10.08","12.07","11.73","11.71","9.95","13.61","13.83","14.46"
"Austria","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","11.80","11.80","11.78","10.70","7.74","7.76","7.09","7.13","4.76","2.33","2.35","2.22","2.42","2.36","2.29","2.58","2.57","2.91","2.12","1.11","2.00","1.50","0.87","1.07"
"Bulgaria","","","","","0.02","0.02","0.04","0.04","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.41","0.41","0.34","0.33","0.35","0.22","0.01","0.01","0.03","0.02","0.03","0.07","0.05","0.05","0.06","0.05","0.04","0.02","0.00","0.00","0.00","0.00","0.00","0.00"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","62.88","62.88","60.00","51.28","48.00","45.92","40.00","15.00","13.70","8.68","5.62","3.87","0.07","11.01","9.05","9.73","9.94","10.25","13.24","2.78","3.18","3.21","3.28","3.83"
"Denmark","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.23","0.28","0.01"
"Estonia","0.29","0.29","0.16","0.23","0.37","0.42","0.38","0.41","0.46","0.38","0.37","0.52","0.55","0.60","0.68","0.72","0.78","0.74","0.70","0.96","1.16","1.61","1.98","1.90"
"European Union (15)","636.20","636.20","672.73","554.70","540.31","408.29","167.01","139.96","112.50","93.20","81.68","65.75","59.19","48.31","45.66","47.14","45.92","49.93","44.03","39.73","34.86","33.73","32.22","26.01"
"European Union (28)","706.42","706.42","739.86","615.25","597.95","465.13","218.32","164.37","141.73","116.54","97.74","77.04","66.25","71.29","65.00","70.58","68.41","68.69","66.96","53.38","44.88","44.90","43.12","37.19"
"Finland","0.80","0.80","0.70","0.60","0.18","0.22","0.17","0.28","0.23","0.27","0.12","0.25","0.56","0.08","0.48","0.18","0.55","0.12","0.45","0.09","0.34","0.05","0.46","0.05"
"France","22.08","22.08","21.24","19.84","18.18","16.52","16.23","16.24","13.47","13.77","13.13","9.16","9.25","7.12","5.75","5.03","5.16","4.98","4.93","5.21","4.65","2.90","4.09","3.73"
"Germany","539.32","539.32","578.13","466.42","458.17","322.22","87.50","59.58","41.74","26.91","20.71","18.89","16.23","17.32","17.79","18.64","16.92","18.41","18.13","14.30","15.31","14.60","14.62","9.16"
