"Category","1.AA.3.C Railways"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","1.43","1.43","1.41","1.38","1.36","1.31","1.27","1.28","1.29","1.28","1.28","1.28","1.22","1.28","1.34","1.48","1.54","1.55","1.58","1.89","1.95","2.12","2.21","2.29"
"Austria","0.26","0.26","0.24","0.24","0.23","0.23","0.21","0.15","0.10","0.10","0.10","0.09","0.07","0.08","0.07","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","0.26","0.26","0.23","0.23","0.21","0.21","0.20","0.15","0.13","0.13","0.12","0.12","0.11","0.10","0.08","0.08","0.08","0.09","0.09","0.04","0.03","0.03","0.02","0.02"
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.91","0.91","0.65","0.33","0.46","0.31","0.26","0.31","0.20","0.23","0.22","0.23","0.17","0.20","0.21","0.22","0.26","0.23","0.23","0.19","0.16","0.13","0.13","0.02"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","0.31","0.31","0.17","0.20","0.20","0.16","0.30","0.20","0.20","0.13","0.12","0.17","0.19","0.20","0.15","0.16","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Denmark","0.38","0.38","0.38","0.26","0.10","0.10","0.10","0.10","0.09","0.08","0.04","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Estonia","0.40","0.40","0.41","0.24","0.25","0.26","0.24","0.28","0.24","0.27","0.28","0.27","0.25","0.31","0.27","0.24","0.25","0.26","0.22","0.16","0.21","0.30","0.20","0.18"
"European Union (15)","15.46","15.46","11.36","10.84","10.15","9.42","7.90","7.24","5.56","5.43","5.02","4.57","4.27","4.12","4.15","4.09","3.93","3.63","3.17","2.43","2.25","1.88","1.33","0.88"
"European Union (28)","21.04","21.04","15.94","16.90","15.44","14.23","12.46","11.88","10.07","9.35","8.31","8.58","7.04","7.39","7.12","7.24","5.69","5.20","4.74","3.61","3.29","3.01","2.49","1.87"
"Finland","0.44","0.44","0.38","0.34","0.33","0.29","0.22","0.09","0.09","0.09","0.08","0.06","0.06","0.12","0.08","0.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"France","2.04","2.04","1.97","1.88","1.74","1.48","1.03","1.00","0.99","0.94","0.95","0.96","0.92","0.94","0.90","0.89","0.80","0.30","0.02","0.02","0.00","0.00","0.00","0.00"
"Germany","6.51","6.51","2.82","2.71","2.58","2.38","2.23","1.94","0.80","0.72","0.69","0.48","0.41","0.04","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Greece","1.26","1.26","0.98","0.94","0.96","1.04","0.86","0.90","0.84","0.94","0.80","0.80","0.80","0.80","0.80","0.80","0.80","0.82","0.74","0.72","0.60","0.40","0.30","0.50"
"Hungary","","0.14","0.11","0.08","0.08","0.07","0.06","0.07","0.07","0.05","0.15","0.12","0.27","0.29","0.21","0.21","0.22","0.03","0.03","0.03","0.04","0.03","0.03","0.02"
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","0.25","0.25","0.24","0.22","0.24","0.23","0.14","0.16","0.16","0.16","0.12","0.12","0.14","0.10","0.11","0.12","0.10","0.10","0.11","0.05","0.06","0.06","0.06","0.06"
"Italy","0.85","0.85","0.85","0.83","0.79","0.81","0.55","0.54","0.13","0.12","0.12","0.07","0.07","0.06","0.06","0.05","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","0.68","0.68","0.66","0.54","0.33","0.29","0.30","0.30","0.32","0.29","0.06","0.06","0.07","0.07","0.08","0.06","0.06","0.05","0.05","0.16","0.15","0.13","0.16","0.16"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","0.45","0.45","0.48","0.46","0.45","0.48","0.31","0.32","0.31","0.30","0.27","0.28","0.25","0.27","0.29","0.29","0.29","0.28","0.29","0.29","0.22","0.24","0.25","0.23"
