"Category","1.AA.1.B Petroleum Refining"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","4.36","4.36","4.59","4.48","4.78","4.98","5.14","4.91","4.54","4.80","5.33","4.61","5.24","5.27","4.53","4.05","3.76","3.25","3.65","3.50","8.74","9.07","9.79","7.40"
"Austria","2.25","2.25","2.11","2.85","3.42","3.03","2.98","3.49","3.66","3.80","3.55","3.44","3.62","3.69","3.68","3.84","3.35","3.69","3.23","0.85","0.58","0.62","0.44","0.42"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","40.84","40.84","44.22","48.56","43.94","38.44","34.59","40.74","43.67","27.81","23.34","23.23","22.14","21.45","23.18","23.91","19.98","21.90","21.24","9.26","6.25","3.07","2.73","1.83"
"Bulgaria","","3.14","2.66","1.44","2.60","2.52","2.72","2.02","1.88","1.62","1.64","1.58","1.82","2.44","1.74","1.70","1.88","2.86","2.74","3.36","3.84","3.76","3.56","3.66"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","22.49","22.49","11.90","13.79","17.40","19.42","13.63","10.53","10.01","12.14","12.27","10.65","10.43","14.45","12.78","11.15","12.19","11.69","13.41","8.91","10.91","10.70","7.48","6.13"
"Cyprus","0.59","0.59","0.60","0.62","0.62","0.75","0.70","0.66","0.72","0.75","0.85","0.66","0.98","1.06","0.72","0.32","","","","","","","",""
"Czech Republic","7.51","7.51","7.00","6.54","6.00","5.80","5.00","5.00","5.00","11.41","6.17","7.49","3.16","0.95","2.76","3.25","2.64","0.88","0.96","0.81","2.31","0.91","0.46","0.12"
"Denmark","1.06","1.06","1.64","2.87","2.80","2.68","2.05","1.14","1.21","0.94","0.54","0.60","0.61","0.92","0.49","0.42","0.22","0.20","0.22","0.32","0.26","0.23","0.32","0.27"
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","915.41","915.41","875.33","862.61","835.76","792.23","745.56","736.92","720.40","677.46","641.08","536.41","500.20","481.36","450.32","460.18","416.24","417.72","395.92","350.90","298.83","268.88","238.04","192.04"
"European Union (28)","985.07","985.07","933.86","914.40","893.82","851.90","797.25","791.07","771.76","732.50","689.49","577.04","535.71","516.31","481.40","489.34","447.43","446.86","422.96","371.66","323.26","291.62","256.95","210.98"
"Finland","6.20","6.20","5.60","5.01","4.63","5.09","5.48","6.37","6.09","5.33","5.18","4.51","5.27","3.00","5.67","6.12","5.49","3.22","3.28","3.12","2.24","2.57","2.62","2.64"
"France","128.28","128.28","123.56","122.74","124.60","125.28","119.99","121.80","117.41","118.61","114.31","83.71","82.83","80.30","74.19","69.94","57.38","56.01","50.83","46.91","37.20","29.03","24.09","17.23"
"Germany","161.50","161.50","125.68","114.02","114.40","93.00","73.23","67.82","63.47","62.53","58.66","52.90","51.25","50.74","50.21","51.74","54.87","51.06","48.38","46.85","44.78","40.87","37.22","36.65"
"Greece","22.56","22.56","23.64","22.09","18.96","23.42","23.66","25.58","24.29","27.26","26.34","31.26","27.96","27.98","28.31","34.80","25.71","37.37","31.14","34.36","37.50","37.07","30.88","18.76"
"Hungary","","21.66","19.74","19.11","20.07","18.67","18.79","21.33","20.75","15.51","17.86","9.34","5.23","4.91","2.96","1.80","2.17","1.33","1.08","0.58","0.71","0.65","0.60","0.51"
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","0.75","0.75","1.08","0.67","0.58","0.58","0.58","0.69","0.86","0.96","0.91","0.78","0.46","0.73","0.46","0.70","0.91","1.03","1.03","0.98","0.88","0.67","0.90","0.43"
