"Category","1.AA.2.B Non-Ferrous Metals"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","61.77","61.77","54.98","53.68","52.05","51.95","50.94","49.54","53.45","52.40","53.31","63.66","53.24","53.73","52.84","52.68","54.31","56.06","54.04","59.47","51.29","56.89","51.44","52.17"
"Austria","0.15","0.15","0.13","0.06","0.12","0.12","0.09","0.13","0.18","0.16","0.17","0.16","0.10","0.16","0.13","0.11","0.09","0.09","0.09","0.09","0.10","0.05","0.06","0.06"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","0.56","0.56","0.55","0.38","0.32","0.36","0.37","0.46","0.35","0.48","1.35","0.39","0.74","2.80","2.78","3.11","2.57","2.19","2.72","1.21","0.52","0.27","0.31","0.37"
"Bulgaria","6.24","2.94","6.22","1.58","2.85","3.12","3.05","2.95","4.38","4.34","4.30","3.20","3.21","2.74","2.68","2.70","2.74","2.63","1.89","1.87","1.87","1.95","1.65","1.35"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.02","0.02","0.02","0.01","0.01","0.07","0.07","0.07"
"Czech Republic","","","","","","","","","","","","","","","3.18","3.53","3.28","0.04","0.32","0.12","0.04","0.08","0.25","0.29"
"Denmark","0.02","0.02","0.05","0.05","0.06","0.06","0.06","0.03","0.03","0.03","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.01","0.01","0.01","0.00","0.00","0.00","0.00"
"Estonia","","","","","","","","","","","","0.00","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"European Union (15)","126.55","126.55","136.89","133.42","101.75","94.06","88.05","89.39","122.11","118.37","116.93","128.06","129.07","123.23","110.67","106.74","101.29","90.87","82.40","64.43","60.23","62.59","53.79","46.68"
"European Union (28)","138.70","138.70","151.50","140.43","109.26","100.34","92.70","94.35","127.21","123.13","121.61","134.08","135.00","128.49","118.53","115.17","109.37","95.63","86.66","68.57","64.19","66.83","58.85","50.64"
"Finland","2.09","2.09","1.50","0.91","0.76","0.62","0.51","0.43","0.59","0.60","0.65","0.64","0.66","0.49","0.52","0.46","0.42","0.44","0.45","0.39","0.35","0.40","0.37","0.34"
"France","44.19","44.19","45.52","42.24","23.43","11.25","13.40","12.53","14.36","13.86","12.21","11.74","10.04","9.21","1.51","0.99","3.50","1.42","1.09","0.94","0.88","0.78","0.37","0.31"
"Germany","6.86","6.86","3.64","3.90","3.39","2.61","3.12","2.59","2.48","2.47","2.41","2.03","2.17","1.94","1.48","1.63","1.50","0.37","0.39","0.49","0.38","0.32","0.19","0.17"
"Greece","18.67","18.67","18.97","18.65","18.62","16.25","16.43","16.68","16.89","17.64","17.88","20.01","19.78","21.29","21.49","21.75","17.58","18.74","18.65","7.15","3.53","4.71","5.17","4.59"
"Hungary","","3.06","3.49","2.65","1.88","1.22","1.18","1.90","0.53","0.23","0.20","0.16","0.06","0.05","0.03","0.27","0.25","0.25","0.26","0.24","0.21","0.25","0.25","0.23"
"Iceland","0.14","0.14","0.17","0.20","0.19","0.19","0.19","0.19","0.19","0.25","0.25","0.27","0.26","0.33","0.03","0.03","0.02","0.16","0.15","0.13","0.12","0.12","0.11","0.07"
"Ireland","15.96","15.96","13.64","16.89","18.22","24.11","19.69","17.79","20.19","20.11","17.80","17.59","15.26","11.94","7.90","5.01","4.65","2.97","2.85","2.51","1.40","2.62","2.06","1.63"
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","8.39","8.39","12.53","11.04","11.30","11.91","11.96","11.20","11.07","10.23","8.84","8.94","9.05","9.16","8.81","8.47","8.12","8.12","8.12","8.12","8.12","8.12","8.12","8.12"
"Latvia","","","","","","","","","","","","","0.01","","","","","","","","","","0.00","0.00"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","4.76","4.76","4.88","4.47","4.06","3.66","2.81","3.10","3.21","3.05","2.85","3.14","2.81","1.23","2.80","3.20","4.19","3.50","3.58","3.83","1.57","2.13","3.39","1.22"
"New Zealand","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02","0.03","0.03","0.02","0.03","0.03","0.03","0.03","0.04","0.04","0.05","0.05","0.04","0.02","0.02","0.02","0.03"
"Norway","0.33","0.33","0.29","0.61","0.62","0.48","0.21","0.22","0.18","0.18","0.18","0.16","0.15","0.08","0.07","0.06","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","2.08","0.78","","","","","","","","","","","","","","","","","0.01","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","2.48","2.46","2.28","1.79","1.78","1.71","1.72","1.69","1.81","1.76","1.81","2.76","1.94"
"Slovenia","6.62","5.29","4.82","2.70","2.68","1.86","0.33","0.02","0.10","0.10","0.10","0.10","0.10","0.10","0.07","0.07","0.07","0.10","0.08","0.10","0.08","0.08","0.07","0.07"
"Spain","29.54","29.54","37.54","35.47","23.02","26.00","24.63","28.23","60.11","57.32","58.20","70.43","75.20","71.40","70.31","69.08","65.23","59.20","51.19","46.93","50.69","50.55","41.20","37.40"
"Sweden","0.17","0.17","0.18","0.15","0.15","0.12","0.07","0.06","0.03","0.04","0.05","0.06","0.03","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.02","0.02"
"Switzerland","0.07","0.07","0.07","0.05","0.02","0.02","0.03","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.00","0.01","0.00","0.00","0.01","0.01","0.00","0.00","0.01"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","2.16","1.69","1.37","3.20","0.45","0.27","5.36","4.06","2.71","2.67","3.24","6.09","3.45","1.79","0.57"
