"Category","2.A.1 Cement Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","0.68","0.68","0.72","0.68","0.57","0.45","0.37","0.44","0.56","0.61","0.60","0.55","0.54","0.65","0.74","0.82","0.94","1.05","1.15","1.27","1.31","1.36","1.38","1.47"
"Belgium","4.33","4.33","4.36","4.47","4.50","4.60","4.69","4.33","4.87","4.48","4.48","4.95","4.43","5.31","5.67","4.78","5.24","4.89","6.25","4.50","4.45","4.73","4.69","3.93"
"Bulgaria","1.43","1.26","0.74","0.64","0.68","0.85","1.17","1.15","0.92","0.65","0.64","0.70","0.71","0.70","0.74","0.84","0.94","0.90","1.15","1.11","0.59","0.48","0.47","0.58"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.89","0.89","0.59","0.62","0.57","0.69","0.57","0.62","0.72","0.67","0.96","1.08","1.21","1.20","1.23","1.30","1.33","1.04","1.30","1.63","1.42","1.03","0.83","0.78"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","0.02","0.02","0.02"
"Czech Republic","1.31","1.31","1.20","1.32","1.32","1.13","1.03","1.03","1.03","1.82","1.04","0.94","0.12","0.01","0.01","0.02","0.02","","","0.00","","0.00","",""
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","0.27","0.27","0.27","0.18","0.13","0.19","0.20","0.21","0.23","0.23","0.21","0.22","0.22","0.21","0.19","0.21","0.21","0.23","0.33","0.34","0.14","0.17","0.23","0.23"
"European Union (15)","33.99","33.99","33.28","33.63","29.99","29.57","33.43","31.75","32.63","32.39","29.14","29.64","28.28","29.05","30.28","30.09","30.14","29.97","31.59","27.69","24.30","23.67","22.63","20.20"
"European Union (28)","44.25","44.25","41.49","39.91","34.86","35.21","39.58","38.10","38.77","39.00","35.26","35.52","34.26","35.02","37.31","36.58","37.15","36.37","39.15","35.72","30.57","27.54","26.98","24.60"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","","","","","","","8.95","8.52","8.79","8.94","9.07","8.66","7.57","7.09","7.37","7.57","6.92","6.98","7.50","7.00","6.37","6.25","6.69","6.59"
"Greece","3.19","3.19","3.17","3.25","3.26","3.28","3.52","3.53","3.55","3.54","3.53","3.62","3.64","3.50","3.53","3.53","3.73","3.67","3.61","3.41","2.59","2.38","1.37","1.76"
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","21.21","21.21","21.16","21.51","17.82","17.25","10.63","10.47","10.56","11.09","11.50","12.34","12.58","13.05","13.62","14.14","14.19","14.40","14.17","12.76","10.85","10.28","9.84","7.87"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","3.41","3.41","3.15","1.42","0.16","0.76","0.90","1.01","1.03","1.00","1.34","0.85","1.04","1.13","1.23","1.33","1.35","1.69","1.73","1.71","1.74","0.07","0.37","0.32"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","0.60","0.60","0.58","0.63","0.66","0.66","0.70","0.68","0.69","0.65","0.72","0.71","0.71","0.73","0.71","0.66","0.75","0.73","0.86","0.82","0.75","0.72","0.69","0.71"
"Norway","0.58","0.58","0.38","0.25","0.49","0.50","0.66","0.77","0.87","0.75","0.64","0.57","0.60","0.47","0.63","0.49","0.71","0.74","0.70","0.63","0.62","0.71","0.63","0.63"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
