"Category","1.AA.4.A Commercial/Institutional"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","3.45","3.45","3.32","3.07","2.93","2.88","2.82","2.64","2.35","2.13","2.16","2.53","2.48","2.32","2.30","2.17","2.30","2.39","2.33","2.30","2.01","1.92","1.78","1.67"
"Austria","5.23","5.23","3.95","3.30","2.72","2.44","2.22","2.65","2.49","2.17","2.57","2.02","2.34","2.18","2.62","1.89","1.40","1.56","0.97","1.12","0.34","0.38","0.23","0.16"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","3.09","3.09","5.23","5.08","5.05","4.60","3.68","4.40","4.08","4.61","3.94","3.93","4.10","4.22","4.05","3.52","3.26","2.67","2.16","1.58","1.62","1.53","1.09","1.22"
"Bulgaria","","31.51","17.81","3.41","3.97","15.38","3.05","2.85","1.10","2.73","20.63","16.58","32.93","20.13","11.64","5.74","5.62","7.59","8.19","10.22","11.89","6.95","4.72","2.93"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","6.65","6.65","2.91","1.28","2.22","1.98","1.05","0.92","1.55","1.15","1.03","1.37","1.45","2.00","1.77","1.60","1.31","1.21","0.95","0.85","1.08","0.92","0.83","0.78"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","78.70","78.70","63.00","47.56","54.00","37.82","8.00","28.10","33.80","17.93","10.49","8.34","6.58","9.45","5.07","4.62","4.77","4.09","3.28","4.47","4.91","4.69","3.89","4.39"
"Denmark","1.97","1.97","1.75","1.51","1.45","1.44","0.88","0.85","0.74","0.51","0.58","0.45","0.34","0.70","0.48","0.41","0.40","0.36","0.32","0.29","0.23","0.20","0.20","0.25"
"Estonia","0.11","0.11","0.14","0.14","0.02","0.05","0.02","0.02","0.02","0.02","0.04","0.04","0.04","0.03","0.07","0.12","0.13","0.03","0.06","0.03","0.03","0.04","0.03","0.01"
"European Union (15)","563.68","563.68","414.21","328.09","271.63","214.41","196.21","184.20","163.14","145.85","132.96","118.58","120.98","101.44","86.23","83.86","80.54","75.28","66.94","56.99","51.42","47.83","45.38","46.54"
"European Union (28)","758.39","758.39","601.41","454.02","395.25","328.58","242.14","245.27","221.38","184.89","178.84","157.26","172.97","143.05","113.58","103.71","99.98","96.25","86.06","77.48","74.24","65.34","60.12","58.35"
"Finland","10.98","10.98","10.20","10.28","6.72","3.27","2.32","2.45","2.43","2.46","2.37","2.16","2.35","2.37","2.36","2.03","1.94","1.95","1.93","1.82","2.01","2.24","1.89","2.09"
"France","48.77","48.77","50.94","48.33","43.35","35.78","33.52","34.29","29.75","35.07","31.22","29.61","27.24","19.35","21.59","23.96","23.50","21.20","20.79","12.33","12.79","11.21","11.32","12.62"
"Germany","344.49","344.49","197.70","113.64","79.42","47.63","44.15","47.61","39.35","31.73","27.09","24.85","27.87","24.05","20.89","17.84","17.24","19.39","14.18","18.63","14.68","15.80","15.17","16.15"
"Greece","2.41","2.41","3.15","2.93","2.59","1.42","1.54","2.01","1.96","1.98","1.96","2.01","2.62","2.78","2.92","3.30","2.66","4.22","3.99","2.41","1.67","0.70","0.44","0.78"
"Hungary","","18.43","40.11","34.26","28.49","30.94","14.91","10.86","6.63","4.98","3.79","2.95","2.60","1.77","1.41","0.90","0.44","0.66","0.55","0.48","0.48","0.48","0.50","0.45"
"Iceland","0.04","0.04","0.05","0.04","0.04","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ireland","10.95","10.95","10.16","9.18","8.34","7.86","5.61","4.94","4.11","3.18","2.54","2.40","2.36","1.75","1.98","1.81","1.92","1.78","1.69","1.15","0.73","0.72","0.67","0.64"
"Italy","28.88","28.88","24.76","20.75","16.86","12.27","10.51","8.57","9.09","5.69","6.56","6.28","6.87","6.58","6.53","6.46","6.90","5.48","5.68","5.18","5.11","3.72","3.43","3.03"
"Japan","79.76","79.76","76.07","81.48","93.13","101.45","121.37","94.50","98.86","114.83","153.02","159.23","167.07","174.17","173.63","166.72","158.08","144.04","133.39","120.06","108.27","98.92","95.20","83.74"
"Latvia","24.89","24.89","22.27","20.37","14.03","9.35","5.36","5.64","4.49","3.61","2.68","1.68","1.62","1.29","1.07","0.95","0.86","0.79","0.52","0.37","0.28","0.40","0.34","0.17"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","28.49","28.49","32.88","13.07","12.48","12.33","10.17","9.44","6.20","6.00","4.73","3.34","2.60","3.02","3.11","2.88","3.27","4.31","3.30","2.48","2.87","2.86","3.15","2.05"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","0.23","0.23","0.23","0.21","0.20","0.20","0.22","0.21","0.19","0.21","0.22","0.23","0.14","0.11","0.05","0.13","0.16","0.14","0.17","0.18","0.17","0.09","0.07","0.08"
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","2.02","2.02","1.81","1.60","1.43","1.22","0.96","0.67","0.97","0.64","0.91","0.59","0.64","0.79","0.70","0.80","0.44","0.43","0.54","0.21","0.19","0.08","0.15","0.11"
"New Zealand","2.12","2.12","2.02","3.02","1.21","1.31","2.29","1.85","1.50","1.51","1.52","1.76","2.17","2.06","3.10","2.35","2.46","1.39","1.68","1.82","0.83","1.17","1.03","0.96"
"Norway","0.99","0.99","0.77","0.60","0.53","0.45","0.41","0.51","0.37","0.49","0.52","0.43","0.50","0.37","0.38","0.32","0.30","0.47","0.34","0.39","0.41","0.39","0.35","0.30"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","4.20","4.20","3.71","3.78","3.91","6.03","6.54","5.08","3.00","5.22","6.13","5.71","5.80","5.95","3.12","3.42","2.99","2.49","2.51","1.43","1.26","1.46","0.91","0.67"
"Romania","","","","0.08","0.17","0.06","0.04","0.14","2.10","0.55","0.27","0.69","0.98","1.40","1.13","1.29","1.46","1.01","1.37","0.54","0.39","0.47","0.67","0.48"
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","1.99","1.63","1.16","0.92","0.67","0.58","0.45","0.27","0.48","0.35","0.27","0.26","0.28"
"Slovenia","10.45","5.72","7.86","5.53","8.03","6.06","3.12","2.90","2.16","1.85","2.00","1.47","1.43","1.25","1.11","0.93","0.83","0.71","0.47","0.39","0.37","0.33","0.28","0.21"
"Spain","19.01","19.01","23.98","28.22","16.93","22.04","34.49","23.62","25.83","26.22","26.52","25.15","23.63","23.25","13.22","13.28","12.56","8.99","7.96","5.48","5.60","5.52","5.11","4.95"
"Sweden","4.02","4.02","3.82","2.72","1.79","1.35","1.02","0.81","0.74","0.58","0.60","0.50","0.39","0.33","0.34","0.30","0.19","0.16","0.16","0.10","0.10","0.09","0.08","0.09"
"Switzerland","4.75","4.75","4.18","3.81","3.07","3.75","3.27","3.51","3.61","2.79","1.89","1.87","2.35","2.12","1.97","1.91","2.17","1.80","1.43","1.56","1.27","1.38","1.07","1.06"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","85.58","77.98","66.55","63.40","104.84","80.44","72.39","74.31","63.88","54.75","52.57","47.31","50.15","50.24","41.01"
"United Kingdom of Great Britain and Northern Ireland","78.45","78.45","73.83","77.52","81.95","67.90","49.61","47.12","39.45","26.59","20.55","13.54","15.47","7.95","5.89","5.40","5.56","5.04","4.63","5.65","5.40","4.44","4.92","4.01"
"United States of America","588.94","588.94","519.29","543.40","533.19","541.01","553.41","453.54","465.74","417.71","407.47","409.17","408.41","368.27","368.84","369.40","369.35","307.90","246.46","185.01","170.89","156.77","142.65","142.65"
