"Category","2 Industrial Processes"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","995.62","995.62","63.08","64.98","65.95","71.41","70.03","71.02","72.54","76.13","80.30","78.64","74.34","73.62","77.87","80.48","79.59","80.86","83.39","82.96","76.92","82.63","83.89","73.56"
"Austria","2.22","2.22","1.90","1.67","1.42","1.42","1.37","1.29","1.27","1.18","1.12","1.09","1.21","1.21","1.21","1.22","1.22","1.22","1.22","1.23","1.21","1.21","1.22","1.22"
"Belarus","23.95","23.95","20.85","13.56","9.18","7.25","9.83","11.95","15.00","14.30","14.07","13.70","12.81","12.78","13.89","15.24","17.21","17.85","18.52","19.80","18.68","20.64","21.06","21.65"
"Belgium","33.43","33.43","34.67","29.31","21.56","31.93","20.05","23.51","25.41","20.95","21.67","19.61","18.09","19.02","16.23","15.74","15.94","14.56","17.13","11.95","8.34","10.55","11.95","9.61"
"Bulgaria","25.03","16.68","11.03","11.03","11.70","12.94","14.55","15.29","15.46","13.18","11.76","15.26","13.84","16.01","19.07","20.07","21.32","21.24","20.35","22.02","21.39","20.64","23.27","17.46"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","3.18","3.18","2.17","1.54","1.42","1.82","1.63","1.58","1.65","1.48","1.87","2.05","2.04","2.17","1.86","2.07","2.07","1.90","2.06","2.41","1.77","1.30","1.14","1.01"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","0.02","0.02","0.02"
"Czech Republic","16.36","16.36","16.42","16.66","14.75","15.72","17.03","15.28","15.28","12.79","11.11","21.09","2.48","4.11","2.02","0.69","1.88","1.51","3.48","0.66","0.72","1.33","1.53","1.46"
"Denmark","2.25","2.25","1.92","2.08","1.93","2.42","2.15","2.11","2.41","2.17","2.24","2.15","1.84","1.84","1.63","1.90","2.11","2.26","2.11","1.51","0.84","0.88","1.02","0.95"
"Estonia","1.49","1.49","1.46","0.74","0.14","0.19","0.31","0.54","0.80","0.93","0.99","1.09","1.06","1.24","1.27","1.43","1.44","1.41","1.43","1.38","1.12","1.36","1.39","1.47"
"European Union (15)","524.73","524.73","419.90","374.94","336.56","347.68","343.28","285.47","291.60","284.49","268.53","293.70","270.88","268.85","257.88","252.17","246.89","246.03","248.93","226.72","172.07","187.41","188.95","175.39"
