"Category","1.B.2.A Oil"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","0.01","0.01","0.05","0.01","0.08","0.07","0.17","0.15","0.16","0.41","0.34","0.16","0.13","0.13","0.14","0.14","0.12","0.13","0.12","10.57","13.04","5.54","5.56","5.79"
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","1.80","1.80","1.26","0.98","1.33","1.18","1.24","0.99","1.29","2.01","2.28","3.11","2.65","2.74","2.79","3.08","3.09","2.53","3.17","2.83","3.27","2.33","3.46","3.73"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","5.28","5.28","4.37","4.37","","4.37","4.16","","","4.69","4.63","5.20","2.93","2.00","0.43","0.01","0.00","1.10","","5.30","1.04","2.40","1.22","5.29"
"Denmark","3.34","3.34","2.71","3.15","2.53","4.27","3.02","2.61","1.98","1.44","1.36","0.98","0.67","0.33","0.25","0.12","0.39","0.79","0.93","0.99","0.48","1.02","1.18","0.89"
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","187.49","187.49","188.82","188.98","214.68","187.53","176.52","167.63","172.12","182.29","150.78","134.05","136.25","129.71","115.59","114.56","121.45","136.61","117.04","117.96","111.39","91.88","95.77","81.96"
"European Union (28)","223.05","223.05","209.25","209.79","232.01","209.60","198.67","183.93","188.61","205.10","170.13","155.62","156.64","150.03","133.71","135.04","143.73","158.09","135.85","144.57","131.99","111.95","115.43","105.31"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","53.80","53.80","53.00","52.98","50.49","50.70","50.28","50.60","55.85","57.45","52.51","52.19","48.00","41.46","38.70","43.47","39.54","46.96","43.02","40.56","32.97","27.47","27.08","19.33"
"Germany","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Greece","6.49","6.49","7.37","8.25","9.41","6.78","6.86","5.82","6.43","8.35","8.44","9.00","7.75","9.15","9.48","7.41","8.36","10.83","12.56","12.49","13.31","6.74","8.32","10.53"
"Hungary","0.75","0.72","0.68","0.66","0.68","0.62","0.66","0.60","0.62","0.63","0.62","0.60","0.61","0.53","0.56","0.56","0.62","0.61","0.63","0.62","0.56","0.57","0.58","0.54"
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","67.40","67.40","66.26","60.30","71.73","58.72","45.82","45.50","44.10","49.02","32.09","25.14","35.96","36.25","31.10","28.71","32.18","26.55","31.74","25.85","24.25","24.85","24.96","19.12"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","5.75","5.75","","2.43","3.05","2.18","1.89","2.22","3.02","3.83","2.63","2.86","4.02","3.97","4.36","5.32","5.64","4.93","2.92","5.69","5.18","5.53","5.55","5.29"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","7.52","7.52","8.02","8.52","9.01","9.51","9.99","9.25","8.49","7.73","8.94","6.40","6.68","5.84","","","7.01","17.88","","0.09","0.97","","",""
"New Zealand","2.75","2.75","3.10","2.88","3.01","3.23","2.54","2.84","3.26","3.24","3.02","3.53","3.59","3.48","3.68","2.98","4.07","4.12","4.38","5.27","5.30","4.45","5.54","4.55"
"Norway","3.59","3.59","2.29","2.31","1.93","1.51","1.53","1.36","1.62","1.72","1.86","1.56","1.22","1.34","1.58","1.56","1.44","1.44","1.10","0.88","0.91","0.86","0.52","0.67"
