"Category","1.A.1 Energy Industries"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","408.35","408.35","424.45","419.77","427.87","425.15","441.14","460.79","495.27","497.01","510.44","538.06","572.17","600.58","644.72","626.40","607.75","652.01","628.99","653.40","649.40","632.30","610.10","603.17"
"Austria","14.04","14.04","15.42","8.58","10.05","7.71","8.91","7.80","9.08","7.33","7.23","7.12","8.03","7.66","7.90","7.26","6.91","7.74","6.30","3.93","3.65","3.80","3.33","2.86"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","147.54","147.54","146.19","142.65","130.71","125.15","119.71","117.16","109.66","91.91","59.50","60.52","55.60","53.33","55.53","59.87","51.97","49.98","41.75","18.32","12.64","7.60","6.05","5.33"
"Bulgaria","1,316.79","1,199.73","903.34","950.30","935.82","943.84","979.61","968.48","1,089.11","1,062.06","895.11","922.38","1,048.73","941.00","1,033.27","1,024.53","991.80","1,002.50","1,129.68","1,139.26","1,091.59","1,167.93","1,449.39","1,267.92"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","99.53","99.53","60.04","73.58","75.23","67.12","53.98","39.50","52.84","69.36","69.49","32.93","33.84","33.68","35.49","25.65","32.73","30.23","39.03","31.96","36.74","19.67","17.94","14.56"
"Cyprus","22.21","22.21","23.02","26.47","28.43","29.82","27.20","28.80","30.47","33.26","35.18","33.46","30.81","31.40","33.62","31.72","34.07","27.52","25.51","20.52","16.08","20.34","19.37","14.75"
"Czech Republic","914.87","914.87","918.00","814.52","810.70","682.39","521.60","496.60","495.30","185.81","83.26","90.59","128.70","141.65","144.40","137.07","140.64","137.85","144.24","108.91","109.83","103.94","105.47","98.03"
"Denmark","127.56","127.56","186.05","139.74","107.90","110.50","106.50","143.77","75.33","55.02","37.08","12.90","11.20","11.15","17.70","10.39","8.19","10.27","9.07","6.92","4.93","4.34","3.50","3.27"
"Estonia","167.68","167.68","163.62","98.45","61.25","66.12","69.29","77.55","74.24","66.61","65.63","72.68","75.62","73.65","75.64","79.19","76.45","74.40","75.85","69.64","58.34","69.66","66.27","64.32"
