"Category","1.A.3 Transport"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","36.52","36.52","31.95","31.46","28.53","25.76","32.17","33.32","32.91","28.97","25.45","27.26","25.85","25.85","26.17","27.73","27.88","27.37","30.01","30.03","28.36","29.17","28.95","28.60"
"Austria","5.14","5.14","5.74","6.01","6.36","6.56","5.95","2.98","2.57","2.74","2.47","2.43","2.49","2.38","2.37","0.26","0.24","0.22","0.22","0.21","0.21","0.21","0.20","0.20"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","13.93","13.93","12.05","12.33","12.49","12.97","13.23","7.93","6.74","6.27","6.06","4.83","4.57","2.32","2.21","2.24","2.06","1.83","1.78","1.53","1.34","1.46","1.11","0.89"
"Bulgaria","2.28","3.11","1.19","1.29","1.50","1.47","1.57","1.71","1.41","1.79","1.85","1.46","1.62","1.72","1.98","1.32","1.14","0.61","0.53","0.66","0.65","0.33","0.35","0.32"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","5.89","5.89","4.01","5.57","6.27","4.05","3.53","6.03","4.77","4.78","5.18","5.96","4.83","6.19","7.37","7.82","9.15","8.45","9.22","7.44","6.93","3.13","2.61","0.70"
"Cyprus","4.00","4.00","4.30","5.20","5.29","6.02","5.73","6.04","6.36","6.74","7.01","7.20","7.03","6.83","6.51","2.34","0.07","0.07","0.07","0.07","0.08","0.12","0.12","0.14"
"Czech Republic","3.13","3.13","1.30","3.20","3.30","3.32","4.53","5.27","5.81","5.38","5.17","5.51","4.83","4.74","2.17","2.50","0.75","0.57","0.61","0.63","0.58","0.55","0.57","0.55"
"Denmark","12.77","12.77","11.58","7.76","6.25","6.89","7.52","6.37","5.65","4.28","3.33","2.36","2.24","2.08","2.51","2.88","2.58","2.69","1.93","1.76","1.82","1.69","1.65","1.58"
"Estonia","3.66","3.66","3.38","1.86","2.14","2.64","2.86","2.88","2.98","3.07","2.90","2.87","0.87","0.98","0.61","0.56","0.36","0.36","0.36","0.31","0.26","0.35","0.24","0.21"
"European Union (15)","782.99","782.99","753.34","769.46","763.48","737.83","616.25","542.47","381.45","395.87","367.54","268.34","260.93","210.18","214.77","206.12","151.89","165.26","147.63","123.78","135.70","107.07","102.84","88.28"
"European Union (28)","861.24","861.24","820.22","835.74","816.73","790.32","663.28","602.30","445.45","448.04","415.58","314.17","305.48","254.69","256.97","243.88","168.22","180.16","161.58","135.77","145.96","113.41","108.57","91.71"
"Finland","7.68","7.68","7.16","6.87","6.13","4.69","4.06","3.32","2.71","2.43","2.45","2.39","2.09","2.28","2.07","1.55","1.24","1.33","1.43","1.32","1.05","1.18","1.31","0.86"
"France","155.78","155.78","161.28","167.58","169.57","161.88","125.91","108.88","54.48","53.41","43.02","31.76","32.18","32.43","33.01","32.42","10.62","9.56","9.08","8.56","5.24","5.31","5.55","5.39"
"Germany","103.25","103.25","69.72","73.50","76.47","76.86","76.10","42.59","32.06","29.68","28.30","21.68","17.81","4.38","1.67","1.73","1.78","1.69","1.68","1.60","1.64","1.50","0.95","0.94"
"Greece","38.70","38.70","38.70","41.00","38.23","42.75","32.08","30.64","37.74","52.57","56.44","21.32","28.69","25.06","26.67","31.66","27.77","30.41","27.43","23.31","46.74","34.12","35.11","25.36"
"Hungary","","17.50","13.93","13.29","7.12","6.83","6.70","9.20","10.33","3.16","2.41","1.26","1.78","1.89","1.31","1.37","0.30","0.12","0.13","0.13","0.13","0.12","0.11","0.11"
"Iceland","0.45","0.45","0.45","0.45","0.44","0.35","0.35","0.46","0.28","0.28","0.19","0.12","0.20","0.18","0.15","0.23","0.11","0.32","0.59","0.26","0.21","0.18","0.08","0.07"
"Ireland","6.81","6.81","5.74","6.23","6.26","6.69","6.56","7.59","7.94","9.33","2.72","3.03","2.91","2.05","2.05","2.00","1.15","0.89","0.64","0.29","0.23","0.21","0.17","0.20"
"Italy","209.69","209.69","217.60","217.34","212.26","175.18","143.04","153.48","113.09","116.74","113.06","94.39","92.70","60.32","60.17","59.86","52.85","50.43","47.88","41.20","38.84","29.55","27.71","28.81"
"Japan","427.61","427.61","454.52","400.62","336.50","343.35","357.22","378.64","389.66","361.77","361.95","362.61","358.57","355.80","343.50","316.46","313.27","307.76","297.37","277.77","259.21","262.50","256.66","258.98"
"Latvia","1.04","1.04","1.00","0.84","0.63","0.59","0.59","0.58","0.62","0.60","0.31","0.35","0.43","0.46","0.49","0.49","0.14","0.15","0.17","0.26","0.17","0.16","0.18","0.18"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","7.41","7.41","6.59","4.62","3.66","3.05","3.09","3.34","3.15","1.84","1.55","1.36","1.26","1.30","1.23","1.20","0.77","0.75","0.81","0.83","0.58","0.66","0.62","0.37"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
