"Category","1.AA.4.B Residential"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","1.00","1.00","0.96","0.92","0.96","0.88","0.86","0.83","0.83","0.79","0.74","0.78","0.75","0.73","0.74","0.68","0.58","0.58","0.59","0.58","0.54","0.55","0.56","0.49"
"Austria","25.93","25.93","24.40","21.43","18.24","16.33","16.01","15.88","10.23","9.64","9.36","8.68","8.47","7.46","6.98","6.68","6.17","5.70","4.78","4.95","1.97","2.13","1.82","1.63"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","27.17","27.17","29.64","28.53","27.72","23.28","24.15","28.50","24.40","23.51","22.36","20.15","21.95","20.59","20.33","19.96","19.13","17.93","16.33","10.31","10.18","8.71","7.36","7.75"
"Bulgaria","179.35","104.02","112.09","120.80","136.18","99.37","83.09","104.24","81.16","79.97","54.87","40.30","26.01","45.42","48.56","33.99","27.27","30.03","23.16","19.63","14.87","19.25","24.94","25.44"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","14.41","14.41","9.22","4.33","5.02","4.41","2.36","2.11","3.33","2.68","2.61","3.12","3.03","4.24","3.91","3.64","3.62","2.96","2.24","1.91","2.07","2.12","1.75","1.60"
"Cyprus","1.56","1.56","1.67","2.02","2.05","2.33","2.22","2.33","2.44","2.58","2.67","2.83","2.74","2.63","2.43","2.08","0.36","0.37","0.30","0.16","0.20","0.17","0.18","0.18"
"Czech Republic","204.61","204.61","173.00","129.53","108.00","92.43","36.00","73.70","72.70","49.33","56.46","48.09","44.28","30.06","33.29","33.75","27.54","24.98","23.02","24.01","24.48","28.49","25.88","21.12"
"Denmark","6.57","6.57","7.22","6.11","6.69","5.71","2.39","2.36","2.18","2.00","1.89","1.57","1.58","1.55","1.53","1.54","1.56","1.58","1.45","1.42","1.38","1.36","1.22","1.13"
"Estonia","6.41","6.41","6.03","2.06","1.50","1.13","2.24","3.00","3.08","2.36","2.50","2.30","2.12","2.30","2.07","2.41","2.08","1.92","1.95","1.97","2.01","2.07","1.90","1.95"
"European Union (15)","840.05","840.05","684.92","550.67","521.42","450.08","381.82","397.83","362.49","333.55","310.08","285.02","296.58","260.26","245.32","225.38","214.80","209.89","186.39","173.65","154.99","154.18","139.38","141.79"
"European Union (28)","1,551.84","1,551.84","1,349.70","1,028.96","1,007.56","797.91","633.47","702.47","646.68","539.21","494.86","436.11","425.83","384.89","375.05","338.31","313.29","308.38","266.03","253.30","226.88","236.58","225.64","224.63"
"Finland","4.62","4.62","4.34","4.46","4.09","3.84","3.31","3.39","3.37","3.41","3.33","3.12","3.37","3.33","3.27","2.40","2.27","2.27","2.18","2.07","2.14","2.37","1.92","2.08"
"France","80.79","80.79","85.08","71.49","67.22","60.97","54.75","55.66","46.13","46.70","43.74","36.86","43.59","37.41","35.59","33.86","34.16","31.74","30.27","19.17","17.08","17.63","14.05","15.86"
"Germany","449.61","449.61","281.55","187.86","167.71","140.21","112.73","114.01","105.35","92.07","78.03","73.43","79.97","68.91","61.42","52.03","50.29","54.65","39.37","51.84","43.78","51.72","48.15","47.16"
"Greece","16.41","16.41","16.70","16.44","15.64","9.96","9.43","12.80","13.31","13.87","13.23","14.40","15.46","15.79","18.69","17.87","18.21","17.23","15.45","15.04","12.88","4.06","4.76","3.96"
