"Category","1.AA.2.A Iron and Steel"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","10.77","10.77","10.74","10.80","10.12","10.65","11.14","10.92","9.95","10.17","9.95","9.15","8.33","9.56","9.09","10.73","11.52","11.40","9.53","10.80","8.81","8.71","9.31","6.55"
"Austria","6.73","6.73","5.35","3.48","3.94","4.24","4.22","4.76","4.75","4.70","4.73","4.46","4.79","4.90","5.04","4.71","5.31","5.77","5.62","5.29","3.99","4.96","5.08","5.23"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","15.73","15.73","15.82","15.79","17.24","15.37","12.65","11.08","11.80","10.48","11.11","12.42","11.62","11.77","12.51","13.37","12.26","10.01","10.37","10.17","3.58","5.22","4.69","5.65"
"Bulgaria","10.69","11.57","2.87","3.10","3.84","5.96","7.22","6.24","7.02","6.23","4.14","3.29","3.92","3.92","4.63","4.14","3.97","3.52","3.49","1.24","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","",""
"Czech Republic","","","","","","","","","","","","","","","12.34","13.68","12.72","10.64","11.80","8.03","7.03","3.95","5.20","4.75"
"Denmark","0.04","0.04","0.05","0.03","0.02","0.01","0.01","0.00","0.00","0.00","0.02","0.02","0.02","0.02","0.00","0.00","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00"
"Estonia","0.03","0.03","","","","0.03","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00"
"European Union (15)","207.42","207.42","202.31","176.53","176.96","186.52","184.24","159.66","172.88","160.60","191.80","98.75","102.93","82.73","78.15","78.30","69.69","77.91","84.89","105.96","80.75","103.86","82.02","78.90"
"European Union (28)","246.15","246.15","232.56","198.49","197.29","209.10","209.50","176.57","197.80","180.54","206.86","131.15","122.08","99.76","111.79","120.50","115.62","123.58","126.29","138.32","104.79","129.91","108.77","112.45"
"Finland","11.30","11.30","9.42","7.53","5.91","5.12","4.41","3.61","3.57","3.79","3.92","4.14","3.98","3.88","4.23","3.81","4.24","4.45","3.62","4.76","3.84","3.68","4.10","0.98"
"France","65.12","65.12","67.15","55.94","48.78","64.38","57.05","53.48","49.41","49.09","41.24","40.12","43.72","38.84","38.39","34.49","29.55","36.42","40.72","37.71","28.95","37.17","35.69","32.22"
"Germany","36.86","36.86","32.26","29.14","25.48","21.81","34.77","34.04","34.63","36.10","32.23","2.96","1.75","2.02","1.57","1.84","1.93","2.04","2.57","2.46","1.67","2.51","2.37","2.27"
"Greece","7.50","7.50","7.78","7.71","6.30","4.48","5.38","4.76","4.76","2.78","1.88","1.38","1.45","1.52","1.33","0.94","0.29","0.36","0.36","0.06","0.05","0.05","0.01","0.24"
"Hungary","","10.39","5.15","4.53","3.32","2.87","2.71","3.58","1.51","1.61","2.89","2.98","0.73","0.80","0.80","0.81","0.80","0.80","0.84","0.81","0.63","1.64","1.54","1.44"
"Iceland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ireland","0.88","0.88","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","43.61","43.61","42.37","39.74","41.32","49.84","35.50","37.32","38.58","36.24","36.49","38.28","40.05","41.84","40.20","38.56","36.94","36.95","36.96","36.95","36.94","36.95","36.97","36.97"
"Latvia","1.43","1.43","1.07","0.83","0.55","0.66","0.52","0.56","0.66","0.37","0.35","0.31","0.31","0.20","0.15","0.15","0.11","0.14","0.15","0.16","0.11","0.10","0.03","0.08"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","9.14","9.14","9.01","8.89","8.76","8.63","8.45","7.18","5.87","4.50","62.54","3.40","3.38","0.06","3.65","4.06","3.41","3.28","3.61","3.09","2.34","3.85","2.93","3.04"
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","0.18","0.18","0.15","0.13","0.12","0.09","0.07","0.18","0.11","0.10","0.02","0.03","0.02","0.08","0.02","0.02","0.01","0.01","0.01","0.02","0.01","0.01","0.01","0.01"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","4.93","4.93","2.93","4.13","4.83","4.67","5.05","5.26","5.54","4.66","5.01","5.43","3.03","0.10","0.02","0.00","0.00","0.17","0.13","0.08","0.03","0.04","0.04","0.05"
"Romania","31.41","13.66","20.21","13.35","12.56","13.03","14.78","6.50","15.58","11.59","7.53","6.92","1.73","1.27","4.91","10.62","16.19","18.18","14.63","13.12","9.29","12.70","12.60","18.76"
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","18.75","12.27","10.63","10.60","12.66","11.99","12.15","10.32","8.80","6.88","7.49","7.21","8.37"
"Slovenia","9.18","1.64","0.94","0.15","0.05","0.02","0.01","0.01","0.13","0.13","0.15","0.13","0.18","0.19","0.19","0.14","0.15","0.22","0.17","0.19","0.09","0.15","0.17","0.14"
"Spain","32.14","32.14","37.47","27.01","29.77","36.10","34.38","24.98","38.26","26.60","10.34","10.61","16.35","13.27","7.76","7.79","7.08","7.13","6.44","31.84","28.08","40.61","26.23","27.37"
"Sweden","1.51","1.51","1.48","1.33","1.09","1.29","1.20","1.04","0.90","0.77","0.71","0.78","0.72","0.66","0.64","0.61","0.60","0.75","0.69","0.66","0.56","0.71","0.69","0.65"
"Switzerland","0.40","0.40","0.37","0.38","0.35","0.36","0.17","0.16","0.17","0.18","0.12","0.12","0.12","0.10","0.09","0.15","0.14","0.19","0.15","0.15","0.09","0.08","0.04","0.03"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","47.45","59.19","59.11","67.16","61.43","79.92","79.28","102.60","123.81","94.75","58.36","50.24","64.47","79.63","95.96"
"United Kingdom of Great Britain and Northern Ireland","28.11","28.11","27.88","29.18","38.77","34.12","31.23","22.71","27.03","30.41","30.00","23.08","23.72","17.13","12.34","14.37","13.72","15.77","18.75","17.22","16.27","16.42","12.30","13.33"
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
