"Category","1.AA.3.B Road Transportation"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","9.07","9.07","8.77","8.86","9.26","9.67","10.32","10.87","11.44","11.89","11.85","12.19","11.76","12.44","12.77","13.10","13.39","13.87","14.96","14.82","14.21","13.82","14.72","15.58"
"Austria","4.86","4.86","5.49","5.75","6.11","6.31","5.72","2.81","2.44","2.62","2.34","2.32","2.40","2.28","2.27","0.18","0.16","0.14","0.13","0.13","0.12","0.13","0.13","0.12"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","12.28","12.28","10.45","10.75","10.95","11.41","11.66","6.39","5.21","4.72","4.49","3.23","2.96","0.71","0.61","0.54","0.40","0.31","0.13","0.11","0.10","0.11","0.11","0.11"
"Bulgaria","2.22","1.88","1.09","1.12","1.27","1.18","1.28","1.28","1.26","1.58","1.61","1.44","1.45","1.52","1.74","1.10","0.89","0.33","0.20","0.33","0.39","0.13","0.13","0.13"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","4.42","4.42","2.98","4.44","4.77","3.49","2.85","4.93","3.96","4.16","4.64","5.44","4.31","5.37","6.61","7.31","8.58","7.92","8.68","6.86","6.43","2.78","2.23","0.60"
"Cyprus","4.00","4.00","4.30","5.20","5.29","6.02","5.73","6.04","6.36","6.74","7.01","7.20","7.03","6.83","6.51","2.34","0.07","0.07","0.07","0.07","0.08","0.01","0.01","0.01"
"Czech Republic","2.73","2.73","1.00","2.95","3.00","3.09","4.00","5.00","5.50","5.16","5.03","5.28","4.07","4.01","2.01","2.33","0.73","0.56","0.60","0.61","0.57","0.54","0.54","0.53"
"Denmark","5.83","5.83","5.97","3.88","1.63","1.72","1.73","1.76","1.79","1.81","1.13","0.40","0.40","0.40","0.42","0.44","0.13","0.15","0.14","0.14","0.13","0.13","0.12","0.12"
"Estonia","3.22","3.22","2.93","1.58","1.86","2.35","2.60","2.56","2.70","2.76","2.59","2.56","0.58","0.60","0.29","0.27","0.06","0.04","0.04","0.04","0.01","0.01","0.01","0.01"
