"Category","1.AA.3.B Road Transportation"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"European Union (15)","566.21","566.21","538.44","561.51","560.21","529.45","422.96","344.56","194.97","191.47","164.94","95.57","85.87","67.73","65.77","64.54","15.69","15.08","14.21","12.70","5.17","4.58","4.43","4.23"
"European Union (28)","623.79","623.79","586.17","611.34","603.19","572.83","461.58","394.25","244.55","232.79","203.04","134.11","123.18","104.61","101.88","97.15","28.58","26.71","24.90","21.78","13.11","8.51","7.80","5.97"
"Finland","5.26","5.26","4.84","4.66","3.83","2.21","1.82","1.17","0.37","0.28","0.28","0.22","0.22","0.23","0.14","0.09","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07"
"France","146.57","146.57","151.51","158.78","161.21","154.23","118.66","101.84","47.01","46.37","35.48","23.97","24.75","25.10","25.13","25.41","4.32","4.32","4.37","4.26","0.98","0.98","0.97","0.96"
"Germany","90.20","90.20","61.41","65.69","68.75","69.46","69.31","37.88","29.16","27.18","26.00","19.67","16.04","3.45","0.82","0.83","0.80","0.81","0.80","0.78","0.78","0.79","0.79","0.79"
"Greece","18.74","18.74","19.33","20.04","21.00","21.74","11.22","11.56","12.02","12.43","12.96","2.77","2.90","2.99","3.10","3.21","0.70","0.72","0.74","0.75","0.76","0.12","0.11","0.09"
"Hungary","","16.00","13.40","12.90","6.95","6.70","6.63","9.12","10.24","3.10","2.25","1.13","1.50","1.59","1.06","1.16","0.08","0.09","0.09","0.10","0.10","0.09","0.08","0.07"
"Iceland","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.13","0.06","0.06","0.06","0.07","0.07","0.02","0.03","0.03","0.03","0.03","0.03","0.02","0.02"
"Ireland","5.39","5.39","4.38","4.78","4.78","5.01","5.14","6.19","6.49","7.86","1.46","1.66","1.74","1.47","1.47","1.35","0.54","0.55","0.35","0.14","0.05","0.04","0.04","0.04"
"Italy","130.39","130.39","131.15","134.94","134.02","100.78","71.64","71.41","28.62","29.65","30.29","11.99","12.58","11.28","11.51","11.73","2.41","2.05","1.89","1.65","0.44","0.44","0.44","0.39"
"Japan","185.81","185.81","202.02","149.61","88.45","91.04","95.45","99.03","98.85","96.72","97.02","97.37","95.84","93.45","89.06","82.40","78.34","76.33","75.49","72.49","68.80","66.12","63.14","61.52"
"Latvia","0.36","0.36","0.34","0.30","0.30","0.29","0.28","0.28","0.30","0.31","0.25","0.29","0.37","0.38","0.41","0.44","0.09","0.10","0.11","0.10","0.02","0.02","0.02","0.02"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","5.61","5.61","5.15","3.48","2.60","2.02","2.23","2.46","2.31","1.12","0.96","0.80","0.73","0.74","0.62","0.54","0.10","0.07","0.13","0.13","0.02","0.02","0.02","0.02"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","0.48","0.48","0.51","0.54","0.57","0.60","0.62","0.68","0.71","0.74","0.77","0.81","0.38","0.12","0.12","0.08","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00"
"Monaco","0.02","0.02","0.03","0.03","0.03","0.02","0.02","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Netherlands","12.61","12.61","12.87","13.36","13.20","12.71","11.72","8.78","4.13","4.31","4.67","2.96","0.74","0.75","0.47","0.54","0.22","0.27","0.28","0.27","0.27","0.27","0.27","0.26"
"New Zealand","2.33","2.33","2.42","2.78","3.20","3.62","4.34","4.62","4.93","5.14","5.33","5.76","5.91","6.36","6.60","6.66","7.14","7.38","7.65","7.81","7.74","7.88","8.27","8.35"
"Norway","3.30","3.30","3.05","3.12","3.11","2.24","1.74","1.59","1.52","1.15","1.02","0.41","0.40","0.41","0.26","0.20","0.06","0.08","0.06","0.07","0.04","0.04","0.04","0.05"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","12.37","12.37","13.02","14.00","14.50","15.45","12.21","6.14","6.36","6.98","7.27","3.25","3.36","3.43","3.44","3.45","0.59","0.60","0.58","0.58","0.11","0.11","0.11","0.10"
"Romania","9.85","11.16","8.99","10.74","9.18","9.81","9.23","14.07","12.84","12.58","10.12","10.70","13.81","14.45","16.01","16.25","1.95","2.12","0.39","0.44","0.10","0.09","0.09","0.09"
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","0.90","0.90","0.73","0.65","0.62","0.67","0.71","0.72","0.74","0.78","0.75","0.67","0.67","0.73","0.15","0.16","0.19","0.18","0.20","0.21","0.19","0.21","0.20","0.21"
"Slovenia","4.82","6.81","6.30","5.93","6.56","7.16","2.45","2.55","2.67","2.28","2.12","2.23","2.39","0.53","0.57","0.64","0.14","0.14","0.16","0.19","0.03","0.03","0.04","0.04"
"Spain","54.28","54.28","57.49","61.12","60.95","64.49","50.27","50.65","23.20","24.02","24.18","16.60","13.76","12.02","12.76","13.43","2.33","2.40","2.47","2.34","0.44","0.42","0.40","0.37"
"Sweden","5.80","5.80","4.21","3.56","2.07","2.41","1.84","1.13","0.59","0.59","0.53","0.23","0.19","0.17","0.13","0.10","0.10","0.09","0.09","0.09","0.08","0.08","0.08","0.07"
"Switzerland","3.75","3.75","3.67","3.47","2.94","2.15","1.95","1.96","2.02","2.14","2.32","1.62","1.41","1.23","1.03","0.08","0.08","0.08","0.08","0.09","0.09","0.09","0.09","0.09"
"Turkey","17.56","17.56","16.34","16.23","19.97","18.29","19.68","20.78","17.73","15.17","17.38","18.48","19.15","20.33","21.54","23.01","23.31","25.60","29.84","26.86","26.42","25.81","27.55","40.78"
"Ukraine","","","","","","","","","","20.17","15.48","16.75","17.79","23.85","26.56","28.81","28.96","31.94","34.38","34.49","31.85","31.78","32.17","32.17"
"United Kingdom of Great Britain and Northern Ireland","62.99","62.99","57.73","61.67","58.72","62.95","51.12","37.84","28.14","23.17","14.31","6.64","4.14","3.75","3.73","3.49","3.02","2.71","2.28","1.49","0.92","0.97","0.87","0.81"
"United States of America","456.32","456.32","425.48","395.54","364.69","334.76","303.91","273.67","275.48","272.51","272.55","235.49","224.75","257.23","223.08","188.92","154.77","96.05","37.34","34.86","32.22","33.67","26.11","26.08"
