"Category","1.AA.3.D Navigation"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","25.71","25.71","21.38","20.80","17.46","14.31","20.03","20.56","19.54","15.21","11.75","13.20","12.21","11.54","11.49","12.55","12.30","11.28","12.73","12.53","11.40","12.43","11.16","9.85"
"Austria","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","1.35","1.35","1.33","1.32","1.30","1.32","1.34","1.35","1.37","1.39","1.42","1.46","1.47","1.47","1.49","1.59","1.58","1.42","1.56","1.36","1.20","1.32","0.97","0.76"
"Bulgaria","","1.20","0.07","0.13","0.20","0.26","0.26","0.40","0.13","0.20","0.19","","0.12","0.18","0.22","0.21","0.24","0.25","0.28","0.33","0.24","0.18","0.20","0.18"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.52","0.52","0.37","0.79","1.01","0.20","0.40","0.71","0.52","0.32","0.28","0.27","0.30","0.57","0.51","0.22","0.27","0.24","0.24","0.30","0.26","0.16","0.17","0.03"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","0.10","0.11","0.13"
"Czech Republic","0.03","0.03","0.03","0.02","0.03","0.03","0.03","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Denmark","6.47","6.47","5.15","3.54","4.44","5.00","5.62","4.43","3.69","2.32","2.09","1.88","1.77","1.62","2.02","2.38","2.39","2.48","1.72","1.55","1.63","1.50","1.46","1.40"
"Estonia","0.04","0.04","0.04","0.03","0.03","0.02","0.02","0.04","0.04","0.04","0.03","0.04","0.04","0.06","0.05","0.05","0.05","0.07","0.10","0.12","0.05","0.05","0.03","0.02"
"European Union (15)","192.32","192.32","195.47","189.40","185.66","191.46","177.77","184.04","174.30","192.37","190.73","161.23","164.16","132.39","138.97","131.69","126.51","140.79","124.52","103.22","123.29","95.72","92.38","78.47"
"European Union (28)","206.11","206.11","209.03","199.04","189.91","195.09","180.82","188.97","183.65","198.83","197.04","164.23","167.83","136.00","141.88","133.35","127.83","142.09","125.82","104.46","124.26","96.69","93.25","78.95"
"Finland","1.38","1.38","1.36","1.29","1.40","1.64","1.48","1.51","1.68","1.47","1.48","1.51","1.21","1.34","1.27","1.14","1.01","1.17","1.28","1.18","0.92","1.04","1.17","0.73"
"France","5.81","5.81","6.40","5.49","5.23","4.72","4.60","4.26","4.63","4.21","4.64","4.84","4.67","4.60","5.33","4.47","3.88","3.40","3.17","2.73","2.75","2.82","2.98","2.78"
"Germany","2.04","2.04","1.95","2.08","2.13","2.08","1.64","1.26","1.00","0.91","0.74","0.69","0.67","0.58","0.61","0.68","0.76","0.67","0.68","0.62","0.69","0.55","0.01","0.01"
"Greece","18.61","18.61","18.31","19.94","16.17","19.87","19.90","18.07","24.74","39.07","42.53","17.57","24.83","21.13","22.62","27.48","26.12","28.70","25.78","21.68","45.20","33.42","34.56","24.62"
"Hungary","","1.36","0.43","0.31","0.09","0.06","0.01","0.01","0.02","0.01","0.01","0.01","0.00","0.01","0.04","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01"
"Iceland","0.31","0.31","0.30","0.30","0.29","0.21","0.20","0.31","0.12","0.12","0.02","0.03","0.12","0.10","0.06","0.13","0.06","0.26","0.54","0.20","0.16","0.13","0.03","0.02"
"Ireland","1.16","1.16","1.10","1.22","1.22","1.45","1.26","1.22","1.28","1.29","1.11","1.22","1.01","0.45","0.44","0.50","0.49","0.21","0.16","0.08","0.10","0.10","0.07","0.10"
"Italy","77.94","77.94","85.09","81.04","76.91","73.08","70.31","80.92","83.68","86.24","81.81","81.49","79.28","48.21","47.83","47.37","49.73","47.65","45.21","38.81","37.70","28.38","26.54","27.72"
"Japan","241.80","241.80","252.50","251.02","248.05","252.31","261.77","279.60","290.81","265.05","264.94","265.24","262.74","262.35","254.44","234.07","234.93","231.42","221.89","205.29","190.41","196.37","193.53","197.46"
"Latvia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.00"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","0.23","0.23","0.14","0.05","0.05","0.05","0.05","0.23","0.23","0.16","0.14","0.13","0.15","0.17","0.19","0.25","0.24","0.27","0.25","0.27","0.23","0.29","0.24","0.00"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","0.03","0.03","0.02","0.02","0.03","0.03","0.04","0.04","0.03","0.03","0.04","0.04","0.02","0.02","0.02","0.03","0.06","0.03","0.05","0.05","0.06","0.01","0.01","0.00"
"Monaco","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Netherlands","0.49","0.49","0.49","0.52","0.54","0.54","0.53","0.49","0.53","0.55","0.71","0.70","0.70","0.72","0.83","0.77","0.72","0.70","0.70","0.42","0.39","0.21","0.00","0.00"
"New Zealand","3.04","3.04","3.03","3.05","3.02","3.84","3.89","3.26","2.02","1.55","2.37","4.79","4.20","4.66","4.79","4.25","5.04","3.73","4.12","2.94","3.50","2.92","3.43","3.50"
"Norway","4.20","4.20","3.37","2.53","2.09","1.39","1.51","1.21","1.52","1.88","1.82","1.93","1.64","1.41","2.41","2.44","2.19","2.22","3.08","2.82","2.35","2.46","1.84","1.53"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","3.36","3.36","3.31","3.26","3.19","3.13","2.91","3.04","3.15","3.22","2.90","2.58","2.46","2.58","2.60","2.65","2.64","2.64","2.65","2.70","2.86","2.90","2.55","2.85"
"Romania","14.44","10.21","12.32","8.14","2.72","2.86","2.12","3.35","8.23","5.48","5.43","2.34","2.85","2.55","1.84","0.86","0.43","0.42","0.33","0.14","0.11","0.12","0.10","0.09"
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","0.18","0.18","0.15","0.15","0.10","0.12","0.13","0.14","0.14","0.21","0.18","0.14","0.15","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0.00","0.00"
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","43.56","43.56","44.10","44.40","48.90","53.70","42.58","42.40","23.60","26.02","26.10","24.60","24.14","26.84","30.85","19.60","13.40","29.88","26.42","20.92","18.36","13.52","13.24","9.73"
"Sweden","5.01","5.01","3.78","3.47","2.32","1.91","2.15","1.80","2.73","3.14","3.28","3.02","2.94","3.02","4.18","4.03","3.88","2.66","1.38","1.10","2.23","1.75","1.36","0.84"
"Switzerland","0.06","0.06","0.05","0.05","0.04","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00"
"Turkey","2.91","2.91","3.08","3.84","3.89","3.37","4.30","4.03","3.98","3.98","3.34","3.02","3.32","3.41","3.65","4.10","4.20","4.38","4.54","3.85","1.61","1.64","3.72","2.40"
"Ukraine","","","","","","","","","","0.55","0.63","0.59","0.66","0.87","0.67","0.81","0.95","1.17","0.90","0.62","0.61","0.37","0.56","0.48"
"United Kingdom of Great Britain and Northern Ireland","26.47","26.47","24.90","23.22","22.79","23.80","24.35","24.10","23.34","23.58","23.42","21.54","20.89","21.56","21.28","21.54","22.08","21.19","15.70","11.60","10.96","9.91","9.16","8.51"
"United States of America","151.47","151.47","150.66","149.05","147.84","146.63","145.41","144.24","149.05","154.14","160.45","147.79","145.43","238.99","215.29","191.59","167.89","131.24","94.60","66.43","71.38","41.28","30.13","27.88"
