"Category","1.A.4 Other Sectors"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","7.20","7.20","7.05","6.80","6.80","6.76","6.77","6.57","6.41","6.22","6.28","6.76","7.40","7.29","7.79","7.59","7.90","7.60","7.48","7.48","7.13","7.14","7.00","6.89"
"Austria","32.94","32.94","29.84","26.13","22.16","19.78","18.91","19.23","13.35","12.44","12.55","11.26","11.38","10.13","10.10","8.93","7.83","7.50","5.94","6.27","2.46","2.67","2.18","1.93"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","59.36","59.36","64.39","63.56","63.12","55.13","37.29","42.21","37.23","36.58","34.12","30.60","32.53","31.27","30.84","29.94","28.82","27.04","23.44","15.30","14.19","12.40","9.82","10.49"
"Bulgaria","190.09","150.24","140.85","132.39","146.92","124.61","93.04","113.39","88.97","88.81","84.10","65.57","66.33","73.02","67.39","46.84","40.05","44.45","36.63","33.28","30.13","29.28","33.16","31.82"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","23.87","23.87","14.41","7.94","9.86","8.25","4.65","4.86","6.16","5.01","5.16","6.50","6.09","7.97","7.48","6.92","6.78","5.82","4.85","4.27","4.51","4.18","3.72","2.76"
"Cyprus","1.86","1.86","2.00","2.42","2.46","2.79","2.65","2.79","2.92","3.08","3.20","3.67","3.56","3.47","2.91","2.61","0.47","0.48","0.41","0.21","0.25","0.22","0.24","0.23"
"Czech Republic","302.44","302.44","250.00","185.66","168.00","134.27","47.00","105.20","110.00","69.17","68.57","58.21","51.16","40.17","38.94","38.97","32.81","29.56","26.70","28.91","29.85","33.55","30.15","25.94"
"Denmark","14.22","14.22","14.73","12.96","13.33","12.10","8.34","7.41","6.25","5.58","5.28","5.11","5.00","4.98","4.82","4.52","4.59","4.61","4.36","3.70","2.83","3.36","3.05","2.95"
"Estonia","6.89","6.89","6.57","2.42","1.95","1.27","2.32","3.09","3.16","2.44","2.59","2.43","2.52","2.61","2.33","2.70","2.37","2.07","2.13","2.12","2.11","2.16","2.04","2.05"
"European Union (15)","1,598.08","1,598.08","1,255.00","1,021.84","941.57","803.82","678.91","677.02","602.00","551.04","518.91","470.24","481.94","424.90","392.09","367.69","353.02","342.23","305.66","264.66","237.45","233.86","211.50","205.64"
