"Category","Aviation"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","0.52","0.52","0.54","0.57","0.62","0.64","0.70","0.75","0.78","0.86","0.86","0.87","0.93","0.80","0.70","0.85","0.98","0.99","1.10","1.09","1.12","1.22","1.23","1.14"
"Austria","0.28","0.28","0.32","0.34","0.36","0.38","0.42","0.47","0.48","0.50","0.49","0.54","0.52","0.49","0.46","0.55","0.62","0.65","0.69","0.69","0.60","0.65","0.69","0.66"
"Belarus","1.81","1.81","1.17","0.53","0.26","0.11","0.07","0.06","0.06","0.03","0.04","0.06","0.07","0.08","0.09","0.09","0.07","0.05","0.07","0.05","0.06","0.08","0.08","0.08"
"Belgium","0.08","0.08","0.08","0.08","0.09","0.09","0.10","0.12","0.13","0.16","0.18","0.22","0.22","0.24","0.29","0.29","0.24","0.27","0.32","0.35","0.37","0.47","0.52","0.44"
"Bulgaria","0.02","0.36","0.38","0.23","0.15","0.27","0.37","0.30","0.29","0.19","0.14","0.13","0.07","0.08","0.10","0.12","0.16","0.15","0.18","0.18","0.18","0.21","0.15","0.16"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.09","0.09","0.02","0.02","0.08","0.10","0.05","0.23","0.24","0.23","0.11","0.08","0.13","0.17","0.13","0.20","0.16","0.20","0.21","0.27","0.26","0.17","0.21","0.12"
"Cyprus","0.03","0.03","0.03","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.05","0.05","0.05","0.05","0.05","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.05","0.05"
"Czech Republic","0.44","0.44","","0.34","","0.20","0.21","0.32","0.29","0.16","0.38","0.24","","","","0.06","0.01","0.01","0.07","0.09","0.09","0.06","0.06","0.06"
"Denmark","0.55","0.55","0.52","0.54","0.53","0.58","0.60","0.63","0.64","0.69","0.73","0.75","0.76","0.66","0.68","0.78","0.82","0.82","0.85","0.85","0.74","0.77","0.80","0.80"
"Estonia","0.03","0.03","0.03","0.01","0.01","0.01","0.01","0.01","0.02","0.01","0.02","0.02","0.01","0.01","0.01","0.02","0.04","0.03","0.04","0.02","0.03","0.03","0.03","0.03"
"European Union (15)","16.03","16.03","16.33","18.59","18.24","19.90","19.14","19.83","21.81","23.22","22.49","24.00","24.38","22.18","23.77","26.03","27.11","29.93","29.67","30.27","26.54","26.72","28.37","31.62"
"European Union (28)","17.08","17.08","16.90","19.27","18.57","20.58","19.89","20.80","22.77","23.93","23.27","24.59","24.73","22.57","24.19","26.71","27.78","30.65","30.52","31.18","27.38","27.51","29.11","32.26"
"Finland","0.19","0.19","0.18","0.16","0.15","0.16","0.17","0.24","0.25","0.26","0.28","0.27","0.28","0.27","0.28","0.32","0.33","0.36","0.42","0.46","0.40","0.42","0.50","0.49"
"France","2.85","2.85","2.75","3.16","3.29","3.41","3.44","3.65","3.73","3.99","4.40","4.60","4.65","4.66","4.70","5.02","5.09","5.38","5.58","5.59","5.15","5.15","5.35","5.17"
"Germany","4.12","4.12","3.77","3.78","3.68","3.45","3.17","2.89","2.54","2.17","2.23","2.25","2.09","1.97","1.90","1.96","2.00","1.96","1.89","1.76","1.57","1.55","1.50","1.61"
"Greece","0.77","0.77","0.67","0.70","0.74","0.88","0.82","0.79","0.76","0.80","0.90","0.79","0.73","0.73","0.95","0.98","0.75","0.90","0.92","0.96","0.83","0.66","0.72","0.80"
"Hungary","","","","","","","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.04","0.04","0.04"
"Iceland","0.28","0.28","0.28","0.26","0.25","0.27","0.30","0.34","0.37","0.43","0.46","0.52","0.44","0.39","0.42","0.48","0.53","0.63","0.65","0.54","0.42","0.48","0.53","0.56"
"Ireland","0.34","0.34","0.33","0.28","0.42","0.37","0.36","0.33","0.40","0.41","0.49","0.57","0.69","0.73","0.72","0.68","0.79","0.91","0.96","0.89","0.71","0.73","0.65","0.55"
"Italy","1.38","1.38","1.39","1.55","1.63","1.70","1.81","2.03","2.20","2.39","2.65","2.82","2.75","2.38","2.46","2.39","2.44","2.58","2.81","2.70","2.54","2.59","2.64","2.61"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","0.07","0.07","0.10","0.03","0.03","0.02","0.02","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0.05","0.06","0.06","0.08","0.09","0.10","0.11","0.11","0.11"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","0.02","0.04","0.04","0.05","0.07","0.02","0.00","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Monaco","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
