Data-Type,Emission,Region,Sector,Start Year,End Year,Source/Comment
Emissions,CO2,UNFCCC Annex 1 Countries,All Available Sectors,1990,2021,"Emissions inventories of UNFCCC Countries (http://di.unfccc.int/flex_annex1, Report produced on February 7 2025)"
Emissions,CO2,Sweden,1.B.2.c.ii.1  Oil,1990,2021,Copied over 2020 value to 2021 due to value not being available
